gene	female_child_2
10000	-5.563284595695042e-5
10001	-0.00867858712927945
10002	0
10003	-7.6422175952945e-4
100048912	0
10004	-0.00575480160947043
10005	0.00519748278126767
10006	0.00136966194325374
10007	0
10009	0.00139824452124489
1000	0.00345775973371457
10010	0
100126791	0
100128124	0
100128640	-0.00265060214254875
100129128	0
100129250	-0.0044052815292282
100129271	-4.3249612066756e-4
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0.01567055482701648
100132476	0
100134713	-0.00813466107237881
100137047	0
10013	0
10014	0
10015	0
10016	0
10017	0
100188893	0
10018	0
10019	0.01654031194248082
1001	0
10020	-0.00491017640064447
10021	0
10022	0
10023	0.00717533227076637
10024	0
10025	0
10026	0.00454345679705268
100272147	-0.00289286682861999
100287932	0
100288413	0.00114773165385592
100289678	0
100293516	0
1002	0
100316904	0
10036	0
10038	-9.4947067289638e-4
10039	0
1003	0
10040	0.00163701941908637
10042	0
10043	0
10045	-0.00173644234585063
10046	-0.00541512709615805
10047	-0.00116756998141248
10048	0.00323292813117816
10049	-0.00747857531985523
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	-0.00665052465894012
100506469	0
100506504	-0.00265763872525275
100506571	5.4056880758473e-4
100506581	0
100506963	0
100507331	0.0043085556639382
100507436	-0.03445476510281756
100507605	0
10050	0
10051	0
10052	-0.00242927948964025
10053	0
10054	0
10055	-0.00627127603517045
10057	0
10058	0.00745518151043529
10059	0.0012220701881801
1005	0.00462545033494995
10060	0
10061	0
10062	-0.00216668348705455
10066	0
10067	-1.4233548625267533e-5
10069	0
1006	0
10072	0
10073	0
10075	0
10076	-0.00166502419415872
10077	0.01566679200445791
10078	0
10079	4.2601736831988e-4
1007	0
10083	0
10084	0
10085	0
10086	0
10087	0
10089	-0.00894627731861123
1008	-0.00514764412873359
10090	-8.7781609852118e-4
10092	-0.00364888096428274
10093	-0.00105425995830743
10095	0.01488318352751096
10096	0
10097	0
10098	-2.8184072358482e-4
10099	3.1466612366183e-4
1009	-0.00291619204045485
100	0
10100	0
10101	0
10102	0
10103	0
10105	0
10106	0
10107	0
10109	0
1010	0
10110	0
10111	0
10112	0
10113	0.00496054854509569
10114	0
10116	0.00227137682757459
10120	0.00181776398717742
10121	0
10123	0
10125	0
10126	-0.01050710613215051
10127	0.00621459594830587
10128	-0.00306193815955491
10129	-0.0067651599263436
1012	-0.00218792602566991
10130	0
10131	0.00325453673826925
10133	0.00415978902328618
10134	0
10135	0
10136	0.00566105910664968
10137	-4.206858335652e-4
10138	0
10139	-0.0033164032332591
1013	0
10140	-0.01474175414368285
10141	0
10142	0
10144	0
10146	0.00122701614401523
10147	0.00365168632432169
10148	0
10149	0.01339704056409613
1014	0.00232530410019408
10150	0
10152	0
10153	-0.00736513806378302
10154	0
10155	0.0106791218534395
10157	0
10158	-0.02233097929954418
10159	0
1015	0
10160	0
10161	0.00399520365617268
10162	-0.00196534276804112
10163	0
10164	0.00623913061640982
10165	0
10166	0.00102510083541716
10168	0
1016	1.2741425615013e-4
10170	0.02176728654824442
10171	0.01252417495927286
10174	0
10175	0
10178	5.4678637289354e-4
10179	0
1017	0
10180	0
10181	0.00275370666977398
10184	9.0019933862526e-4
10186	-0.02391498477730509
10188	0
10190	0
10193	-2.8774345030194e-4
10195	9.8685447549942e-4
10196	0
10197	0
10198	0.01307634243093689
10199	0
1019	0
101	-0.01268794461627615
10200	-0.0094151452832714
10201	0
10202	0
10203	0
10205	-6.6487564295408e-5
10206	0.00776977623961376
10207	0
10208	0
10209	-4.8432183823194e-4
1020	-7.5541311947544e-4
10210	0.00238186898728292
10211	0
10212	-0.00313366875410458
10213	1.6616557825289e-4
10214	-0.00628408946935846
10215	-0.00804006037263863
10216	-0.00133595189787268
10217	0.0021080432707055
10218	-0.00733765929782054
10219	-0.019304377038808
1021	0
10220	0
10221	-5.3340848877881e-4
10223	0.01264625698268054
10225	-0.01106862637189667
10226	0
10227	0
10228	0
10229	0
1022	-0.00759423949412569
10230	2.4826926811314e-4
10231	-0.00803563921443353
10232	0
10233	0
10234	0
10235	0.01537979058317941
10236	0
10237	0
10238	0
10240	0
10241	0
10242	0
10243	0.00119824162446616
10244	0
10245	0
10246	0
10247	0
10248	0
10249	0
10250	0
10252	-0.00129094336817471
10253	0.01047082425987908
10254	0
10255	0
10256	0
10257	0.00483888041022191
1025	0
10260	0.00724850561746334
10261	0
10262	-0.00251485839167214
10263	-0.00411402191326778
10265	-8.5615391464411e-4
10266	-0.00769917302815197
10267	0.01234982175850585
10268	0
10269	0
1026	0.00337340127284212
10270	0
10272	-0.00339538019067245
10273	0
10274	0
10276	-0.00310142159783559
10277	0
10278	-1.6376207858332e-4
10279	0
1027	0.00251779992167717
10280	0
10281	0
10282	-0.00113510691090101
10284	0
10285	0
10286	0
10287	0
10288	0.01088564406057197
10289	0
1028	-6.396900353720448e-5
10290	0
10291	0
10293	0.00444285630419826
10294	-6.7930661553474e-4
10295	-0.01015349249982179
10296	-2.8316222875227e-4
10297	0
10298	0
10299	0
1029	0
102	0
10300	4.9213516147099e-4
10301	-0.00420299123347276
10302	-0.00247801772388938
10307	0
10308	0
10309	0
1030	0
10311	-0.0010749585745434
10312	0
10313	0
10314	0
10316	-0.00803672856041594
10317	0
10318	0
10319	0
1031	0.00648274900222601
10320	0
10321	-0.03765646102862212
10322	0.00262940455265702
10324	0
10325	0
10327	0
10328	0
10329	0.00730234005837052
1032	0.00106920183455115
10330	0
10331	0
10332	0
10333	-9.4382719026276e-4
10336	0.00504979765205975
1033	0
10342	0
10343	0
10346	0
10347	-0.00445043106766019
10351	0
10352	0
10360	0
10362	0
10363	0
10365	0
10367	0
10368	-0.00113338314317853
10369	0
1036	0.00299057645264317
10370	0.00760655616919828
10371	0
10376	0
10379	0
10381	-0.0019500132642701
10382	0.0037601616060453
10383	0.00110778682171858
10384	0.01409782366685995
10385	0
10388	0
10389	-0.00357655363281739
1038	0
10390	0.00130092152709558
103910	0.00985228965623785
10391	-0.00368861689217609
10392	0.00158860665948279
10393	0
10394	-0.00188936837324543
10395	0
10396	0.00929688906811849
10397	-0.00109659506745312
10398	-0.01395585573657125
10399	0
1039	0.00350990917482663
103	0
10400	0
10401	-0.00723017960342443
10402	0
10403	0.00651836045161598
10404	-0.0132923872510339
10406	0
10407	0
10408	-2.2579795288826e-4
10409	0
1040	0
10411	0
10413	-5.5849213929093e-4
10417	0
10418	-0.00265499804013287
10419	0.00225572857278506
1041	-2.6432076858137e-4
10420	-0.00247755294297275
10421	0
10422	0.00218657250936419
10423	0.00127753834643054
10424	0
10425	0
10426	0
10427	-0.00156440470757439
10428	0.0027306073043944
10430	0.00670856553517188
10432	-0.00591072795188473
10434	0.01022980800462504
10435	0
10436	0
10437	-0.00514197717415288
10438	0.00566197992086725
10439	0.00634052606843169
1043	0
10440	0
10443	0
10444	-0.00747524607701893
10445	0
10446	0
10449	0
1044	0.0084688458567552
10450	0
10451	0
10454	0
10455	0
10456	0
10457	-0.0010584747851231
10458	0
1045	0
10460	0.00345950630571155
10461	0
10462	0.00243358361462134
10463	0
10464	0
10465	0
10466	0
10467	0
10468	0
10469	0
1046	0
10471	0
10472	0.00132285198308423
10473	0
10474	0
10475	0
10478	0
10479	-0.00128140869589224
1047	0.00404457249957213
10480	0
10481	-2.7806968388180017e-5
10482	9.7203897166289e-4
10483	-0.01349656568602723
10484	0
10485	0
10486	0
10487	0
10488	0
10489	0.00137567660964898
1048	0.00173099825017428
10490	0
10491	-0.00702253365044223
10492	0
10493	0
10494	0
10495	0
10497	0
10498	-6.5428299979444e-4
10499	0
104	0
10500	-0.00854936964434705
10501	0
10505	0
10507	0
1050	0.00120697309403214
10512	0
10513	-2.989463479529e-4
10514	0
10516	-0.00172055199795871
10518	0
10519	0
1051	0
10520	0
10521	0.01046291355895235
10522	0
10523	0
10524	0
10525	0
10526	0
10527	-0.00159636085634393
10528	-0.00268027480224452
10529	0.00597125000536384
1052	-0.0070565467821062
10531	-0.00465923614395726
10533	0
10534	-0.00475359217122925
10535	-0.00296520293588863
10536	0.00320972307934533
10537	-0.02453619826009421
10538	0
10539	-0.00830761738776637
1053	0
10540	0
10541	0
10542	-0.00477793179890781
10544	0
10548	0
10549	0
1054	-2.7072524883838e-4
10550	-0.00222428095311327
10551	0.00348544329014332
10552	0
10553	0
10554	0.00560414046765523
10555	-0.00510997355489203
10556	0
10557	0
10558	0
10559	0
10560	0.02588221494210922
10561	0
10562	0.02533117665903798
10563	-0.00593921911625396
10564	0
10565	0.00491944374099096
10566	0
10567	0
10568	0
1056	0
10570	0
10572	0.00436351274380124
10573	0
10574	-0.00348085972566433
10575	-0.00492705313476359
10576	0
10577	0
10578	0.01350472713996894
10579	0
10580	0
10581	0.00621889464353023
10584	0.00811208293637339
10585	0
10586	0
10587	-0.00145577363628759
10589	0
1058	8.6732661436948e-4
10590	0
10591	0
10592	-0.00620209425122635
10594	-0.00713659905038389
10595	0.0011873433708731501
10598	-0.00837402241433332
10599	0.00370384384836552
1059	0.0092385300175125
105	0
10600	0.00134691717295291
10602	-0.01089946242030747
10603	0
10606	0
10607	0
10608	0
10609	-0.00207146728555005
1060	0
10610	0.0237964552096603
10611	0
10612	0
10613	0.00219822278196743
10614	0
10615	0.01238873591123551
10616	0.00267673163602752
10617	0
10618	0
10621	0
10622	0
10623	0
10625	0.00342196428136127
10627	0.0015276916103748
10628	0
10629	0
1062	-0.0029986231080487
10630	0
10631	-0.00159470074426485
10632	-0.00799362727344687
10633	0
10634	0
10635	0.01577620994649991
10636	0
10637	0.00589301337644177
1063	0
10640	0
10641	0
10643	-0.0223066073317888
10645	0
10647	0
10648	0
10650	0
10651	0.00454017961278347
10652	0
10653	0
10654	0
10656	0
10657	-0.00708092876802668
10658	0
10659	0.00104022482607578
10660	-0.00384909520264441
10661	3.7325090965034e-4
10663	0
10664	-0.00292282583215059
10665	0
10666	-0.01347062138783753
10667	0
10668	0
10669	-0.00158825505319291
10670	0
10671	0
10672	0
10675	0
10677	0.00307612845867789
10678	9.5134681979427e-4
10681	-0.00396128582491692
10682	0
10683	0
10686	-0.0076008535502013
10687	0
1068	0.00143225816467649
10690	0
10691	-0.00242286704063956
10692	0
10693	0.01482094380468532
10694	0
10695	0
10699	-0.00451515050493261
1069	0
1070	-0.01504214259206209
10712	0
