gene	female_infant_2
10000	0
10001	0
10002	0
10003	0
100048912	0
10004	-0.00380911599009921
10005	0.00111999760150276
10006	0
10007	-2.9724320884984e-4
10009	0
1000	0
10010	-0.00833102622141932
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0.00977896106075464
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	-0.00527164204947648
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	0
10016	-0.00209475752856493
10017	0
100188893	8.6677077759296e-4
10018	0
10019	0
1001	0
10020	-0.00523069609185475
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100272147	-0.00167721880790538
100287932	8.4661558140925e-4
100288413	0
100289678	6.340623915268571e-5
100293516	-0.0023641341860414
1002	0
100316904	0
10036	0
10038	0
10039	0
1003	0
10040	-0.00946298097061356
10042	-0.00910083301519255
10043	0
10045	0
10046	0
10047	0
10048	0
10049	0
1004	0
100505741	-0.00160224463797441
100505761	0
100505879	0
100505933	0
100506144	-0.00574698799582193
100506469	0
100506504	0
100506571	0
100506581	0
100506963	0
100507331	0
100507436	-0.03122510430146984
100507605	0
10050	0
10051	0.01602841724378648
10052	0
10053	0
10054	0
10055	-6.8983562475723e-4
10057	0
10058	0
10059	0
1005	0
10060	0
10061	0
10062	-0.00132985980246862
10066	-5.8722025013018e-4
10067	0
10069	0
1006	0
10072	0
10073	0
10075	0
10076	0.00521651435738323
10077	4.4634495934919e-4
10078	0
10079	0.00587726456962126
1007	0
10083	0
10084	0
10085	0
10086	0
10087	0
10089	-0.00186455989149139
1008	0
10090	-0.00138983105471167
10092	-0.00694756324572389
10093	0
10095	0
10096	0
10097	0
10098	-0.00293215697172485
10099	0.01034177867404521
1009	0
100	0.01815776599933643
10100	0.01473060235070245
10101	-0.0022600426707096
10102	0
10103	0
10105	-0.00170311877609701
10106	-0.01117177852785477
10107	-0.00111857200316089
10109	-0.00368994871087057
1010	0
10110	0
10111	0.00176505360954623
10112	0
10113	0
10114	-2.4734965924875e-4
10116	0
10120	0
10121	0
10123	0.01509003367896319
10125	0.00980260204936705
10126	0
10127	0
10128	0
10129	-0.00497955608058935
1012	0
10130	0
10131	0
10133	0
10134	-0.00392599180227141
10135	0
10136	0
10137	0.00238726216280429
10138	0
10139	0
1013	0
10140	0
10141	0
10142	0
10144	5.6660513161379e-4
10146	0
10147	0.00369332929872085
10148	0.00224619615648528
10149	-0.00599214232939156
1014	0
10150	0.00607685026617302
10152	-0.00353026285127821
10153	0
10154	-3.2743279431457e-4
10155	0
10157	-0.00364883934640744
10158	-0.06327149397475755
10159	0
1015	0
10160	0.00244812765851215
10161	0.00347720594550192
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
1016	0
10170	0.00514638839793188
10171	-2.5425032644922e-4
10174	0
10175	0.00599655439196824
10178	4.75541288262624e-5
10179	0
1017	0
10180	0.00762994666599167
10181	0
10184	0
10186	-9.242458924606e-4
10188	0
10190	0.00263226018115885
10193	-5.7171263804353e-4
10195	0
10196	0
10197	0
10198	0
10199	-0.00555733252376852
1019	0
101	0.00238886193425066
10200	0
10201	-0.0025909392576298
10202	-3.2188891630179836e-5
10203	0
10205	0
10206	0
10207	0
10208	0
10209	0
1020	0.00694803800189503
10210	0
10211	-0.00281834561619684
10212	0
10213	0
10214	0
10215	0
10216	-0.00449173016484311
10217	-0.00869211613219647
10218	0
10219	-0.00550482120893017
1021	0.0032026744651629
10220	0
10221	0
10223	0.0132228434390687
10225	0
10226	-5.3931404229741e-4
10227	0
10228	-0.00395879278560418
10229	0
1022	-0.00992278304475676
10230	0
10231	0
10232	0
10233	0
10234	-0.00447744748150618
10235	0.00477092352223948
10236	0
10237	0
10238	0
10240	-0.01120063391846373
10241	0
10242	0
10243	-0.00210209094455448
10244	0
10245	0
10246	0
10247	0
10248	0
10249	0
10250	-0.00315498286351651
