gene	female_older_adult_2
10000	0
10001	0.00846203638104384
10002	0
10003	0.01293526402446612
100048912	0
10004	0.00571190195898205
10005	-0.0162908736343214
10006	-0.00386344073321767
10007	-0.00270448935331665
10009	0
1000	-0.00124307791821581
10010	0.00987509868797109
100126791	0.00470532166375639
100128124	0.00339512283792066
100128640	0
100129128	0.00335514614616305
100129250	-3.6904903380306e-4
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0.01031383928987605
10013	0
10014	0
10015	-0.00303741865824976
10016	-0.00399972944604573
10017	0
100188893	0
10018	0
10019	-0.00390432867055086
1001	-0.02629295873874682
10020	0.0046011151003681
10021	2.1810184306597867e-6
10022	-0.00165455012579583
10023	-0.02422110893898136
10024	-0.0034909558453048
10025	0
10026	0.00369529833055031
100272147	0
100287932	0
100288413	-4.2748488607763e-4
100289678	0
100293516	0.02384206131010133
1002	0
100316904	0.00711618962631526
10036	0
10038	0.01298798524493738
10039	0.00217531846827458
1003	-9.6969205025538e-4
10040	0
10042	0
10043	0.00804189119926823
10045	0.01210134916240391
10046	-0.02104372129503824
10047	0
10048	4.432949924995146e-5
10049	0.00100758300387285
1004	-0.00561372898439795
100505741	-0.01376362252517777
100505761	0
100505879	0
100505933	0.00194277434691991
100506144	-0.00193557176362166
100506469	0
100506504	0.01311994599517183
100506571	0.01113684607353116
100506581	-0.00866143225357528
100506963	0
100507331	0
100507436	0
100507605	0
10050	-4.7149014511808e-4
10051	-0.02264168627758223
10052	0
10053	-0.00191159366514021
10054	0
10055	-0.00570097593763646
10057	0
10058	-0.00393205813221452
10059	0
1005	-0.00356160742072316
10060	0
10061	-0.00287597624922206
10062	0
10066	0.00272513775534148
10067	0
10069	0.01106729660634391
1006	0
10072	-0.00161343902628853
10073	0.00338503092678469
10075	0
10076	0
10077	7.4523420488569e-4
10078	0
10079	-0.00401574007835037
1007	-0.00606401457743995
10083	0.0033804833442145
10084	0
10085	0
10086	0
10087	0
10089	1.4835949203161e-4
1008	0
10090	-0.02162980103843363
10092	0
10093	0
10095	0
10096	0
10097	0.00631907387395425
10098	0.02675570541325917
10099	0.00221275402120919
1009	0
100	0
10100	-0.00609585823075587
10101	-0.00233044667532511
10102	0
10103	-0.0065534763842676
10105	0.00203449040994436
10106	0
10107	0
10109	0
1010	0.0075329113807533
10110	0
10111	-0.00267696773526452
10112	-0.00142642985858739
10113	0
10114	0
10116	-4.6596884064901e-4
10120	0
10121	0
10123	-0.00409549190521006
10125	0
10126	-0.00194486668166756
10127	-3.8177704416445e-4
10128	-0.00450883515146148
10129	0.00739704981730805
1012	-0.00207226346706434
10130	-0.01579644130011461
10131	0.0063431056337951
10133	0.02737948259151772
10134	0
10135	0.01460799127552199
10136	0
10137	-0.00897005476132931
10138	0
10139	0
1013	0.00778785839670069
10140	-0.03666793204451641
10141	0
10142	0
10144	0.0088465963379542
10146	0
10147	0
10148	0
10149	-0.01190296709046483
1014	0.00756371912947718
10150	0.00593529807305935
10152	0
10153	0.00270992241920001
10154	-0.00395212614000789
10155	-0.01088995424541826
10157	0.01367748095317815
10158	0.0811139014573431
10159	0
1015	-0.01271530141098836
10160	0
10161	-0.01621304461259722
10162	0.01207607713435494
10163	-0.00160255433345605
10164	0
10165	0
10166	-0.00486836081842654
10168	0
1016	0
10170	-0.02238857406398675
10171	-0.00345421797116848
10174	0
10175	-0.00617835626147581
10178	0
10179	-0.01735543645292323
1017	0.001380559231582
10180	-0.00734896250188055
10181	0
10184	-0.01011676021986749
10186	0.02192378486618672
10188	0
10190	0
10193	0
10195	-8.6843802770013e-4
10196	-0.00688221591924117
10197	0
10198	6.9215908484775e-4
10199	0.00672343224550636
1019	0
101	0.00214595243597722
10200	-0.00760222023376823
10201	-0.00318134332376989
10202	0.00213589058373896
10203	0
10205	0.00451258964347944
10206	0
10207	0
10208	7.8256438410303e-4
10209	0
1020	0.00600647618077321
10210	2.9812930653474e-4
10211	0.01164790252164683
10212	0.00481672157260863
10213	0
10214	-0.00772629372848484
10215	5.7057376289816e-4
10216	0
10217	0
10218	0.00430822126947433
10219	-0.01464560799776934
1021	-0.002362076581979
10220	0
10221	-0.0052643299983452
10223	-0.00552843768105061
10225	-0.04202769561970135
10226	-6.0082918613051e-4
10227	-0.00275500336030101
10228	0
10229	0
