gene	female_young_child_3
10000	0
10001	0.00421604820319374
10002	-0.00145592410579786
10003	0
100048912	0
10004	0
10005	0.00368577298845539
10006	0
10007	0.00642745836283045
10009	0
1000	0
10010	-0.0017313839537273
100126791	-0.00465422851230245
100128124	0
100128640	0.00960940657146321
100129128	0
100129250	0.00144108482534182
100129271	0.01408258822475435
100129361	-0.00298782878547976
100129482	0
100130331	-0.00147403391177227
100130449	0
100132341	-0.00140791300358657
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	9.790100124807e-4
10016	-0.0033832902401478
10017	0
100188893	0
10018	0
10019	0.00119264464471125
1001	-0.01186690516874016
10020	0.00395214938354264
10021	3.8251710907877e-4
10022	0
10023	0
10024	0
10025	-0.01750191930922558
10026	0
100272147	0
100287932	0
100288413	0
100289678	-0.00684661323294796
100293516	0
1002	0
100316904	0
10036	0
10038	0
10039	0
1003	0.00121721408637926
10040	-0.01095644608409492
10042	0.00392932511144269
10043	0
10045	-0.001242593115881
10046	0
10047	-0.00314309015402338
10048	-0.01396025447333782
10049	0
1004	0
100505741	0
100505761	-8.5431973050923e-4
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	0
100506963	0
100507331	0
100507436	0.01099549045947442
100507605	0
10050	0
10051	0.00237315226309761
10052	0
10053	0
10054	-0.00361533174832283
10055	0
10057	-8.53416919018e-4
10058	0
10059	0
1005	0
10060	0
10061	0
10062	-5.9015644480745e-4
10066	0
10067	0.00516500506830935
10069	-0.00394496697949751
1006	0
10072	0.00485097890909481
10073	0.00486081778664273
10075	0
10076	0.00293543695155589
10077	-0.0046651381585171604
10078	0
10079	0.00101654712718322
1007	-0.00384936433649619
10083	0
10084	0.00161574057143631
10085	0
10086	0
10087	0.00898527252951053
10089	0
1008	0
10090	-0.01141652129214198
10092	-3.5645082542325e-4
10093	-0.0019066069406583
10095	9.588476397448e-4
10096	0.00117681549134349
10097	3.856745298016e-4
10098	0.00798373816224769
10099	0
1009	-0.00473965986715583
100	0.00395350933708034
10100	0.0083857627453336
10101	0
10102	0
10103	5.2418549906972e-4
10105	-0.02259155456199959
10106	-0.00171794099976871
10107	0
10109	0
1010	0
10110	0
10111	-7.0324898242222e-4
10112	0
10113	0
10114	-0.00113224845626592
10116	0
10120	0
10121	0
10123	0.00554928575130881
10125	0.00193428643933638
10126	0
10127	0
10128	0
10129	-0.00417446894161729
1012	-0.00367012474326303
10130	0
10131	-0.00108192949536445
10133	0.01330507632441882
10134	0
10135	0.00549221430629423
10136	0
10137	-9.47626178396267e-5
10138	-0.00403639535295618
10139	-0.00410893912821586
1013	0
10140	-0.00433649898194867
10141	9.650727523334034e-5
10142	0.0057005737154405
10144	-0.01330913748082522
10146	0
10147	0
10148	0.0029124289959133
10149	0
1014	0
10150	0
10152	0
10153	0
10154	0
10155	0.00372832978574345
10157	0
10158	0.03416241051323825
10159	0
1015	0
10160	0
10161	0
10162	-8.5175985752635e-4
10163	0
10164	0
10165	0
10166	0
10168	0.0077688419296102
1016	-0.00173337941580451
10170	-1.2997844977673e-4
10171	-0.00529509203895445
10174	0
10175	0.01180310118754123
10178	-0.00437253616892129
10179	0
1017	-7.3046177144001e-4
10180	0.01708828442437937
10181	0
10184	-0.00560101651914287
10186	-0.00612571219096325
10188	-0.00227565990733501
10190	-0.00543261716827775
10193	-0.00242007090598269
10195	-0.00503845542537235
10196	0
10197	0
10198	-0.00329538842225636
10199	0
1019	-0.00335301860571734
101	-0.00283699896602795
10200	0
10201	0.00459613262477328
10202	-0.00166976152583687
10203	-0.00416021381078546
10205	0
10206	0
10207	-0.00338987432005517
10208	0.01341680871052959
10209	0
1020	0
10210	-0.00279080907378395
10211	1.4135683685457e-4
10212	0
10213	0
10214	0
10215	0
10216	0
10217	0
10218	0
10219	-0.00336496448616463
1021	0
10220	0
10221	-0.00702406941348143
10223	-0.00170699180193149
10225	0
10226	0.00187004205428131
10227	0
10228	0
10229	0
1022	0.00729781287635142
10230	0
10231	-0.00168079272850908
10232	-0.00196932211168209
10233	-0.00178459532713589
10234	0.00871997101194831
10235	0
10236	0
10237	0
10238	0.00556871744431042
10240	0
10241	0.00534442381356813
10242	0
10243	0
10244	0
10245	0
10246	0
10247	0.01231249721363417
10248	0
10249	0
10250	0.00587314676790823
10252	0
10253	-0.00203213065772771
10254	0
10255	0
10256	-0.0051389822410571
10257	0
1025	-0.00660185407070343
10260	-0.00312302116799769
10261	0.00511700641808283
10262	0.00167163876990653
10263	0
10265	0.01987546699923261
10266	0
10267	0
10268	0
10269	0
1026	0
10270	-0.00142174370499928
10272	-4.2096207180054e-4
10273	-0.00842866455486258
10274	0
10276	0
10277	0
10278	0.00154954794324705
10279	-2.2201405506987e-4
1027	0
10280	-0.00627411148091935
10281	0
10282	0
10284	0.00921549199243735
10285	0
10286	0
10287	0
10288	0
10289	0
1028	-0.01492016818841008
10290	0
10291	0
10293	0.00302162857493152
10294	0
10295	-0.00249065077469207
10296	0.00312034311427854
10297	8.9669468572837e-4
10298	0
10299	0.00875062374853339
1029	0
102	-6.1821633333157e-4
10300	0
10301	0
10302	-0.00317258836023194
10307	0
10308	-0.00400009965109669
10309	0
1030	-0.00397088644260287
10311	0
10312	0
10313	7.4353401393337e-4
10314	0.00105930380530096
10316	0.00145005731716996
10317	0
10318	0
10319	-0.00368698055646967
1031	0.00344460789189866
10320	-0.01217228799165716
10321	-0.0228300036053973
10322	-7.8960687422111e-4
10324	0.00359424419305694
10325	0
10327	0
10328	9.3697511599309e-4
10329	0.00820497575548985
1032	-0.00396081433739747
10330	0
10331	0
10332	0
10333	0
10336	0
1033	0.00189902293777672
10342	0
10343	-0.00262870106904564
10346	0
10347	-0.01793083377264117
10351	0
10352	0
10360	-0.0032776458780261
10362	0
10363	0.00903166688040943
10365	-0.01782243871371536
10367	0.0022972980059992
10368	-0.01047829186734472
10369	0.00211192361767768
1036	-0.00872556244221297
10370	-0.00376496926027303
10371	0
10376	0
10379	0
10381	0.015600604959031
10382	0
10383	-0.00565839398021653
10384	0.00981525605223745
10385	0.00552146932369047
10388	0.01109924048854751
10389	4.7265441154897e-4
1038	0
10390	-0.00396933880576691
103910	0.00308703228292936
10391	0.00663008021369737
10392	0
10393	0
10394	0
10395	0
10396	0
10397	0
10398	-0.01138047225650901
10399	0.0014725421210205
1039	0.00347311811631612
103	0
10400	0
10401	-0.00251062533983675
10402	-0.00621363219727729
10403	-0.01160278402076832
10404	-0.00230634012383639
10406	0
10407	-0.01675163996190374
10408	7.9865596384825e-4
10409	0.02065427645499778
1040	-0.00112731855874851
10411	-0.00355449178376221
10413	-0.00676789126437055
10417	0
10418	-0.00466065807575248
10419	-0.00534575900183419
1041	0
10420	0
10421	0.0014188154869592
10422	0
10423	0
10424	-0.00382252691445728
10425	0
10426	0
10427	0
10428	0
10430	0
10432	0
10434	0
10435	0
10436	0
10437	0.00679232508806128
10438	0
10439	-0.01020835031789108
1043	0.01111913472026002
10440	0
10443	-0.00986242765828065
10444	0
10445	0
10446	0.00378694855094964
10449	-0.00513721205675974
1044	0.0010151753511719
10450	0
10451	0
10454	7.8729158564742e-4
10455	0.01281243296559676
10456	0.00363196237326075
10457	0
10458	-0.00230721011930767
1045	0
10460	0.00319661055499928
10461	0
10462	1.8045621855187e-4
10463	0
10464	-0.01150040099621446
10465	0
10466	0.00181750402942514
10467	3.2216170882559e-4
10468	0
10469	-0.00337438096094331
1046	0
10471	0
10472	0
10473	0
10474	0
10475	0
10478	0
10479	0
1047	0.0056022844617231804
10480	0
10481	0
10482	0.00334561556698997
10483	0
10484	0
10485	0
10486	0.00616376537999683
10487	0
10488	-0.00476205393863812
10489	0
1048	-0.00358866147909835
10490	0.00752513640606797
10491	0
10492	-0.00603947743358443
10493	0
10494	0
10495	-0.00385284003066293
10497	0.0062903865525855
10498	0
10499	-0.00785711892757965
104	-0.00744233694688413
10500	0
10501	0.00392242683911981
10505	-0.00707870674763796
10507	-3.9579946493988e-4
1050	-0.00408799227758158
10512	-0.00331026086278795
10513	0
10514	-0.00391144884750399
10516	-0.0165189989564361
10518	0
10519	0
1051	-0.00434599085678125
10520	0
10521	0
10522	-0.00831122904904578
10523	0
10524	0
10525	0.0012942277521101
10526	0.00470676903271034
10527	0.0034494270206763
10528	-0.00793859947433821
10529	0
1052	-0.0083521352795738
10531	0
10533	0
10534	0
10535	-0.00758045526180895
10536	0.00140123835991776
10537	0.00135272062256175
10538	0.01259525135442568
10539	0.00409638572623125
1053	0.01929844030845013
10540	0
10541	0
10542	0.00452493297205366
10544	-0.00269092945170195
10548	0.00155164919525511
10549	0.00613510515723335
1054	-0.00717822720294775
10550	0
10551	-0.00606843970493989
10552	0
10553	0
10554	0
10555	-0.00626538774206456
10556	0
10557	0
10558	0
10559	-0.00796349186946112
10560	0
10561	-0.01764002219658834
10562	1.4842802331356e-4
10563	0
10564	0
10565	0
10566	0
10567	0
10568	0
1056	0
10570	0
10572	0
10573	0
10574	0.00285603157581624
10575	0.00399380899797167
10576	0
10577	0
10578	0.04016412059968193
10579	0
10580	-3.2162141278386e-4
10581	5.2646582156446e-4
10584	0
