gene	male_infant_3
10000	0
10001	0
10002	0.00277871673256643
10003	0.00503643777446454
100048912	0
10004	-0.01242529783865622
10005	0.00231334798002251
10006	0
10007	-0.00533287646220388
10009	0
1000	0
10010	0
100126791	0
100128124	0
100128640	0.00975180079963916
100129128	0
100129250	0
100129271	0.00722092102907047
100129361	0
100129482	0
100130331	0
100130449	0
100132341	-1.3555829911532e-4
100132476	0
100134713	-0.00101991331445668
100137047	0
10013	0
10014	7.640476515154632e-6
10015	-0.00151790571234444
10016	0
10017	0
100188893	0
10018	0
10019	0
1001	0
10020	-0.0091153192645906
10021	0
10022	-0.00322073448273526
10023	0.00967304010753196
10024	0.00416229717252433
10025	0
10026	0
100272147	0
100287932	0
100288413	0
100289678	0
100293516	0.00171601084434311
1002	0.00135251048472418
100316904	0.00347630519219608
10036	0
10038	0
10039	0
1003	0
10040	-0.01317911147904768
10042	-0.0057807268102386
10043	0
10045	-0.01304813669787693
10046	0.00846408967154656
10047	0
10048	0
10049	0
1004	-0.00121604311996378
100505741	-5.9211898677181566e-5
100505761	0.00187790231732127
100505879	0
100505933	0
100506144	-0.01980637253495924
100506469	-0.00291149869484369
100506504	0
100506571	-0.00636601967248499
100506581	0.0018747052996201
100506963	0
100507331	0.0023687653501965
100507436	-0.02204448657543457
100507605	0
10050	0
10051	0.02712699649035674
10052	-0.00361592522944878
10053	0
10054	0
10055	0
10057	-0.00131429550591117
10058	0
10059	0
1005	0
10060	0
10061	0
10062	-0.00942536837877203
10066	0
10067	0
10069	0
1006	0
10072	0
10073	0
10075	0
10076	0
10077	0.00171715405879425
10078	0.00194657193910802
10079	0
1007	0
10083	0.00521474311161476
10084	0.0038724044678169
10085	0
10086	0
10087	0
10089	0
1008	0
10090	-6.5806556040198e-4
10092	0
10093	0
10095	0
10096	2.4870951897224e-4
10097	0.00223625765735083
10098	0
10099	0.00362419286898815
1009	0
100	0.0017975892708509
10100	0.00744457930097217
10101	0
10102	0.00277559073029429
10103	0.00444192064395656
10105	-0.01354132442845448
10106	0
10107	0
10109	0
1010	0
10110	0.00783226821905877
10111	0
10112	0.01137071281152128
10113	0
10114	0
10116	0
10120	0
10121	0
10123	0.01045120022756505
10125	0.00647611099306638
10126	0
10127	0
10128	0
10129	0
1012	0
10130	0
10131	-0.00236009591533888
10133	-0.00395160540934358
10134	-0.0037812975307114
10135	5.2215895682158e-4
10136	0.00664349842266833
10137	0
10138	0
10139	-0.0027628363181934
1013	0
10140	0.00191956248455855
10141	0
10142	-0.00275075684325609
10144	0.01036343528754121
10146	0.00178011751223791
10147	3.6175206209259e-4
10148	-0.00611078008548487
10149	-0.00147949688732443
1014	0
10150	0.00672138902532826
10152	0
10153	-0.00455493638999129
10154	-0.01367738435298047
10155	0.00804661687484614
10157	-9.2413787538719e-4
10158	-0.0730989126682485
10159	0.00187695046932814
1015	-0.01061970172161655
10160	0
10161	0
10162	0
10163	0.00197888280328642
10164	0
10165	-0.00169455090972855
10166	2.3868802485313e-4
10168	-0.01326900691482228
1016	0
10170	-0.01127491501250745
10171	2.7692890706483e-4
10174	0
10175	0.01195712850510031
10178	0
10179	0
1017	-1.8789925740138e-4
10180	0
10181	0
10184	0
10186	9.5693180451466e-4
10188	0
10190	-0.00196539206549732
10193	0
10195	0
10196	0
10197	0
10198	0
10199	-0.00237302275920636
1019	0
101	-0.00556433394793031
10200	0
10201	0
10202	0
10203	0
10205	0
10206	0
10207	-0.01087672514259431
10208	0.00128542838987741
10209	0.00434150396896219
1020	0.00450437786177109
10210	0.0059689716398548
10211	0
10212	-0.00608382754485218
10213	0
10214	0.00318671897989853
10215	-0.00343894930441486
10216	7.3722008325684e-4
10217	-0.00331718638799186
10218	0
10219	-0.01282942148368406
1021	0.01014967476298337
10220	0
10221	-0.02122220225426131
10223	0.02193553934212273
10225	0.00632732767257119
10226	0.00730828245178203
