gene	male_old_adult_2
10000	0
10001	0.00140433245489521
10002	0
10003	-0.00249052547962954
100048912	0
10004	0.00106145933866573
10005	0.00479411514861116
10006	0
10007	0
10009	0.00537204232247964
1000	0
10010	0
100126791	-0.00223470027780817
100128124	0
100128640	0
100129128	0
100129250	0
100129271	-0.0035493338559608
100129361	0
100129482	0
100130331	0.00146160783606472
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0.0012654786040851
10015	0
10016	-0.01914955504980501
10017	-0.00292606020777472
100188893	-0.00161912107422184
10018	0
10019	-0.01369769117757075
1001	0
10020	0
10021	0
10022	-0.0035298718971178
10023	0
10024	-0.00609733316964455
10025	0
10026	0
100272147	0
100287932	0
100288413	-0.00712992733740576
100289678	0
100293516	-0.00285416372797398
1002	0
100316904	0.0042640435262864
10036	0
10038	0
10039	0.00589848309064698
1003	-0.0110779587081517
10040	0
10042	0
10043	0.00159093868791435
10045	0
10046	0.01322653359182191
10047	0
10048	0
10049	-0.0056544718536496
1004	0
100505741	0
100505761	0.00793173140733989
100505879	0
100505933	-0.00183224642725647
100506144	-0.01552880167579139
100506469	0
100506504	9.6387517754807e-4
100506571	0
100506581	-0.00845428988836815
100506963	0
100507331	-0.00173502093686664
100507436	0
100507605	0
10050	0
10051	0
10052	0
10053	0
10054	0
10055	0
10057	-4.6564342404481e-4
10058	-0.00376780483545593
10059	0
1005	0.00370272526299172
10060	0
10061	0
10062	-0.00691086604945251
10066	0
10067	0.00334310354051849
10069	0
1006	0
10072	0
10073	-0.00175482476182868
10075	0
10076	-0.00727281985895667
10077	1.8061167303417e-4
10078	0
10079	0.00735398788893704
1007	6.8394169205649e-4
10083	0
10084	0.00543011066856376
10085	-0.00527729692575414
10086	9.5047854499302e-4
10087	0
10089	-0.00295624940890704
1008	-0.0067655794265943
10090	0
10092	0
10093	0
10095	0
10096	0
10097	0.00181086418935083
10098	0.03301341261905196
10099	-0.01009976202637889
1009	0
100	-0.02232646039130121
10100	4.8447958491745e-4
10101	-8.8113501138511e-4
10102	-0.00167985096782732
10103	0
10105	0.00557751103479172
10106	0
10107	-0.00505625512668893
10109	-0.00340414373086297
1010	0.00540769892659232
10110	0
10111	0
10112	0
10113	-5.3967138239761e-4
10114	0
10116	0
10120	0
10121	0
10123	-0.00585114560419954
10125	0.03141091582105024
10126	0
10127	0
10128	0
10129	0.01981204699978581
1012	-0.00941682680491494
10130	0
10131	-0.00104714063606138
10133	0.01458549685858015
10134	-1.7566041080604e-4
10135	0
10136	0
10137	0
10138	-0.00858890304875258
10139	6.8314842833973e-4
1013	0
10140	-0.00975697932033232
10141	0.0027856994948941
10142	0
10144	0.00558545603151481
10146	-0.00368409296729506
10147	0
10148	0.02147073662100086
10149	0
1014	0
10150	-0.00333489084709614
10152	-0.00234571090523447
10153	0.00609711656007427
10154	-0.00973255304898989
10155	-0.01454397501228577
10157	0
10158	0.04821088440110641
10159	0
1015	0
10160	0
10161	0.00415437792119294
10162	0.02853495793103113
10163	0
10164	0
10165	0
10166	0
10168	0
1016	0
10170	0.01577808313147462
10171	0
10174	-0.00183566646887251
10175	-0.00232845834821961
10178	-3.8195573251558e-4
10179	0
1017	-0.00171192230011806
10180	0
10181	0
10184	0
10186	0
10188	0
10190	0
10193	0
10195	0
10196	0
10197	0
10198	0
10199	0
1019	0.0017428823038599
101	0.00138660899179017
10200	-0.00136180814218852
10201	0
10202	-0.04848443455299559
10203	0
10205	-0.00264259713348153
10206	-0.00127575863808502
10207	0
10208	-0.00734557779743174
10209	0
1020	0
10210	0
10211	-0.00970571938961804
10212	-0.00575823770585749
10213	0
10214	0.00288143416924963
10215	-0.00528402187164665
10216	0
10217	4.662878328496675e-5
10218	4.535979374916433e-5
10219	-0.00792381461777102
1021	0.01027770193352665
10220	5.4590624814962e-4
10221	-0.00632207118806008
10223	0
10225	-0.00128376161894438
10226	0
10227	-1.987079177224323e-5
10228	0
10229	0
1022	0
10230	0
10231	0.01789060255106374
10232	-0.02514959598123354
10233	0.00204288540902946
10234	0.0093159801039578
10235	2.4204725369684e-4
10236	0
10237	-9.54502772909357e-5
10238	-3.7108988242957e-4
10240	0.00317252763064221
10241	-0.0021329281174904
10242	0
10243	0.00879964220368434
10244	0
10245	0.00243198810226
10246	0
10247	-0.00907593952167537
10248	-0.00260174781351976
10249	0
10250	0
10252	-0.02288521428549799
10253	0
10254	-7.6008375397171e-4
10255	0.00526769383262991
10256	-0.00572823604631203
10257	0.00853485270224777
1025	-0.01004583589446581
10260	-0.01610091517726284
10261	-0.01359919097576813
10262	0
10263	-0.01791120149900482
10265	0.00514415245119914
10266	0.00575360321214143
10267	0
10268	-0.001152586130368
10269	0
1026	-0.02178710924827588
10270	0
10272	-0.00364652735204925
10273	0
10274	0.00177282774147165
10276	0
10277	-0.01162527702967718
10278	0
10279	0
1027	2.509252724233e-4
10280	-0.00138068108716886
10281	-0.00435393949108904
10282	-0.01211575679934412
10284	0
10285	0
10286	0
10287	0
10288	0
10289	0
1028	0.00945280450322797
10290	0
10291	0
10293	-0.01197770653982804
10294	0
10295	0.00426599064413292
10296	0
10297	-0.00144057505613641
10298	0
10299	0
1029	0
102	4.978991264438e-4
10300	0
10301	0.01987597902009068
10302	-5.1679843933231e-4
10307	0
10308	0.02056059797747289
10309	-0.00298679436440318
1030	-0.00148920968993419
10311	0.00698875187112869
10312	-0.00129294664647933
10313	0
10314	0.0019010447269983
10316	0
10317	0
10318	0.0018471710240053
10319	0
1031	4.6612854978378e-4
10320	0
10321	0.00904929734518647
10322	-4.8552993971595e-4
10324	0
10325	0
10327	0
10328	0
10329	0
1032	0
10330	-0.00284206700677575
10331	0.00514486314262229
10332	-0.02223049003442052
10333	0.01580362113847627
10336	-0.00346405945909526
1033	-5.2374634381523e-4
10342	0
10343	0
10346	0.00924232894673781
10347	2.2460910145676e-4
10351	-2.756896309036e-4
10352	-0.01338138947656948
10360	0
10362	0
10363	-0.00109802710228519
10365	0.00924463551642011
10367	0
10368	0
10369	0
1036	0.05596183344575185
10370	-0.00126564247729947
10371	-0.01348010336734125
10376	0
10379	0
10381	0.00107109247467188
10382	-0.02034484885188489
10383	-0.00769046419676307
10384	0
10385	-0.00639483108529616
10388	0
10389	0
1038	-0.00622045926646003
10390	0
103910	-0.01527898499967249
10391	0
10392	3.6363115067727e-4
10393	0
10394	-0.01426299192160796
10395	0
10396	-1.484218967067468e-6
10397	0.01337906168036547
10398	-0.00270729193016215
10399	-0.00993279014032384
1039	-0.0093018880940578
103	0.00389497171511849
10400	0
10401	0.00991276576832744
10402	-0.0049687562138209
10403	0
10404	0.00235820736019122
10406	0.0122198888843417
10407	0
10408	0.0014682096353274
10409	-0.01889413345457036
1040	-0.00117551992705799
10411	0
10413	0
10417	0.01699682230611563
10418	-0.00847033705571136
10419	0.01460165350627604
1041	-0.00579548633448699
10420	0
10421	0.00111651741050289
10422	-0.00585057776780928
10423	0
10424	0.00522869924914634
10425	0
10426	-0.00252589716656018
10427	0
10428	-2.6392480493121e-4
10430	-0.00789212071058848
10432	-0.0081905562866435
10434	0
10435	0.00498666252515359
10436	-0.003907149097609
10437	0
10438	0
10439	0.05040080144218201
1043	0.00593990984118178
10440	0.00342494551240308
10443	0
10444	-0.00137638542391697
10445	-0.00508985843744705
10446	-0.00162929465086048
10449	0
1044	0
10450	0
10451	0
10454	-0.00427778442143558
10455	-0.00852950356919786
10456	-0.00133496499659128
10457	-0.04104881195798275
10458	0
1045	0
10460	0
10461	3.746733923547e-4
10462	-0.01036175986269662
10463	0.00566071963757172
10464	0
10465	-0.00685311201196853
10466	-8.2213253135248e-4
10467	0
10468	0
10469	0
1046	0
10471	-0.00831237459188497
10472	0
10473	-9.4526817236127e-4
10474	0
10475	0
10478	-0.00119149075539083
10479	0.00169520700346727
1047	0.00808213439034634
10480	0
10481	0
10482	0
10483	-0.00220117855682902
10484	0
10485	0.0049044995304387
10486	0
10487	-0.00137952120458813
10488	0
10489	0.0086048468836392
1048	0
10490	-1.9820160106504e-4
10491	0.00391626989547175
10492	8.268637321949119e-5
10493	0
10494	-0.00572898633281356
10495	0
10497	-0.01099301735517467
10498	-0.00208626720817995
10499	-0.00432761770776499
104	0.00222907281268162
10500	0
10501	0
10505	0
10507	0
1050	0.00205080496380237
10512	0
10513	0
10514	0
10516	-0.02123122078871013
10518	0
10519	-0.00710004520438317
1051	0
10520	0.00144892385436528
10521	0
10522	0.00544042799778865
10523	0
10524	0
10525	0
10526	0
10527	-0.01022463642077515
10528	0
10529	-0.02573283076542537
1052	-0.00309032025026363
10531	0.00425317015460262
10533	0.01006966526244134
10534	0
10535	0
10536	3.2272910748256e-4
10537	-0.0040178436373998604
10538	0.01575725461961728
10539	-0.01034470638968114
1053	0.00775344453172062
10540	0
10541	0
10542	0.00394102346466113
10544	-0.00754068021549782
10548	0
10549	0
1054	0.00290400160952496
10550	2.7608176388124e-4
10551	0.02518825309930804
10552	0
10553	0.00780014451513805
10554	0
10555	0
10556	0.00317976700642331
10557	7.7707980735424e-4
10558	-4.130024622302e-4
10559	-0.00713801616977149
10560	-0.00509846491642421
10561	0
10562	-0.04453229430730061
10563	0.01420402754631691
10564	-0.00276631220675491
10565	0.00275491548051223
10566	-0.00315898737448605
10567	0
10568	-7.5272325541658e-4
1056	0
10570	0
10572	0
10573	0.00631429117589259
10574	0
