gene	male_older_adult_3
10000	0
10001	0
10002	0.00600272565725039
10003	0.00634230065963939
100048912	-3.3959379235087e-4
10004	0.00850172142929088
10005	-0.00697973957344808
10006	0
10007	0
10009	0
1000	0
10010	-0.00315667713203229
100126791	0
100128124	0.00238269170132296
100128640	-1.342479564735e-4
100129128	0
100129250	-0.00345320493136138
100129271	2.5226098983921576e-5
100129361	0
100129482	0
100130331	-0.00588700554710617
100130449	0.00261233562595492
100132341	-0.00139403358323672
100132476	0
100134713	0
100137047	0
10013	0
10014	-0.00362296328186733
10015	0
10016	0.00381408568691586
10017	0.00689351115222704
100188893	-0.00866430113546726
10018	0.03386475494992504
10019	0.00109994169449757
1001	-2.1184345754045e-4
10020	0.01492713303317146
10021	0
10022	0
10023	0.00601660169472092
10024	0
10025	0.01128855528190932
10026	-0.00682546100042876
100272147	0
100287932	0
100288413	5.342271613069e-4
100289678	-0.00848876429521633
100293516	-0.0148495963400191
1002	-0.00715410466904699
100316904	0
10036	-2.5537900098931e-4
10038	0.02060743959451918
10039	0
1003	0.01225679404429154
10040	-0.00678892584301936
10042	0
10043	0
10045	0.0066545131246963
10046	0.00204242765961875
10047	3.9733870301751e-4
10048	5.5321749283087e-4
10049	-0.01308365194753168
1004	0
100505741	0.00769331105342273
100505761	4.0035513030969e-4
100505879	-6.04768077120815e-5
100505933	0
100506144	0
100506469	0
100506504	-0.00772535354255458
100506571	0.00817163868120919
100506581	0
100506963	-0.01347352073818615
100507331	0.01231295917530499
100507436	0.01378416579075057
100507605	-3.7248912894774e-4
10050	0
10051	-0.00976595742860915
10052	0
10053	-0.00822999115139437
10054	0
10055	-0.0057674952586537
10057	0.00546793528542195
10058	-0.01483549470961198
10059	-0.00119613155933451
1005	2.4912895839123e-4
10060	-1.5599585360394e-4
10061	0
10062	-0.00503478934131363
10066	0
10067	0.00307626992426082
10069	0.00795465932780914
1006	0
10072	0
10073	0
10075	0
10076	0.01025750168104228
10077	0
10078	0.00540066440260636
10079	0.03611362480556415
1007	0
10083	0
10084	0
10085	0.00269880081086462
10086	0
10087	-1.9441713034784e-4
10089	0.01446806180056003
1008	-0.00415918208976528
10090	0
10092	-0.0196448606187202
10093	-1.6324188506209e-4
10095	0
10096	-7.0617101708907e-4
10097	-5.0711934350078e-4
10098	0.00482584965296633
10099	0
1009	-0.00616734159101261
100	-0.03339329908808021
10100	-0.00340294739671073
10101	0.01014770033493942
10102	0.00181655646052511
10103	0.01392988125298246
10105	-0.00727089232244884
10106	0
10107	0
10109	0
1010	-0.00120594118086726
10110	0
10111	-0.01627046156295507
10112	0.01324982531549106
10113	0
10114	0.02049776844963517
10116	0.00393694240880506
10120	0
10121	-0.01071878441745501
10123	-0.01345562007931939
10125	-1.6163518606535e-4
10126	0
10127	-1.0865680265172e-4
10128	0
10129	0.00669081220004021
1012	0.02608395250934769
10130	0.00304777906330521
10131	-6.5358898135478e-4
10133	0.00780035746731993
10134	0
10135	0.00834028427263993
10136	-0.02343636054551909
10137	0
10138	0
10139	0
1013	-0.00136536568219407
10140	0.00393119261007172
10141	0
10142	0
10144	0.02113941651568565
10146	0
10147	0
10148	0
10149	-0.00292004740847793
1014	0
10150	0
10152	0
10153	-0.00668849939300519
10154	0.02377564748974371
10155	-0.00319814819686293
10157	0.01922573240401769
10158	0.08361372949439072
10159	-1.9904748407553e-4
1015	0
10160	0.01013091285206071
10161	0
10162	0
10163	0
10164	-0.00185800582101781
10165	0.01363423992480361
10166	-0.00466467985953394
10168	0
1016	0
10170	-0.02814175360648833
10171	0.00462983378781864
10174	0.00259340715109168
10175	0
10178	0.00492367691893428
10179	-5.4448918524145e-4
1017	-3.5786135687421e-4
10180	0.00300743957495037
10181	0.00430712859336332
10184	-0.00168118549287652
10186	0
10188	0
10190	0
10193	-0.0026485390130292002
10195	0
10196	-0.01183989046847074
