gene	female_middle_adult_2
1	0.00337413792403798
10	0
100	-0.0150577814419505
1000	0.0738169035530593
10000	0.03473714443348501
100009676	0.00289979603265869
10001	0.02662722836351674
10002	0
10003	0
10004	0.05650991705378924
100048912	0.01478089790027516
10005	0.0185340691358278
10006	0
10007	-0.01951969807296012
10008	-0.00715953879712943
10009	-0.02187533679435227
100093630	-0.01502384262729962
100093698	0
1001	0
10010	0
100101467	0
100101938	0
10011	0
100113407	0.00535571460947444
100124700	0
100125288	0.02312960927372811
100126791	0
100126793	0.0205371638191229
100127888	0
100127983	-0.01162949635860077
100128025	0
100128071	-0.02381052770259218
100128098	5.0816560096331e-4
100128124	0
100128126	0
100128139	0
100128164	0.02416776831109663
100128191	0
100128239	0
100128325	-0.02595091630790819
100128554	0
100128590	0
100128640	0
100128731	-0.03302506218945257
100128750	0
100128782	-0.00180916674589285
100128788	0
100128881	0
100128893	0.00582808342849315
100128927	-0.01141473582730238
100128946	0
100129128	0
100129175	0
100129195	0.02412726319884309
100129196	-0.00269996292545793
100129250	-0.00689023863136362
100129271	0
100129361	-0.01054433248641023
100129427	0
100129461	-5.9884046480866e-4
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0.00325009737228014
100129722	0
100129726	0
100129792	0
100129794	0
100129827	0.01709559175104248
100129845	0
100129858	0.01677615018431039
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.0071396947582399
100130449	-0.01308146347814647
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0.02696844309520443
100130705	0
100130717	0
100130733	0
100130776	0.00948491583332336
100130894	0
100130933	-0.00219212463659701
100130950	0.00623888411163398
100130958	0.04720226999993764
100130967	0
100131017	0.00497618955554157
100131067	-0.00603010997774741
100131117	-0.01252332310333652
100131138	0
100131187	-0.03709545705805062
100131211	-0.0036262501308677
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.01074194581127185
100131814	0.01254154797503367
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.05876556595216348
100133205	-0.01006885808601607
100133311	0
100133461	0
100133612	0
100133941	0.09653572949079972
100133985	0.02028438885634106
100134229	3.5229360187767e-4
100134259	0
100134368	0
100134713	0
100137047	-0.00133234905820759
10014	-0.02085837212619199
100141515	-0.06037130044994436
100144597	0
100144602	0
100144603	-0.00942187574390226
100144748	-0.01216495580426416
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0.01093145016237767
100188893	-0.0090626440581822
100188953	0.00284377527241553
100189589	0
10019	0
100190938	0.01108031583936584
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	-0.00158743580540486
10024	0
10025	-0.00236259677224465
10026	-0.0167306615030619
100268168	0
100270679	0
100272147	0.01944256296276414
100286844	0
100287015	0
100287114	0
100287177	-0.07567980802753298
100287366	0
100287482	-0.00634475088028439
100287569	0.12164385296265588
100287616	-0.01188549017376751
100287814	0
100287896	0.00787214998870616
100287902	-0.00769084085666922
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	-0.03213043281751914
100289097	0
100289098	0
100289187	0
100289274	-0.02530508979978956
100289341	0.02787122260135593
100289373	0
100289495	0
100289635	0.00125988391372957
100289678	0
100292680	0
100293516	0.02530544985023797
100294362	0.00149122681224652
100294720	0
1003	-0.01631573857123312
100302691	-0.00272897308436042
100303728	0
100303755	0
100306951	0
100316904	0
100329135	0
100359394	-0.00197058297206468
10036	-1.6946227374933e-4
100379174	0
10038	0.06539272612412428
100381270	0.03236456435292223
10039	0.04262939530587492
1004	0.00118274559058737
10040	0.00314378281801305
10042	0
100422737	-0.00806850946025992
10043	-0.00316363869764362
10044	0
10045	0.0040863578611563
10046	0
10047	0
10048	0
10049	2.4081149586886e-4
100499171	0
1005	0
10050	0
100500850	0.04771385618327881
100505474	0
100505478	0
100505495	0
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0.01511388654255033
100505573	-0.00164123847411853
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0.02208432569408814
100505624	-0.02226054007387563
100505641	0
100505658	0
100505659	-0.06355438086863603
100505664	0.01748006300825549
100505676	0
100505681	-0.006488090914991
100505685	0
100505687	0
100505696	0
100505715	0.0682084332375096
100505718	0
100505738	-0.00648407260751435
100505741	-0.00691100293078092
100505746	-0.05769558103570841
100505761	-0.03728432309687596
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.02553384656861144
100505811	0
100505812	0.02623328046157525
100505826	-0.05270791952417929
100505839	0
100505841	4.7549769205352e-4
100505851	-0.01032819074393364
100505854	0.01659784360584519
100505876	0
100505877	0
100505879	0
100505881	0.02060776748477604
100505890	0
100505893	0
100505894	0.00379740772036992
100505933	0.0162435442772457
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.04457109547009336
100505985	0
100505989	0
100506012	0
100506013	0
100506022	0
100506025	0
100506049	0
100506068	0.0219624420819818
100506071	0.0111660755082192
100506082	0
100506083	0.00316708049730099
100506098	0
100506100	0.02416795558271495
100506107	0
100506108	0
100506113	-0.02505864597885046
100506115	0.01944606114169352
100506119	0
100506122	0
100506125	0
100506126	0
100506127	0
100506142	-0.00864925221452613
100506144	-0.03365778902441127
100506172	-5.3197774902702e-4
100506175	0
100506195	-0.00223375224460356
100506207	0
100506215	0
100506229	-0.03027246149366553
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	-0.03376621179550063
100506314	-0.00292061240772858
100506319	-0.02562220799030434
100506368	0
100506374	0
100506380	0.08633765245641618
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0
100506428	0
100506433	0
100506457	0
100506462	-0.03230514355207829
100506465	0.00640077332949795
100506469	0.00900028160607398
100506475	0
100506489	0
100506492	0
100506495	0.0015609043906348
100506497	-0.0133589336630187
100506498	0
100506504	0.01806826604966129
100506526	0
100506527	0
100506530	0
100506540	0
100506542	0
100506571	0
100506581	-0.02235160082769704
100506599	0
100506603	0.01533849854681469
100506606	-0.05709038093846652
100506622	0
100506655	0
100506660	0.00250009351176014
100506668	0
100506675	-0.11168622833595072
100506677	0
100506679	0
100506680	0
100506686	0.01999638027668356
100506691	0
100506696	-0.01681860285682273
100506697	0
100506710	0
100506713	-0.01520814648645354
100506714	0.05180331265507388
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	-0.01937596825696134
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0.01847112178172176
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0.02612585669414956
100506874	0
100506895	0
100506907	0
100506922	0.03816937307016262
100506930	-0.01725849291713072
100506963	0
100506994	4.9998544059188e-4
100506999	0
100507027	4.8405513972131e-4
100507034	-0.01082351297838263
100507050	0
100507057	0
100507058	0
100507059	0
100507062	4.9876254365754e-4
100507064	0.06598953947469899
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0.02509181335900152
100507173	0.00563679964251193
100507203	0
100507206	-0.04681279255795025
100507240	0
100507246	-0.05074004204209184
100507250	0
100507254	0.0150755888057931
100507257	0
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0.03232830101355868
100507316	0.03892743375035662
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0.01025024634542833
100507392	0
100507403	0
100507421	0
100507423	0
100507428	-0.00927773655200826
100507433	0.00114495375356249
100507436	-0.00161745135556144
100507459	0
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0
100507477	0
100507487	-0.0088371156889582
100507495	-0.05561606623024371
100507506	0
100507524	-0.01746596351631181
100507527	0
100507533	0
100507534	0
100507537	0
100507540	0
100507547	-0.00625252251469143
100507564	0
100507567	-0.03819968372782944
100507584	0.01872220240375029
100507600	-0.02027628268647688
100507602	0.022258992085901
100507605	0.01928902515865893
100507629	0
100507632	0
100507642	-0.00961090954464292
100507650	0.00658371911333967
100508631	0
10051	0
10052	-0.01049960569238795
100526820	0.02538046237438731
100528062	0
10053	0.03480876398089393
100533106	0.06070745891014053
100533178	0
100533182	0.00959630386289911
10054	0.01567694830180571
10055	0
10056	0
10057	0.02109543944347337
10058	-0.00518954660813198
10059	0.00999838815528267
1006	0
10060	0
10061	0
10062	0.04465756281063984
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	-0.0192610839489892
100652911	0
100652929	0
100652999	-0.00134784172672271
10066	0.01566939570619532
10067	0
10068	0.02498990775582184
10069	0
1007	0
10071	0
10072	0
10073	0.01362789329705837
10075	0
10076	0
10077	-0.02814779538074326
10078	0
10079	-0.02624319511649492
1008	0
10081	0.01010446912285526
10082	0
100820829	0.06508492692404888
10083	0
10084	0.00786542720821555
10085	0
100852408	0
100852409	0
100859921	0
100859930	0.01449133966120344
10086	0
100861552	0
100861553	0.00829065157025833
100861554	-0.00491521124538916
100861573	0
100862662	0
100862671	0.00973923618930337
100862679	0
100862680	0
100862704	0.00634646313697601
10087	0
100873930	0.01836015080240182
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.02209648647560855
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0
100874323	0
100874362	0.03787561138364051
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	0
1009	0
10090	-0.00850199413724127
10092	0.00214093522982628
10093	0
10095	-0.01189328036775229
10096	0
10097	0
10098	0.00622391888417474
10099	0
100996246	4.7422548904478e-4
100996251	-0.00267227549787624
100996279	0
100996286	0.02945514886061022
100996301	0
100996307	-0.02380448539919673
100996342	0.00977380026810614
100996419	-0.02763073749846705
100996425	0.05319364444995676
100996455	0
100996485	-0.01179885817125269
100996490	0.00578716454349669
100996492	0
100996570	0
100996579	0
100996590	-0.01283465859347326
100996624	0
100996671	0
100996694	0
100996702	0.01141507565999581
100996902	0
101	0.02036023069182357
1010	0.00239796657775278
10100	0.07612412500799076
10101	0.01648124928329728
10102	-0.0091239988079501
10103	0
10105	0.01859848938172349
101055625	-0.06908619432860515
101059948	0
10106	0
101060019	0
101060200	-0.01925850465109432
101060264	0
101060544	0
10107	0.0152533615446569
10109	0
10110	0
10111	0.07761488702690619
10112	0
10113	-3.183228168109e-4
10114	-8.3587911108997e-4
10116	0.01034157592897901
10117	0
1012	0
10120	0
10121	0
10123	0.00529287311829695
10125	0
10126	-4.7541593397202e-4
10127	0
10128	0
10129	0
1013	0
10130	-0.00821262845083849
10131	0
10133	0
10134	0
10135	0
10136	0
10137	-8.6143880412398e-4
10138	0
10139	0
1014	0
10140	-0.01987203998741443
10141	0
101410533	0
101410538	-0.04508338518018664
10142	-0.02244595100378373
10143	0
10144	-0.01100146947199421
10146	-0.00920904323563857
10147	0.0191864260638912
10148	-0.01349803523366627
10149	0
1015	0
10150	0
10152	0
10153	0
10154	-0.00993509741019096
10155	0
101559451	0.00207338100600258
10157	0
10158	0.05013711710885968
10159	0
1016	-0.01034624371626202
10160	-0.03096619120541468
10161	0.02715098569675504
10162	0
10163	-0.00744286277698051
10164	0
10165	0
10166	0
10168	0.00741976476372132
10169	0
1017	0.00187609109126029
10170	-0.09475883661279164
10171	0
10172	0
10174	0.0185654749264669
10175	-0.01458585293691997
10178	-0.02445812421254278
10179	0
10180	0.02462846757966486
101805491	0
10181	0
10184	0
10186	0
10188	-0.00451439952415467
10189	0.00989294613735427
1019	0.02468831354377486
10190	0
101926888	0.02480608823797929
101926890	-0.0096820051252773
101926892	-0.02240925695331949
101926903	0
101926928	-0.00348779522180404
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	-0.00781325218226568
101927007	0
101927017	0
101927018	0.02164821700083961
101927027	0.01880572477483827
101927034	0.04758442768342949
101927038	0
101927040	0
101927043	0
101927051	0
101927059	0
101927067	0
101927074	0.00180446939480197
101927075	0
101927081	0
101927096	0
101927111	0
101927112	0
101927115	0.02273438560821296
101927123	0
101927124	-0.02373310372948856
101927125	0.00109658523076558
101927129	0
101927131	0
101927138	0
101927143	0.08561907457301396
101927150	0
101927151	0.00324503425911213
101927152	3.809307718546614e-5
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	-0.00207191727433364
101927219	0
101927220	0
101927228	0
101927237	0.01443870063811458
101927244	0
101927253	0
101927257	0.01731224227535983
101927273	0
101927274	0
101927275	0
101927282	0
101927286	0
101927292	0
101927295	0.0200956085292042
101927310	0
101927314	-0.00251294867894322
101927320	0
101927346	0
101927348	-0.01286174669432959
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0
101927482	0
101927494	0
101927495	0
101927498	0.00420646996407614
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	-0.00472389554603786
101927531	0.01897591369088964
101927539	0
101927543	-0.03862424560708648
101927547	0
101927553	0
101927565	0
101927581	0
101927586	-0.00649027367654175
101927587	-0.00517777352265073
101927588	0
101927592	0
101927599	0
101927606	9.491684643400651e-5
101927616	0
101927636	-0.02120302017127588
101927641	0
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	-0.02070068073076208
101927720	0
101927722	-0.02422899643226516
101927735	0
101927760	0
101927766	0
101927769	0
101927787	0
101927798	0
101927808	0
101927809	0
101927815	0.01455486880443569
101927821	0
101927828	0
101927829	0
101927839	0
101927843	-0.03576037052257887
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0.00474503186193702
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
