gene	female_older_adult_2
1	0.02478681088304387
10	0
100	-0.0247881553418857
1000	0.02446600583146205
10000	0
100009676	-0.01099165028361039
10001	-0.03331988775539106
10002	0
10003	0
10004	0
100048912	0
10005	-0.01451837984437084
10006	-0.00415178441726414
10007	0
10008	-0.00860737630903355
10009	0
100093630	-0.00660654299830156
100093698	0
1001	-0.01689338945478179
10010	0
100101467	0
100101938	-0.00854138622477005
10011	0
100113407	0
100124700	0
100125288	0.00551618127211221
100126791	0
100126793	0
100127888	0
100127983	0
100128025	0
100128071	0.03254380183014525
100128098	0
100128124	0
100128126	0
100128139	0
100128164	-0.01544664130705894
100128191	0
100128239	0
100128325	-0.00479068745564377
100128554	0
100128590	0.06296800887612104
100128640	0
100128731	-0.00276205828187344
100128750	0
100128782	0
100128788	-0.00324038951823906
100128881	0.0038536406493181
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	-0.00198198260626074
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0.00217308710185147
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	-0.02268579673518966
100129792	0
100129794	0
100129827	0.00334957528228678
100129845	0
100129858	-0.05024206570615308
100129917	0.01017788202821334
100129935	0
10013	0.00425804101768507
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.03344227264932162
100130449	0
100130476	-0.02199592124969135
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	-0.04507886408305032
100130776	0
100130894	0
100130933	0
100130950	0.02563742195574461
100130958	0.02720073018582932
100130967	0.00690133924621378
100131017	0
100131067	0
100131117	0
100131138	0
100131187	-0.00333252835532899
100131211	-0.00698532679428054
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0.00132163954727994
100131691	0
100131755	0.0132129272042922
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0.00884745537691499
100133311	0
100133461	0
100133612	0
100133941	0
100133985	0
100134229	-0.00269589442953616
100134259	0
100134368	0
100134713	0
100137047	0
10014	0.02353468126828832
100141515	0.00766113190045768
100144597	0
100144602	0
100144603	0.01304549025197378
100144748	0.00265421263280218
10015	-0.00538536502275208
10016	-7.4826865019055e-4
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	-0.024889019147321
100188893	0
100188953	0
100189589	0
10019	0.00411509317178182
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0.0128132067826821
100268168	0.00132684977185274
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	3.373705781847343e-5
100287366	0
100287482	0
100287569	0.0082458406611514
100287616	0.01388551515391851
100287814	0
100287896	0
100287902	0.00179446176834135
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0
100289187	0
100289274	0.01125617418505225
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	-0.00213015423896052
100294720	0
1003	0
100302691	4.2351659145847e-4
100303728	0.0030316120547155
100303755	0
100306951	0.03891640484750393
100316904	0
100329135	0
100359394	0
10036	0
100379174	0
10038	-0.01974954169204074
100381270	-0.00455344019618155
10039	0.03112094788896408
1004	0
10040	0
10042	0
100422737	0
10043	0
10044	0
10045	0
10046	0.01921473699754834
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0
100500850	0
100505474	0
100505478	0
100505495	0
100505501	-0.03957903909285298
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0.03804314643576072
100505619	0
100505622	-0.01380177594320923
100505624	0
100505641	0
100505658	0
100505659	0.04326006838717337
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0
100505715	-0.01361837290116975
100505718	0
100505738	0.00932613062117715
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0
100505811	-8.9051455498998e-4
100505812	0
100505826	0
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0.00103278866048748
100505877	0.00258998769917187
100505879	0
100505881	0
100505890	0
100505893	0
100505894	-0.00683276697984437
100505933	-0.04755438276837899
100505964	0
100505967	0
100505975	0.02052609709647759
100505978	0
100505984	0.02679381956266368
100505985	0
100505989	0
100506012	0
100506013	0
100506022	-0.00173939912735176
100506025	0
100506049	0
100506068	0
100506071	-0.00313011375734091
100506082	0.00127935051426131
100506083	0
100506098	0
100506100	-0.01086519593608952
100506107	0
100506108	0.00394020680932933
100506113	0
100506115	0
100506119	-0.01753111252083681
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0
100506175	0
100506195	0
100506207	0
100506215	0
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	-0.03113750407017333
100506314	0
100506319	0.00157539244897404
100506368	0
100506374	0
100506380	-0.03919218011259815
100506385	0
100506405	0
100506406	0.00242296560955348
100506409	0
100506413	0
100506421	0
100506428	0.00238137055565863
100506433	0
100506457	-0.00966301551566686
100506462	0
100506465	7.5150103597761e-4
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	-0.00479178850544376
100506526	0
100506527	0
100506530	0
100506540	-0.00949539088135787
100506542	0
100506571	0
100506581	0
100506599	0
100506603	0
100506606	0.00653007952613792
100506622	0
100506655	0
100506660	0
100506668	0
100506675	0
100506677	0
100506679	0
100506680	0
100506686	0.04732755900166402
100506691	0.00525283643008333
100506696	0
100506697	0
100506710	0
100506713	0
100506714	0.00994431243179697
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	-0.00521145456747695
100506779	0
100506790	0
100506791	0
100506795	0
100506797	-0.03886107815785014
100506826	0
100506827	0
100506834	0
100506840	0
100506866	-0.00205142670899538
100506874	0
100506895	0
100506907	0
100506922	0
100506930	-0.01302562219674495
100506963	0
100506994	-0.02372615325529602
100506999	0
100507027	0
100507034	-0.02527261424257314
100507050	0
100507057	-0.05530884294049344
100507058	0
100507059	0
100507062	0
100507064	-0.0355989961593233
100507086	0
100507114	0.00771012697958654
100507117	-0.00438026270956118
100507143	0
100507156	0
100507171	-0.00300239711195844
100507173	-8.9630633798447e-4
100507203	0
100507206	0.01855378359087046
100507240	0
100507246	0
100507250	-0.01118591750425057
100507254	0
100507257	0
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	-0.01827179564132025
100507316	0
100507331	0
100507336	3.182563216423975e-5
100507362	0
100507384	0
100507388	0
100507389	0
100507391	0.0054639853482275
100507392	-0.01365505645490989
100507403	0
100507421	0
100507423	0
100507428	0
100507433	-0.00209832480613092
100507436	0
100507459	0
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0.01806272802161927
100507477	0
100507487	0
100507495	0
100507506	0
100507524	0
100507527	0
100507533	0
100507534	0
100507537	-0.01771725429757296
100507540	0
100507547	0
100507564	0
100507567	-0.00464190630119681
100507584	0
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	0
100507650	-0.02431016316061716
100508631	0
10051	0
10052	0
100526820	0
100528062	0
10053	0
100533106	-0.03929920072613989
100533178	0
100533182	0
10054	0
10055	0
10056	0
10057	-0.00799417197587791
10058	-0.00422072932310673
10059	0
1006	0
10060	0
10061	0
10062	-0.01285027868959464
100628307	0
100631378	0
100652740	0.02120459358154293
100652791	0
100652824	0
100652853	0.00918970254656538
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0
10069	0
1007	0.00291614738434708
10071	0
10072	0.01121462051789551
10073	-0.00505002722055738
10075	0
10076	0
10077	-0.01894841777059227
10078	-0.00819027502522897
10079	0
1008	0
10081	-1.397739955306e-4
10082	0
100820829	0
10083	0
10084	0
10085	0
100852408	0
100852409	0
100859921	0
100859930	0.008113400436055
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	-0.05966565604749126
100862679	0
100862680	0
100862704	-0.02012051276413558
10087	0.00534564238246877
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	-0.01577926860185138
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	-0.02032813643548107
100874323	0
100874362	0
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	-0.02493813898669472
1009	0
10090	0
10092	0
10093	0
10095	0
10096	0
10097	0
10098	0
10099	0
100996246	0
100996251	0
100996279	0
100996286	-0.05590686650502951
100996301	0
100996307	0.00762085879364999
100996342	0
100996419	-0.00513051323277143
100996425	0
100996455	0.02483865902667087
100996485	0
100996490	0
100996492	0
100996570	0
100996579	6.3735868622487e-4
100996590	0.03275193229193667
100996624	0
100996671	0
100996694	0
100996702	0
100996902	0
101	0
1010	0
10100	0.05965584603539799
10101	-0.01531606232136409
10102	0
10103	0
10105	0
101055625	-0.0615768022913237
101059948	0
10106	0.01943464902507208
101060019	0
101060200	0.01621693159774842
101060264	0.00748414961366224
101060544	0
10107	-0.03155900307834203
10109	0
10110	0
10111	-0.02157015603711628
10112	0
10113	0
10114	0.00199980142482933
10116	0
10117	0
1012	-0.00503297036498498
10120	0
10121	0
10123	8.1709154220785e-4
10125	0
10126	0
10127	0
10128	0
10129	0
1013	0
10130	0
10131	0
10133	5.3993312679912e-4
10134	0
10135	0
10136	0
10137	0
10138	2.1615414466102e-4
10139	-0.02554957804807483
1014	0
10140	0.00625236770839768
10141	0
101410533	0
101410538	0
10142	0
10143	0
10144	0.02728932841771597
10146	0
10147	-0.00207143080222186
10148	0
10149	0
1015	0.01603405260815837
10150	0
10152	6.605158518787524e-5
10153	-0.00358901179881815
10154	0
10155	0
101559451	0
10157	0
10158	0.1409331328597837
10159	-9.7386185746746e-4
1016	0
10160	0
10161	0.00970517334292729
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
10169	0
1017	0
10170	0.00650605862317701
10171	0.00677385909370003
10172	0
10174	-0.01723091722103817
10175	0.02481169201417813
10178	0
10179	-0.00418676784791851
10180	0
101805491	0
10181	0
10184	-2.5836062808585364e-5
10186	0
10188	0
10189	0
1019	0
10190	0.004951586157298
101926888	-0.00630796796082108
101926890	0
101926892	0.00231598114539166
101926903	0
101926928	0.02448159331051189
101926934	0
101926942	0
101926951	0
101926978	0
101926987	-0.02387269381156014
101927003	0
101927007	0
101927017	0
