gene	female_young_child_2
1	0
10	0
100	0
1000	-0.02880681364568077
10000	0
100009676	0
10001	0
10002	0
10003	0
10004	0
100048912	0
10005	0
10006	0
10007	0
10008	0.01640572588463898
10009	0
100093630	0.04578561494790947
100093698	0
1001	0.00355104400124919
10010	0
100101467	0
100101938	0
10011	-0.0050417159626474
100113407	-0.00578278890340474
100124700	0
100125288	0
100126791	0
100126793	0
100127888	0
100127983	-0.00774187318165599
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	-0.01793575783094202
100128239	0
100128325	0.00283001653664964
100128554	0
100128590	-0.05555913164902332
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0.00656518909543708
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	-0.01828847142084488
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	-0.00824935121642341
100129792	0
100129794	0
100129827	-0.02383211092035995
100129845	0
100129858	0.00864044477647001
100129917	0
100129935	0
10013	-0.01279875501963138
100130155	0
100130249	0
100130264	0
100130331	0
100130357	2.4638422433216e-4
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	-0.01650833541741563
100130705	0
100130717	0
100130733	0.03752144771542914
100130776	0
100130894	0
100130933	0
100130950	0
100130958	-0.02272666405799579
100130967	-0.00370771730829476
100131017	0
100131067	0
100131117	-0.00421999307703182
100131138	-0.006858177320914
100131187	0
100131211	-0.00123105150127087
100131213	0.00152571787618902
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.03099475125127877
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	-0.0075998972198129
100133311	0
100133461	0
100133612	0
100133941	0.05410388434375408
100133985	0
100134229	0.01984142583497928
100134259	0
100134368	0
100134713	-7.6470529152671e-4
100137047	1.5758455717592e-4
10014	-0.00809047150114295
100141515	0.00406506120455808
100144597	0
100144602	0
100144603	0
100144748	-0.02173560806673195
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	0
100188953	-0.00911971992267872
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0.00871174395265298
10024	9.6179415658716e-4
10025	0.00491351085432774
10026	0
100268168	0
100270679	0
100272147	-0.02709565058870478
100286844	0
100287015	-0.01209503249952743
100287114	0
100287177	0
100287366	0
100287482	0
100287569	-0.06777447581696278
100287616	-0.0445338688581726
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.03510605428261432
100288797	0
100289092	0.0287987898357787
100289097	0
100289098	0.06408857250169973
100289187	0.01722267902398418
100289274	0
100289341	-0.00874020379929847
100289373	0
100289495	0
100289635	0
100289678	0.00157065620728955
100292680	0
100293516	0
100294362	0.00309932202353716
100294720	-0.01391600044556379
1003	0
