gene	male_adolescent_3
1	0
10	0.00910170586817306
100	0.02377569146395444
1000	0
10000	0.0049166123149449
100009676	-0.0123092179939981
10001	0
10002	0
10003	0.03183213277265095
10004	0.01670203834762453
100048912	0
10005	0
10006	0
10007	-0.0069985639971069
10008	-0.0070178688451579
10009	0.00836613081968861
100093630	-0.00937067049240631
100093698	0
1001	-0.00765339818508437
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	-0.01471456044196593
100126791	0
100126793	0
100127888	0
100127983	0.00181028703178402
100128025	0
100128071	-0.00907537608006001
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	-0.01511749142016626
100128554	0
100128590	-0.001198102888496
100128640	0
100128731	0
100128750	0
100128782	-0.04293205563244834
100128788	0
100128881	0
100128893	0
100128927	0.00664375568068503
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0.00302663728852437
100129550	0.01205815734026852
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0.03650930642030758
100129792	-0.00157235707691506
100129794	0
100129827	-0.0175610456560265
100129845	0
100129858	0.00983907653061065
100129917	0.05540667237086626
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0.00808696795850452
100130476	0
100130519	0.00350668240420328
100130522	0.02101490262419172
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	0
100130776	0
100130894	0.01415147365204205
100130933	0
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	-0.03446806838906245
100131138	0
100131187	-0.0137774891895588
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.01745928254128313
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.05847332109458136
100133205	0.00337279296528533
100133311	0
100133461	0
100133612	0
100133941	-0.05211453491942992
100133985	0.00570154582097095
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0.02556076085435736
10014	0.00685382089605716
100141515	0.00484544098401938
100144597	0
100144602	0
100144603	-0.00408468374788967
100144748	0
10015	0
10016	-0.00289763763342921
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0.00841913507422185
100188893	0.002841188025378
100188953	0
100189589	0
10019	0
100190938	-0.01085392369561118
100192379	0
100192386	0
1002	0
10020	0.02113395135525126
10021	0
10022	0
10023	0.00119049912882201
10024	0.01153365914874437
10025	0
10026	0.02892761517203397
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
