gene	male_adult_2
1	0
10	0
100	0
1000	0
10000	0
100009676	-0.00975899209317723
10001	0
10002	0
10003	0
10004	0
100048912	0
10005	0
10006	0
10007	0
10008	0
10009	0
100093630	0
100093698	0
1001	0.00144760866240089
10010	0
100101467	0
100101938	0
10011	0
100113407	0.01667539786791959
100124700	0
100125288	0.05105782158232809
100126791	0
100126793	-0.00112713426010433
100127888	0
100127983	4.2997321117254e-4
100128025	0
100128071	0
100128098	0.03200048304138575
100128124	0
100128126	0
100128139	0
100128164	0
100128191	-0.00954180021088208
100128239	0
100128325	0
100128554	-0.00276182794201484
100128590	0.02228769841217948
100128640	0
100128731	8.4927044357999e-4
100128750	0
100128782	-0.00253963378601461
100128788	0
100128881	0
100128893	0
100128927	-0.01241441221557628
100128946	0
100129128	0
100129175	0
100129195	0.02109704975397074
100129196	0.03659018356011934
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0.00363400302981991
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0.03968391685063085
100129792	0
100129794	0
100129827	0.00101711316541893
100129845	0
100129858	0.02503289439448428
100129917	-0.04416696822411153
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.03154467755739691
100130449	0
100130476	-0.01903583349123276
100130519	0
100130522	0.00126242400884457
100130548	0
100130613	0
100130691	0.00931839150437614
100130705	0
100130717	-0.00844901406175862
100130733	-0.02304040890100829
100130776	-0.00783625465021029
100130894	0
100130933	-0.00686096377098257
100130950	-0.01184452166616789
100130958	0.02465636783936533
100130967	0
100131017	0
100131067	-0.02131688288955609
100131117	0.01637440917916817
100131138	0
100131187	0.04387882215872796
100131211	-0.042813657393414
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.04168158129069844
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0.01524284621574407
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.00196568243399749
100133205	-0.00400638972663037
100133311	0
100133461	0
100133612	0
100133941	-0.00132179369739891
100133985	0
100134229	-0.00593717887976305
100134259	0
100134368	0
100134713	-0.00743272014255808
100137047	0
10014	0
100141515	0
100144597	0
100144602	0
100144603	-0.01903900522720831
100144748	0
10015	0
10016	-0.00444338479665531
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0.01973866893101915
100188893	0.01165495993934078
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	-0.00308692994238084
10021	0
10022	0
10023	0
10024	0
10025	-0.01736449130919118
10026	0
100268168	-0.00186054054084407
100270679	0
100272147	0.00300188490836944
100286844	0
100287015	-0.01515067804768102
100287114	0
100287177	0.05031884208744795
100287366	0
100287482	0
100287569	0
100287616	-0.01267798706009421
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0.01375384565536341
100289097	0
100289098	0.08013068909769407
100289187	-0.00173729973938974
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
