gene	male_child_3
1	0
10	0
100	0
1000	-0.01212758267103764
10000	0
100009676	0.02046351883553918
10001	0
10002	0
10003	-0.01820817606919625
10004	-0.02221366139600088
100048912	0
10005	0
10006	0
10007	0.00672060806548266
10008	0.01132389553483501
10009	0.00335307810673623
100093630	0.0553451104072931
100093698	0
1001	0
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	0
100127888	0
100127983	0
100128025	0
100128071	-5.9199416893058e-4
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0.0072928154318822
100128325	0.01171253342900222
100128554	0
100128590	0.10217651571402483
100128640	0
100128731	0.00449296716952069
100128750	0
100128782	0
100128788	0
100128881	0.01590308427581548
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	-0.01624131046508703
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.00962322210982872
100129597	0
100129620	0
100129654	0
100129662	0
100129716	-0.00242187092008119
100129722	0
100129726	-0.01532012817890843
100129792	0
100129794	0
100129827	0
100129845	0
100129858	-0.04479825974361408
100129917	-0.00353680901963373
100129935	0
10013	0.01856359077520414
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	-0.00905050908687932
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	-0.03764292036084159
100130776	0
100130894	-0.00220746694598249
100130933	0
100130950	0.05007274616669592
100130958	-0.01767356206119869
100130967	0
100131017	0
100131067	-0.0511429024901839
100131117	-0.00295754610289489
100131138	0
100131187	0
100131211	0
100131213	-0.00324339822594477
100131303	0
100131347	0
100131366	0
100131434	-0.0014816171989379301
100131496	0
100131655	0
100131691	-0.0217461188293277
100131755	0
100131801	0
100131814	0.01629435753827982
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.01998968552041848
100133205	0
100133311	0
100133461	0
100133612	6.6157426161427e-4
100133941	0.03021478887784155
100133985	0
100134229	2.7165748541661e-4
100134259	-0.00270832652328792
100134368	0
100134713	0
100137047	-0.01187289897886621
10014	0
100141515	-0.02871935653643547
100144597	0
100144602	0
100144603	0.00316567491404526
100144748	0.00661098585158771
10015	0
10016	0.00230459010350864
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	-0.03944218238849692
100188893	0
100188953	0
100189589	0
10019	0
100190938	0.00233522293404705
100192379	0
100192386	0
1002	0
10020	0.00171267551419453
10021	0
10022	0
10023	0
10024	0.01577277731047758
10025	0.00299836309574322
10026	-0.00512111888274809
100268168	-0.00522402972958085
100270679	0
100272147	-0.0051703030339309
100286844	0
100287015	0
100287114	0
100287177	0.02706010456650081
100287366	0
100287482	-0.07030164532608899
100287569	-0.00434866592738805
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0.00326355260158423
100288797	0
100289092	0
100289097	0
100289098	0.03181450029580827
100289187	0.03380527080119015
100289274	0
100289341	0
100289373	0
100289495	0
