gene	male_middle_adult_3
1	0.00240058040280592
10	0
100	-0.02744943352031263
1000	4.0090711836895e-4
10000	0
100009676	-0.00573799103692485
10001	-0.0192223331535411
10002	0
10003	0
10004	0.03173769811366312
100048912	0
10005	0
10006	0
10007	-0.01662486769322055
10008	-4.9553611096215e-4
10009	0
100093630	0.00594274813561376
100093698	0
1001	0
10010	0
100101467	-0.00978271822574054
100101938	0
10011	0
100113407	-3.5896739060706e-4
100124700	0
100125288	0.02253949521385491
100126791	0
100126793	0
100127888	0
100127983	0.00898442364228856
100128025	0
100128071	0.00973805784772313
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	-0.01810693798064698
100128554	0
100128590	-0.04867555231831345
100128640	0
100128731	0
100128750	0
100128782	0
100128788	0
100128881	0
100128893	0.00420276538560467
100128927	5.2622119331412e-4
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	-0.00400229108973553
100129271	0
100129361	0
100129427	0
100129461	0.01652330302702644
100129482	0
100129503	0
100129550	-0.01256183309644035
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0.00479522608883134
100129722	0
100129726	-0.01488487853515106
100129792	0
100129794	0
100129827	0.02657557729236155
100129845	0
100129858	0
100129917	-0.02969581856310584
100129935	0
10013	-0.01683374692346714
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.00366594227388274
100130449	0
100130476	0
100130519	0
100130522	-0.03048356825476098
100130548	0
100130613	0
100130691	-0.00232533591987489
100130705	0
100130717	0
100130733	0.0262564701118544
100130776	0
100130894	-0.00205965947355189
100130933	0
100130950	-0.01731980457675946
100130958	-0.00840449285966953
100130967	0
100131017	-0.00361840761656448
100131067	0
100131117	0.0029813498139889
100131138	0
100131187	0
100131211	-0.02063921700762734
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.01218098958498671
100131496	0
100131655	-0.01191988924710206
100131691	0.01161441480669335
100131755	-0.01824821183380124
100131801	-0.0323901032181151
100131814	-0.01674826150761092
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0
100133311	0
100133461	0
100133612	-0.00124275557683
100133941	0.04483875207898674
100133985	0
100134229	0
100134259	-0.00908118385497057
100134368	0
100134713	0
100137047	-0.00123735686371074
10014	0
100141515	-0.01871655878349674
100144597	0
100144602	0
100144603	-0.03314411657244781
100144748	0.01562734991663764
10015	0
10016	0
100169752	0
100169989	0
10017	0.00181819357291449
100170229	0
100170765	0
100170841	0
10018	0
100188893	-0.00987442519189838
100188953	0
100189589	-2.6228934605961e-4
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	-0.01222306365167818
10021	0
10022	0
10023	0
10024	0
10025	6.073752660064028e-6
10026	-0.0285465457509402
100268168	0
100270679	0
100272147	0
100286844	0
