sex	age_group	term	combined_zscore
female	adolescent	hearing loss, autosomal recessive	0.7440129689452779
female	adolescent	total early-onset cataract	0.9158719489714403
female	adolescent	Joubert syndrome	0.5542891378734517
female	adolescent	autosomal dominant nonsyndromic hearing loss	0.5965065608913673
female	adolescent	retinitis pigmentosa	-0.27510100022636286
female	adolescent	primary ciliary dyskinesia	0.24613025829234572
female	adolescent	osteogenesis imperfecta type 4	-0.257173144495131
female	adolescent	osteogenesis imperfecta type 3	-0.2356079603905798
female	adolescent	inherited obesity	-0.13805912786382057
female	adolescent	hereditary breast carcinoma	0.7225596944148451
female	adolescent	lung cancer	0.421025662507765
female	adolescent	autosomal dominant non-syndromic intellectual disability	-0.4064935132011473
female	adolescent	undetermined early-onset epileptic encephalopathy	0.8618469024862173
female	adolescent	non-syndromic male infertility due to sperm motility disorder	0.8548345802178531
female	adolescent	autoimmune lymphoproliferative syndrome	-1.198625797074828
female	adolescent	common variable immunodeficiency	1.2006128011597417
female	adolescent	familial thoracic aortic aneurysm and aortic dissection	-0.424380861568292
female	adolescent	combined pituitary hormone deficiencies, genetic form	-0.10501571856578934
female	adolescent	familial isolated dilated cardiomyopathy	-0.4223774471326591
female	adolescent	left ventricular noncompaction	0.04640011291485155
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, biventricular form	-5.255085218104022
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, right dominant form	-5.187515454490329
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, left dominant form	-5.235502396534087
female	adolescent	familial atrial fibrillation	0.39159368499085867
female	adolescent	Jeune syndrome	-0.8563539555100775
female	adolescent	developmental and epileptic encephalopathy	1.676715846588431
female	adolescent	amyotrophic lateral sclerosis	0.5021267870213136
female	adolescent	muscular dystrophy-dystroglycanopathy, type A	-0.8311375948473225
female	adolescent	acute myeloid leukemia	-0.8528046671536388
female	adolescent	Leigh syndrome with leukodystrophy	-0.36649342788161793
female	adolescent	Bardet-Biedl syndrome	-0.6463012935750705
female	adolescent	meningioma	-0.8069890683230426
female	adolescent	non-syndromic X-linked intellectual disability	-0.5920465773841148
female	adolescent	autosomal recessive non-syndromic intellectual disability	-0.3801061169229229
female	adolescent	hereditary pheochromocytoma-paraganglioma	-0.08361640266036599
female	adolescent	Brugada syndrome	0.8088248326024896
female	adolescent	cone-rod dystrophy	0.31850803116286924
female	adolescent	Zellweger spectrum disorders	1.0661683668952187
female	adolescent	neonatal adrenoleukodystrophy	1.144737000889665
female	adolescent	infantile Refsum disease	1.1383608165641685
female	adolescent	Seckel syndrome	-0.8439837521211296
female	adolescent	Noonan syndrome	-0.5084026581741515
female	adolescent	Fanconi anemia	-0.312256891357345
female	adolescent	postsynaptic congenital myasthenic syndrome	1.0228130860905145
female	adolescent	semilobar holoprosencephaly	-0.5212027055672521
female	adolescent	septopreoptic holoprosencephaly	0.1914839067501979
female	adolescent	microform holoprosencephaly	0.18895730249837273
female	adolescent	midline interhemispheric variant of holoprosencephaly	0.18184581629917987
female	adolescent	alobar holoprosencephaly	0.1829906497327524
female	adolescent	lobar holoprosencephaly	0.1898683136309877
female	adolescent	colorectal cancer	-0.43956727567947856
female	adolescent	familial idiopathic steroid-resistant nephrotic syndrome	-0.8197201537343992
female	adolescent	Coffin-Siris syndrome	0.325906611012798
female	adolescent	Leber congenital amaurosis	-0.1372354792387413
female	adolescent	male infertility with azoospermia or oligozoospermia due to single gene mutation	-0.1188964115014687
female	adolescent	mitochondrial complex I deficiency	0.09225910294318918
female	adolescent	congenital stationary night blindness	-0.2928201104842549
female	adolescent	West syndrome	1.8983705319320279
female	adolescent	hypogonadotropic hypogonadism	-0.7852973178138372
female	adolescent	Kallmann syndrome	-0.5022863105282165
female	adolescent	Meckel syndrome	0.2781093187990674
female	adolescent	Senior-Loken syndrome	0.06132793379832834
female	adolescent	autosomal recessive primary microcephaly	-1.0167358552484376
female	adolescent	cytochrome-c oxidase deficiency disease	-0.49628569139029916
female	adolescent	46 XX gonadal dysgenesis	-0.11729515603928103
female	adolescent	dyskeratosis congenita	0.7525681183902414
female	adolescent	isolated anophthalmia-microphthalmia syndrome	-0.2237910665795393
female	adolescent	ovarian cancer	1.6493621245441705
female	adolescent	gastric cancer	-0.67729717677336
female	adolescent	maturity-onset diabetes of the young	0.18794629938388827
female	adolescent	tooth agenesis	-2.2243854696430185
female	adolescent	46,XY complete gonadal dysgenesis	0.015732617550092927
female	adolescent	early-onset nuclear cataract	-0.6043088957656116
female	adolescent	early-onset lamellar cataract	-0.7530135817782263
female	adolescent	cataract 16 multiple types	-0.7228311916339349
female	adolescent	presynaptic congenital myasthenic syndrome	2.092935571787199
female	adolescent	differentiated thyroid carcinoma	-0.044037581562595456
female	adolescent	long QT syndrome 1	0.15659383662073167
female	adolescent	lymphatic malformation	-0.7347528158299331
female	adolescent	early myoclonic encephalopathy	-0.6841147122312589
female	adolescent	anterior segment dysgenesis	-1.5238911662973758
female	adolescent	developmental defect during embryogenesis	-0.49096859489014916
female	adolescent	syndromic intellectual disability	-0.28551421400056565
female	adolescent	mental disorder	-0.48763062034419763
female	adolescent	congenital nervous system disorder	0.06970460202025697
female	adolescent	developmental disorder of mental health	-0.4875341435584192
female	adolescent	genetic multiple congenital anomalies/dysmorphic syndrome	-0.9596525309601683
female	adolescent	disease or disorder	-0.845850399379608
female	adolescent	multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome	-0.45872357013831666
female	adolescent	syndromic disease	-0.09943219509363681
female	adolescent	brain disorder	0.3390119988673838
female	adolescent	intellectual disability	-0.49167665282033357
female	adolescent	multiple congenital anomalies/dysmorphic syndrome	-0.9250371659572304
female	adolescent	Mendelian disease	-1.0352748246760934
female	adolescent	psychiatric disorder	-0.06161531984966165
female	adolescent	central nervous system disorder	0.22705007215177295
female	adolescent	disorder of development or morphogenesis	-0.2715281602284929
female	adolescent	nervous system disorder	0.8640069304796698
female	adolescent	chromosomal disorder	1.1234990239031517
female	adolescent	genetic nervous system disorder	0.8051290410177743
female	adolescent	genetic multiple congenital anomalies/dysmorphic syndrome-variable intellectual disability syndrome	-0.4614697279878257
female	adolescent	hypertrophic cardiomyopathy	-1.6366019494660478
female	adolescent	kidney disorder	-1.3679870210762857
female	adolescent	familial cardiomyopathy	-2.546478435674841
female	adolescent	musculoskeletal system disorder	-1.0488784884737388
female	adolescent	urinary system disorder	-1.4839748549409897
female	adolescent	cardiomyopathy	-2.5434707162457713
female	adolescent	overgrowth/obesity syndrome	-1.4277152360497636
female	adolescent	muscular disorder	-2.187741782986082
female	adolescent	muscle tissue disorder	-2.1957453787537715
female	adolescent	hereditary neoplastic syndrome	-1.6494668956797194
female	adolescent	cardiovascular disorder	-1.9135341428099055
female	adolescent	heart disorder	-1.7923932432851584
female	adolescent	overgrowth syndrome	-2.147131642738859
female	adolescent	inherited renal cancer-predisposing syndrome	-1.3416399269479329
female	adolescent	intrinsic cardiomyopathy	-2.771424735154361
female	adolescent	familial hypertrophic cardiomyopathy	-1.6409849188618648
female	adolescent	urinary system neoplasm	-0.5711437676585058
female	adolescent	malignant urinary system neoplasm	-0.523915289103312
female	adolescent	neoplastic disease or syndrome	-0.9131510781781702
female	adolescent	embryonal neoplasm	-0.1294915248191189
female	adolescent	cancer or benign tumor	-1.3337792322903477
female	adolescent	cancer	-0.16023453457251477
female	adolescent	neoplasm	-0.6630476603534992
female	adolescent	kidney neoplasm	-0.4154572508038041
female	adolescent	kidney cancer	-0.3489498261600216
female	adolescent	retinal degeneration	-0.2035020968574513
female	adolescent	face disorder	-0.119571727249248
female	adolescent	eye disorder	-0.06187317104313199
female	adolescent	vision disorder	-0.20097119155163212
female	adolescent	vitreous body disorder	-0.06888993836389597
female	adolescent	disorder of orbital region	-0.06083662004288489
female	adolescent	perceptual disorders	0.5824854985712311
female	adolescent	inherited retinal dystrophy	-0.20824789017500114
female	adolescent	retinal disorder	-0.035448856894771154
female	adolescent	head disorder	-0.009100605021635025
female	adolescent	disorder of visual system	-0.06439251713405446
female	adolescent	inherited vitreous-retinal disease	-0.0669055118745565
female	adolescent	genetic macular dystrophy	0.4740435639711002
female	adolescent	erythrocyte disorder	-3.672444929008224
female	adolescent	hemoglobinopathy	-3.670222843295613
female	adolescent	pituitary deficiency	-0.8684737983161102
female	adolescent	endocrine system disorder	-0.0686506145740917
female	adolescent	anemia	-1.2447624556966843
female	adolescent	inherited hemoglobinopathy	-3.6687052287561417
female	adolescent	hematologic disorder	-1.1705610641463355
female	adolescent	premature aging syndrome	-0.47155672546728705
female	adolescent	autosomal genetic disease	-0.7350406587013676
female	adolescent	telomere syndrome	0.10808139783873125
female	adolescent	autosomal recessive disease	-1.1580039915644778
female	adolescent	dermis elastic tissue disorder	-1.0619605287368072
female	adolescent	distal arthrogryposis	0.0218279879510307
female	adolescent	disorder of glycosylation	1.1903211623642134
female	adolescent	integumentary system disorder	-1.4152919468387724
female	adolescent	neurometabolic disease	1.3994442379643048
female	adolescent	congenital limb malformation	-1.4011887012632458
female	adolescent	genetic skin disease	-1.469896017587396
female	adolescent	hereditary disorder of connective tissue	0.16143955219660808
female	adolescent	disorder of protein O-glycosylation	-0.030513283977278892
female	adolescent	dermis disorder	-1.2440537923788395
female	adolescent	inborn errors of metabolism	0.9751937170912764
female	adolescent	disorder of O-xylosylglycan synthesis	-0.0014759806648144617
female	adolescent	developmental anomaly of metabolic origin	1.083258233744379
female	adolescent	arthrogryposis syndrome	-0.7080821618880098
female	adolescent	connective tissue disorder	-0.2935684075774974
female	adolescent	nephropathy secondary to a storage or other metabolic disease	1.2250378991547584
female	adolescent	glycoprotein metabolism disease	-0.34291119527969854
female	adolescent	skin disorder	-1.53593409195721
female	adolescent	congenital disorder of glycosylation	1.1889430037993955
female	adolescent	metabolic disease	0.8481511838171846
female	adolescent	Ehlers-Danlos syndrome	-0.55965513322839
female	adolescent	palsy	-1.844966798762924
female	adolescent	pure or complex hereditary spastic paraplegia	-0.06970890792676361
female	adolescent	hereditary spastic paraplegia	-1.7690799445257237
female	adolescent	paraplegia	-1.768777647117157
female	adolescent	neurodegenerative disease	0.41499949084851095
female	adolescent	inherited neurodegenerative disorder	0.3907237722840344
female	adolescent	inherited lipid metabolism disorder	1.2557836209352777
female	adolescent	syndromic dyslipidemia	2.0193543302552817
female	adolescent	mineral metabolism disease	-0.2524381646620974
female	adolescent	disorder of phospholipids, sphingolipids and fatty acids biosynthesis	-0.25100321178614693
female	adolescent	genetic dementia	1.1289785937583419
female	adolescent	neuroaxonal dystrophy	0.398508927977254
female	adolescent	eye degenerative disorder	2.168635039649486
female	adolescent	cognitive disorder	1.1309413696341695
female	adolescent	dementia	1.1333975770079088
female	adolescent	complex hereditary spastic paraplegia	-1.4042245343522124
female	adolescent	movement disorder	1.8234191905819048
female	adolescent	autosomal recessive complex spastic paraplegia	-1.320771384121964
female	adolescent	hereditary optic neuropathy	0.592761484387468
female	adolescent	iron metabolism disease	-0.5267755472573636
female	adolescent	neurodegeneration with brain iron accumulation	0.39962670659265653
female	adolescent	syndromic hereditary optic neuropathy	1.1500418938765635
female	adolescent	mitochondrial oxidative phosphorylation disorder	0.7711243581489428
female	adolescent	inborn disorder of energy metabolism	0.8956675629098473
female	adolescent	combined oxidative phosphorylation deficiency	0.8512461079780458
female	adolescent	mitochondrial disease	0.883886190543633
female	adolescent	inborn mitochondrial metabolism disorder	0.8164931889615868
female	adolescent	epilepsy syndrome	0.6430905851880657
female	adolescent	partial epilepsy	1.8247458213504533
female	adolescent	childhood-onset epilepsy syndrome	0.2475682817619117
female	adolescent	childhood electroclinical syndrome	-0.44854763816279875
female	adolescent	epilepsy	0.7559936283155436
female	adolescent	electroclinical syndrome	0.25069509080015295
female	adolescent	adolescent-onset epilepsy syndrome	0.28617669559440445
female	adolescent	familial partial epilepsy	1.8270825944856308
female	adolescent	genetic lethal multiple congenital anomalies/dysmorphic syndrome	-0.21761763484004923
female	adolescent	bone development disease	0.7687768739112744
female	adolescent	skeletal system disorder	0.6429088265224107
female	adolescent	dysostosis of genetic origin	-0.3377449467670062
female	adolescent	dysostosis	-0.33709658526971215
female	adolescent	lethal multiple congenital anomalies/dysmorphic syndrome	-0.218119579365625
female	adolescent	bone disorder	0.7148791565114163
female	adolescent	non-syndromic intellectual disability	-0.773897823524414
female	adolescent	multiple congenital anomalies/dysmorphic syndrome-intellectual disability	-0.2738650508332545
female	adolescent	epidermal appendage anomaly	-1.2547210378945235
female	adolescent	male reproductive system disorder	-0.6003616262145812
female	adolescent	epidermal disease	-1.3629624197993064
female	adolescent	genetic epidermal appendage anomaly	-1.1543571277309246
female	adolescent	reproductive system disorder	-0.8940478545308512
female	adolescent	ectodermal dysplasia syndrome	-0.11510894848035175
female	adolescent	genetic infertility	-0.4850808779201617
female	adolescent	ichthyosis	-0.8339479938602864
female	adolescent	inherited ichthyosis syndromic form	0.49178118094292306
female	adolescent	autosomal ichthyosis syndrome	0.10310233450663761
female	adolescent	disorder of pilosebaceous unit	-2.1973020935530374
female	adolescent	skin appendage disorder	-1.148893652080996
female	adolescent	genetic hair anomaly	-2.212639821145822
female	adolescent	disorder of genitourinary system	-1.3000721400502988
female	adolescent	infertility disorder	-0.4457160339474939
female	adolescent	syndromic hair shaft abnormality	-2.4287873724459845
female	adolescent	hair anomaly	-2.362569948232381
female	adolescent	male infertility	-0.25298347982034053
female	adolescent	inherited ichthyosis	-0.8265911192826183
female	adolescent	DNA repair disease	-0.7826802541563797
female	adolescent	prelingual non-syndromic genetic hearing loss	1.1314421822991818
female	adolescent	inherited auditory system disease	0.39780389221054085
female	adolescent	nonsyndromic genetic hearing loss	1.131053173508614
female	adolescent	hearing loss disorder	0.3999080704661898
female	adolescent	postlingual non-syndromic genetic hearing loss	1.1292851509360191
female	adolescent	hearing disorder	0.39958873700061104
female	adolescent	auditory system disorder	0.4012661401607169
female	adolescent	mitochondrial complex deficiency	0.009647884109957948
female	adolescent	isolated oxidative phosphorylation complex disorder	-0.4734804264298683
female	adolescent	lens disorder	-0.2988400796798859
female	adolescent	early-onset non-syndromic cataract	0.24972058763720004
female	adolescent	cataract	-0.28259512509095963
female	adolescent	developmental defect of the eye	-0.511477132294626
female	adolescent	non-syndromic developmental defect of the eye	-0.18607449771248272
female	adolescent	early-onset partial cataract	-0.46213930078178345
female	adolescent	autosomal recessive congenital ichthyosis	-1.3572531105848282
female	adolescent	inherited non-syndromic ichthyosis	-1.534417607586541
female	adolescent	alopecia	-1.5624056510779794
female	adolescent	renal tubule disorder	-0.5959269264729561
female	adolescent	inherited renal tubular disease	-0.5968343828872107
female	adolescent	idiopathic disease	0.33529168109911145
female	adolescent	genetic alopecia	-1.3713681560521978
female	adolescent	autosomal dominant disease	-0.2719285114015849
female	adolescent	isolated genetic hair shaft abnormality	-1.6520997749379482
female	adolescent	autosomal dominant cerebellar ataxia	0.6920752440925143
female	adolescent	cerebellar degeneration	1.0644176936148453
female	adolescent	hereditary ataxia	1.665774980981765
female	adolescent	neuro-ophthalmological disease	-0.49670875857484315
female	adolescent	atactic disorder	1.6720212681908406
female	adolescent	cerebellar ataxia	1.5325359701930819
female	adolescent	hereditary cerebellar ataxia	1.5330341862112642
female	adolescent	cerebellar disorder	1.509551955600912
