sex	age_group	term	combined_zscore
female	adolescent	Immune system: Pro-B cells	-0.06694523855242339
female	adolescent	Immune system: Pre-B cells	0.09778496612733059
female	adolescent	Immune system: Naive B cells	2.082709015457368
female	adolescent	Immune system: Memory B cells	1.5451710268724042
female	adolescent	Immune system: Plasma B cells	1.4462045288411605
female	adolescent	Immune system: Naive CD8+ T cells	-0.8961715118310171
female	adolescent	Immune system: Naive CD4+ T cells	-1.8374776011945682
female	adolescent	Immune system: Memory CD8+ T cells	-0.8158499024756966
female	adolescent	Immune system: Memory CD4+ T cells	-1.7437123810161628
female	adolescent	Immune system: Effector CD8+ T cells	-1.1217910476305786
female	adolescent	Immune system: Effector CD4+ T cells	-2.099061534837633
female	adolescent	Immune system: γδ-T cells	-2.1036476476359685
female	adolescent	Immune system: CD8+ NKT-like cells	-0.6388624298264015
female	adolescent	Immune system: CD4+ NKT-like cells	-0.8792591172966762
female	adolescent	Immune system: Natural killer  cells	-0.6364994681387565
female	adolescent	Immune system: Eosinophils	0.27216713653317476
female	adolescent	Immune system: Neutrophils	-3.1331140718970016
female	adolescent	Immune system: Basophils	-1.8154384002536743
female	adolescent	Immune system: Classical Monocytes	-5.214341973504127
female	adolescent	Immune system: Non-classical monocytes	-4.689309990320493
female	adolescent	Immune system: Intermediate monocytes	-1.9201445160069572
female	adolescent	Immune system: Macrophages	0.12583736857246605
female	adolescent	Immune system: Endothelial	-0.9858165428881492
female	adolescent	Immune system: Erythroid-like and erythroid precursor cells	-3.0400978781137877
female	adolescent	Immune system: HSC/MPP cells	-2.6374178092815908
female	adolescent	Immune system: Progenitor cells	0.9661209374855859
female	adolescent	Immune system: Myeloid Dendritic cells	-0.7693323648490054
female	adolescent	Immune system: Plasmacytoid Dendritic cells	-0.16545318727171104
female	adolescent	Immune system: Granulocytes	-5.093104608502413
female	adolescent	Immune system: ISG expressing immune cells	-1.980965526276226
female	adolescent	Pancreas: Acinar cells	-1.2993604110913406
female	adolescent	Pancreas: Alpha cells	0.6086608397263599
female	adolescent	Pancreas: Beta cells	0.4515677523239685
female	adolescent	Pancreas: Delta cells	-0.2549070807313234
female	adolescent	Pancreas: Ductal cells	-0.7827399596001128
female	adolescent	Pancreas: Endothelial cells	-0.23757361994600956
female	adolescent	Pancreas: Epsilon cells	0.5239114776051058
female	adolescent	Pancreas: Gamma (PP) cells	-0.5583817201285519
female	adolescent	Pancreas: Immune system cells	-0.16952784990475186
female	adolescent	Pancreas: Pancreatic progenitor cells	-0.27653687112550857
female	adolescent	Pancreas: Pancreatic stellate cells	-0.32921300460133307
female	adolescent	Pancreas: Peri-islet Schwann cells	-0.7206301368124369
female	adolescent	Liver: Cholangiocytes	0.606741570144431
female	adolescent	Liver: Endothelial cell	-1.275907410284097
female	adolescent	Liver: Hepatic stellate cells	-0.9946027925686576
female	adolescent	Liver: Hepatoblasts	0.3030772359112777
female	adolescent	Liver: Hepatocytes	-0.5708398095771335
female	adolescent	Liver: Immune system cells	0.9664353132586598
female	adolescent	Liver: Kupffer cells	-2.278904937081818
female	adolescent	Eye: Muller cells	2.6098732390092656
female	adolescent	Eye: Retinal ganglion cells	-3.4555263031821797
female	adolescent	Eye: Retinal progenitor cells	0.3896814658718693
female	adolescent	Eye: Rod bipolar cells	0.009960006329798748
female	adolescent	Eye: Cone bipolar cells	0.1784496314223918
female	adolescent	Eye: GABAergic amacrine cells	0.4190206618810017
female	adolescent	Eye: Rod photoreceptor cells	0.04674219713440742
female	adolescent	Eye: Cone photoreceptor cells	-0.1949663820212127
female	adolescent	Eye: Microglial cells	-0.7290701287621266
female	adolescent	Eye: Horizontal cells	-0.5656480303617726
female	adolescent	Eye: Retinal pigment epithelial cells	-0.2859102298859066
female	adolescent	Eye: Endothelial cells	-0.8974326799000476
female	adolescent	Eye: Extracellular matrix cells	-1.3588397937325287
female	adolescent	Eye: Glycinergic amacrine cells	-0.9398264379168846
female	adolescent	Eye: Cholinergic GABAergic amacrine cells	0.10356435463791781
