gene	female-elderly-coarse-1
1	0
10	0
100	-0.026554241717693928
1000	0
10000	-0.021247299942757134
100009676	0
10001	-0.004845399963917812
10002	0.03185762101511861
10003	0
10004	0
100048912	0
10005	0.0037905946812313977
10006	0
10007	0
10008	-0.0037132425833076316
10009	0
100093630	0.03815831556350712
100093698	0
1001	0.03290422311941281
10010	0
100101467	0
100101938	0.029106672300797515
10011	0
100113407	0
100124700	-0.040697924335229264
100125288	0.013508414748952223
100126791	0.008692424068114036
100126793	0.007423625719681739
100127888	0
100127983	0
100128025	0
100128071	0.04054956177177859
100128098	0.027451615752969557
100128124	0
100128126	0
100128139	0
100128164	0.00413746429319512
100128191	0
100128239	0
100128325	-0.004030586282841645
100128554	0
100128590	-0.006075107151745811
100128640	-0.008852182478463947
100128731	0
100128750	0
100128782	0
100128788	-0.012626166015120297
100128881	-0.0036471174554470885
100128893	-0.001704628264462599
100128927	0
100128946	0
100129128	0.006498217360882354
100129175	0
100129195	0
100129196	0.03013350366167845
100129250	0
100129271	0
100129361	6.11247016947313e-4
100129427	0
100129461	0.0029999100868087192
100129482	0
100129503	0
100129550	0
100129597	-0.005326184092423802
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0.004455800150297371
100129792	0.002721604961983523
100129794	0
100129827	0
100129845	0
100129858	0
100129917	0.008894977275786755
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.002569820239357011
100130449	-0.023633567510711866
100130476	0
100130519	0.005158954939402772
100130522	0.01693106707145973
100130548	0
100130613	0
100130691	-0.00617122003713806
100130705	0
100130717	-0.01285326682379003
100130733	-0.0013471899315367602
100130776	0
100130894	0
100130933	0
100130950	-0.023931154034347903
100130958	0.021682883140962454
100130967	-0.007249106681126903
100131017	0
100131067	0
100131117	0
100131138	0
100131187	0
100131211	-0.003037798975350734
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.0011838546582571628
100131496	0
100131655	0
100131691	-0.003010303656793144
100131755	-0.010349286980114478
100131801	0
100131814	-0.023556834058226412
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	-0.017456599850997487
100133311	0
100133461	0
100133612	0.003922013530626127
100133941	-0.05767388366010628
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	0
100144597	0
100144602	0
100144603	0
100144748	0.005819662592606058
10015	0
10016	0
100169752	0.003374616301736128
100169989	0
10017	0
100170229	0
100170765	-0.0020539901377774647
100170841	-0.0032772016803159373
10018	0.01792627245049485
100188893	0
100188953	0
100189589	-0.003918334962828275
10019	-0.002881465203840338
100190938	-0.009326622009107723
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0.009551779287247715
10024	0.02693843525923708
10025	0
10026	0
100268168	0
100270679	0
100272147	-0.029911537628375767
100286844	0
100287015	-0.017083116698448517
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0.00611863196379327
100287616	0.01067314526097282
100287814	-0.017039133031029864
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
