gene	female-fetus-fine-1
10000	0
10001	0
10002	0
10003	0.009029562461503606
100048912	0
10004	0
10005	0
10006	0
10007	0
10009	0
1000	0.010125460401794859
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	0
10016	-0.0017688210363059188
10017	0
100188893	0
10018	0
10019	0
1001	0.0011288299912903964
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100272147	-8.12929410611496e-4
100287932	0
100288413	0
100289678	0
100293516	0
1002	9.361654368636531e-4
100316904	0
10036	0
10038	0
10039	0
1003	0.0027809828552485326
10040	0
10042	0
10043	0
10045	0
10046	4.5966859940541527e-4
10047	0
10048	-6.954759229114401e-4
10049	0
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	0
100506963	0
100507331	0
100507436	0
100507605	0
10050	0
10051	0
10052	0
10053	0
10054	0
10055	0
10057	0.004740676011318168
10058	0
10059	0
1005	0
10060	0
10061	0
10062	0
10066	0
10067	0
10069	0
1006	0
10072	0
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0
1007	0
10083	-0.001211175750308543
10084	0
10085	0.001879687741365935
10086	0
10087	0
10089	0
1008	0.0035414388814682964
10090	0
10092	0
10093	0
10095	-0.005988108738098203
10096	0
10097	0
10098	0.006585522311001403
10099	0
1009	0.021030771195997937
100	0
10100	0
10101	0
10102	0
10103	-0.00168823912749794
10105	0
10106	0
10107	0
10109	0
1010	0.004212478454692822
10110	0
10111	0
10112	0
10113	0
10114	-0.00064393165183953595
10116	0
10120	0
10121	0.002548313970344335
10123	0
10125	0
10126	0
10127	0
10128	0
10129	0
1012	0.005486315875353769
10130	5.148709014793564e-4
10131	0
10133	0
10134	-0.0010750617370097883
10135	-4.550533265023359e-4
10136	0
10137	0
10138	0
10139	0
1013	0
10140	0
10141	0
10142	0
10144	0.0036404079759583523
10146	0
10147	0
10148	0
10149	-0.0024937990380730322
1014	0.0021665010320886676
10150	0
10152	0
10153	0
10154	-0.007077028498458497
10155	0.0013583888274758705
10157	0
10158	0
10159	0
1015	0
10160	0.003981329993837047
10161	0
10162	0
10163	0
10164	-5.296538735477115e-4
10165	0
10166	0
10168	0
1016	-0.005498503466657806
10170	0
10171	0
10174	0
10175	1.415765670401034e-4
10178	0
10179	0
1017	0
10180	0
10181	1.0636959009359132e-4
10184	8.330867751858051e-5
10186	0.0010592520035618204
10188	0
10190	0
10193	0
10195	0
10196	0
10197	0
10198	0
10199	0
1019	0
101	0
10200	0
10201	0
10202	-0.0023894914600621144
10203	0
10205	0
10206	0
10207	-0.0019424272757710614
10208	0.002396699448234265
10209	0
1020	0
10210	0
10211	-0.0036196970173459175
10212	0
10213	0
10214	0
10215	0
10216	-5.086696623596507e-5
10217	-1.4049354364766988e-4
10218	0
10219	-0.0025641824081295847
1021	0
10220	2.7427714313956767e-5
10221	0
10223	-8.756492567409522e-4
10225	0
10226	0
10227	0
10228	0
10229	0
1022	0
10230	-0.001422286972964208
10231	-0.007889940618182767
10232	0
10233	0
10234	0.03391178075225965
10235	0
10236	0
10237	0
10238	0
10240	0
10241	0
10242	0
10243	-0.0026851962213876404
10244	0
10245	0
10246	0.001444063451342878
10247	-0.0022772758596100095
10248	0
10249	0
10250	0
10252	2.8485926441516705e-4
10253	0.009507724840273265
10254	0
10255	0
10256	0
10257	0.002035549225962854
1025	-7.554649413658056e-4
10260	0.0035131704673363644
10261	-5.268275411605492e-4
10262	0
10263	0
10265	-0.0025940569427702303
10266	9.948469613192987e-4
10267	-0.012681926289469715
10268	0
10269	0
1026	-6.529508927690907e-5
10270	0
10272	0
10273	0
10274	1.337781131280126e-4
10276	-0.0013785308473912533
10277	0
10278	0
