gene	female-old_adult-fine-1
1	0
10	0
100	-0.002580583063287881
1000	0
10000	0.021319206408972096
100009676	0.019888559444687596
10001	0
10002	0
10003	0.016918360907594125
10004	0
100048912	0
10005	-0.008611858678524322
10006	0
10007	0
10008	-0.007489278067405402
10009	0
100093630	-0.0197483036003956
100093698	0
1001	0
10010	-0.0076738254180455405
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	-0.006702802639427714
100126793	-0.036978080002492364
100127888	0
100127983	-0.02602671913034554
100128025	0
100128071	-0.020052287648778713
100128098	-0.007180442595659137
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0.02353257972285655
100128554	0
100128590	-0.022469933140007694
100128640	0.0025064226840828627
100128731	-0.011471439530023785
100128750	-0.007912303776974026
100128782	-7.978615529581013e-4
100128788	0
100128881	0
100128893	-0.053698130322640744
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.012510857028594228
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	-0.008878771022949828
100129620	0
100129654	-0.002060421927048827
100129662	0
100129716	0
100129722	0
100129726	0
100129792	-0.007934056817452725
100129794	6.278869315716839e-5
100129827	0
100129845	0.016558833909488348
100129858	-0.02768667856466652
100129917	0.031172714626824305
100129935	0
10013	-0.021419464955696993
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0.015404125724973043
100130449	4.0881432255793833e-4
100130476	-4.4632132086181055e-4
100130519	0
100130522	-0.01687024386681811
100130548	0
100130613	0
100130691	0
100130705	-0.0030661137194800325
100130717	0.006919704497411506
100130733	-0.0077626832247066745
100130776	0.014467915969462673
100130894	0
100130933	0
100130950	-0.06391049920975236
100130958	0.11816444264035347
100130967	-0.009346299027488307
100131017	0
100131067	0
100131117	-0.007342934874365573
100131138	7.97541720190345e-4
100131187	0.029104220988121782
100131211	-0.0026828064123037023
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0.0017628342365460419
100131496	0
100131655	0
100131691	0.016409699101606924
100131755	-0.023170702336079756
100131801	-0.006773320361271214
100131814	0.003158857757391114
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.011035306884447808
100133205	-0.0027209209648491168
100133311	0
100133461	0
100133612	0.015194634582143573
100133941	-0.04277774577756587
100133985	-8.62950972103976e-4
100134229	0
100134259	-0.0034093654176865357
100134368	0
100134713	0
100137047	0
10014	0
100141515	0.019692594934443076
100144597	0
100144602	0
100144603	0
100144748	0
10015	0
10016	-0.0033177608988636123
100169752	0
100169989	0
10017	0
100170229	0
100170765	-0.017575983634453087
100170841	0.00476262787534337
10018	-3.143642283961283e-5
100188893	0
100188953	0.009602187679930015
100189589	0
10019	0.009607931892946302
100190938	0.0061488095943817225
100192379	0
100192386	0
1002	0
10020	-0.007653049181992976
10021	0
10022	0
10023	0
10024	0
10025	-0.05157013792720817
10026	0
100268168	-0.018224566551584956
100270679	0
100272147	0.013761391562275906
100286844	0
100287015	0
100287114	0
100287177	0.007123003896897315
100287366	0
