entrez	group
338094	Adipose_female
6299	Adipose_female
8908	Adipose_female
117283	Adipose_male
137868	Adipose_male
219287	Adipose_male
122042	Adipose_male
27151	Adipose_male
2334	Adipose_male
8653	Adipose_male
9086	Adipose_male
8284	Adipose_male
22829	Adipose_male
83259	Adipose_male
6192	Adipose_male
9087	Adipose_male
8287	Adipose_male
7404	Adipose_male
7544	Adipose_male
8653	Amygdala_male
9086	Amygdala_male
22829	Amygdala_male
83259	Amygdala_male
6192	Amygdala_male
9087	Amygdala_male
8287	Amygdala_male
7404	Amygdala_male
7544	Amygdala_male
5629	Artery_female
27199	Artery_female
201516	Artery_female
256714	Artery_female
27151	Artery_male
8653	Artery_male
9086	Artery_male
8284	Artery_male
22829	Artery_male
83259	Artery_male
6192	Artery_male
6736	Artery_male
90665	Artery_male
9087	Artery_male
64591	Artery_male
8287	Artery_male
7404	Artery_male
7544	Artery_male
26289	Breast_female
270	Breast_female
441869	Breast_female
79098	Breast_female
722	Breast_female
725	Breast_female
388611	Breast_female
914	Breast_female
163732	Breast_female
149461	Breast_female
1296	Breast_female
1380	Breast_female
440695	Breast_female
400823	Breast_female
440585	Breast_female
79368	Breast_female
83416	Breast_female
114827	Breast_female
2672	Breast_female
2848	Breast_female
126917	Breast_female
163702	Breast_female
11009	Breast_female
3645	Breast_female
3738	Breast_female
3775	Breast_female
55220	Breast_female
3898	Breast_female
3914	Breast_female
3918	Breast_female
3932	Breast_female
59352	Breast_female
10446	Breast_female
374977	Breast_female
4608	Breast_female
4914	Breast_female
84033	Breast_female
284521	Breast_female
11240	Breast_female
5142	Breast_female
10158	Breast_female
5284	Breast_female
26279	Breast_female
9651	Breast_female
5996	Breast_female
54546	Breast_female
864	Breast_female
57402	Breast_female
2810	Breast_female
148641	Breast_female
81849	Breast_female
199964	Breast_female
8784	Breast_female
7161	Breast_female
51127	Breast_female
55001	Breast_female
127665	Breast_female
257101	Breast_female
525	Breast_female
53335	Breast_female
165257	Breast_female
50489	Breast_female
925	Breast_female
926	Breast_female
165530	Breast_female
1285	Breast_female
9595	Breast_female
1838	Breast_female
1844	Breast_female
4072	Breast_female
84141	Breast_female
642273	Breast_female
344018	Breast_female
8324	Breast_female
3235	Breast_female
29851	Breast_female
28946	Breast_female
79781	Breast_female
3694	Breast_female
200634	Breast_female
8942	Breast_female
4065	Breast_female
130576	Breast_female
5133	Breast_female
5746	Breast_female
6326	Breast_female
6382	Breast_female
6664	Breast_female
80309	Breast_female
84620	Breast_female
7039	Breast_female
25806	Breast_female
7447	Breast_female
80326	Breast_female
7498	Breast_female
7535	Breast_female
84239	Breast_female
344905	Breast_female
729230	Breast_female
10225	Breast_female
10686	Breast_female
112616	Breast_female
152330	Breast_female
1294	Breast_female
10663	Breast_female
2047	Breast_female
2049	Breast_female
83850	Breast_female
131177	Breast_female
26998	Breast_female
55079	Breast_female
131096	Breast_female
27074	Breast_female
57633	Breast_female
4057	Breast_female
4486	Breast_female
64332	Breast_female
5021	Breast_female
23007	Breast_female
5918	Breast_female
54763	Breast_female
152015	Breast_female
64108	Breast_female
415117	Breast_female
8626	Breast_female
127	Breast_female
8999	Breast_female
6374	Breast_female
6372	Breast_female
27071	Breast_female
54798	Breast_female
1950	Breast_female
729830	Breast_female
260436	Breast_female
9982	Breast_female
3512	Breast_female
3815	Breast_female
63973	Breast_female
152519	Breast_female
4825	Breast_female
27065	Breast_female
5197	Breast_female
8842	Breast_female
166824	Breast_female
56606	Breast_female
10568	Breast_female
80008	Breast_female
339967	Breast_female
7368	Breast_female
8633	Breast_female
345651	Breast_female
56477	Breast_female
79616	Breast_female
10309	Breast_female
2150	Breast_female
2196	Breast_female
2246	Breast_female
2299	Breast_female
2568	Breast_female
27190	Breast_female
3575	Breast_female
79192	Breast_female
153572	Breast_female
50805	Breast_female
3779	Breast_female
8572	Breast_female
5307	Breast_female
153478	Breast_female
84249	Breast_female
6558	Breast_female
28965	Breast_female
6932	Breast_female
57451	Breast_female
7015	Breast_female
266977	Breast_female
84830	Breast_female
720	Breast_female
721	Breast_female
29113	Breast_female
168002	Breast_female
65989	Breast_female
667	Breast_female
2173	Breast_female
222584	Breast_female
84553	Breast_female
10690	Breast_female
116379	Breast_female
112609	Breast_female
222546	Breast_female
80352	Breast_female
860	Breast_female
389432	Breast_female
256380	Breast_female
117289	Breast_female
387357	Breast_female
50617	Breast_female
168620	Breast_female
401335	Breast_female
84433	Breast_female
1180	Breast_female
2041	Breast_female
5137	Breast_female
5154	Breast_female
136306	Breast_female
155006	Breast_female
349136	Breast_female
441376	Breast_female
10863	Breast_female
640	Breast_female
57805	Breast_female
92421	Breast_female
83690	Breast_female
1807	Breast_female
79645	Breast_female
203111	Breast_female
83648	Breast_female
