gene	male-elderly-fine-1
1	0
10	8.220081455373148e-4
100	0.0013720541516984326
1000	0
10000	-0.003004703568125541
100009676	0
10001	0
10002	0
10003	0
10004	-0.015740031378917444
100048912	0
10005	0
10006	0
10007	0
10008	-0.014680734860361026
10009	0
100093630	0.04772478682142062
100093698	0
1001	-0.005371708085705211
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	-0.013936287617946049
100125288	-8.127533348926306e-5
100126791	0
100126793	0
100127888	0.001308389365505924
100127983	0
100128025	0
100128071	-0.011493187614152179
100128098	0.04065831379708529
100128124	-0.07393453194089929
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0
100128590	-0.007821074764983203
100128640	0
100128731	0
100128750	0
100128782	-0.02405336529549709
100128788	-0.006439590594035993
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.009019262101442637
100129196	0.004323968281646887
100129250	0.009719282857476192
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	-0.01124717446811242
100129716	-0.00660733229530994
100129722	0
100129726	0
100129792	-0.0671824864347451
100129794	0
100129827	0.01184730541204028
100129845	0
100129858	0
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	-0.0123889558865972
100130548	0
100130613	0
100130691	0
100130705	-0.009435574156698224
100130717	0.026150194630174407
100130733	0
100130776	0
100130894	0
100130933	0
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	0
100131187	0
100131211	-0.005563959904708058
100131213	0.012172219589263162
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.012454241147039823
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.03583991068770574
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.038340484999730674
100133985	0
100134229	2.876297154508497e-4
100134259	0
100134368	0
100134713	0
100137047	-0.0016452307199663297
10014	-0.0036302372778695157
100141515	0.010813009886474512
100144597	0
100144602	0.06508772897287106
100144603	0.016720952613288993
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	-0.00988706101119531
10018	0
100188893	-9.757508625542714e-4
100188953	0.019507376678703954
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0.01401272925558915
10025	-0.00793311503450789
10026	0
100268168	0
100270679	0
100272147	0.011540935915480353
100286844	0
100287015	0.001164018686941299
100287114	0
100287177	3.8157399730712893e-4
100287366	0
100287482	0
100287569	0.029747994492332893
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0.017701229374095375
100289097	0
100289098	0
100289187	0
100289274	0
100289341	0.0019447764587670873
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	-0.007754253496070497
100294720	0
1003	0
100302691	0
100303728	0
100303755	0.01133408951686826
100306951	0
100316904	-0.017620656001557166
100329135	0
100359394	0
10036	-0.0037301589294513548
100379174	0
10038	0
100381270	0.01067511525786081
10039	0.022134800869874738
1004	0
10040	0
10042	0
100422737	0
10043	0
10044	0
10045	-0.011758471450709605
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0.0035275142138333554
10050	0
100500850	0
100505474	0
100505478	0
100505495	-0.008497485618395697
100505501	0.025198138242007923
100505515	0
100505538	0
100505540	0
100505545	0.0028951891632696147
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	-0.01547627115774155
100505641	0
100505658	0
100505659	4.8404351111891393e-4
100505664	-0.04020812246646276
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0.00461241769627388
100505715	0.011062550884101872
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0.004551310585459924
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	4.922065991889563e-5
100505841	0
100505851	0
100505854	0
100505876	0.004740694570283923
100505877	0
100505879	-0.038511394741707485
100505881	0
100505890	0
100505893	0.006876433533436036
100505894	0
100505933	-0.03344277339500143
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.043430180872439675
100505985	0
100505989	0
100506012	0
100506013	0.03683052310953071
100506022	0
100506025	0
100506049	0
100506068	-0.017976613900478174
100506071	0.01526942962148002
100506082	0
100506083	0.003950500013590476
100506098	0
100506100	0.020178988734194887
100506107	0
100506108	0.013726497756230657
100506113	-0.0023224044887453937
100506115	-0.0194634364846663
100506119	-0.0089489867522326
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0.0014469144411134694
100506172	0
100506175	0
100506195	0
100506207	0.015267496243032289
100506215	0
100506229	0
100506237	0
100506243	0.015776729981719025
100506271	0
100506274	0.027428486634504888
100506286	0
100506289	0
100506302	0
100506314	-0.019683167682975983
100506319	0
100506368	0
100506374	-0.03258150031352624
100506380	0
100506385	0
100506405	0
100506406	0
100506409	-0.026455828622198006
100506413	0
100506421	0
100506428	0
100506433	0
100506457	-0.003415150230404012
100506462	0
100506465	0.02138311064028564
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0.015740814158746078
100506498	0.004174317764320178
100506504	0
100506526	0
100506527	-0.0020264430279593516
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	-0.006593652743145401
100506606	1.301433446069838e-4
100506622	0
100506655	0
100506660	0
100506668	0
100506675	-0.058760664873197456
100506677	0
100506679	0
100506680	0
100506686	0.022840904518522435
100506691	0.015023485789438532
100506696	4.659966671979222e-4
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	-0.013161259348188863
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	-0.0026803058211182806
100506795	0.022250587533919567
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	-0.004701085924572671
100506930	0
100506963	0.00688865288919156
100506994	0
100506999	0
100507027	-0.004426053497336234
100507034	0
100507050	0.030534820007566778
100507057	0
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0.0031765187360306697
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	-0.01223777380421559
100507240	0
100507246	0.004339642381171911
100507250	-0.016907785906259794
100507254	0.0032409121674270252
100507257	0.060841074808419535
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0.0016904220230061914
100507303	0
100507316	0.011026021655093912
100507331	0
100507336	-0.00737242492897972
100507362	0
100507384	-0.01286536919321698
100507388	0
100507389	0
100507391	0
100507392	-0.00917242161923035
100507403	0
100507421	0
100507423	0
100507428	0.011929953012042582
100507433	0
100507436	0
100507459	0
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0.011765874120959127
100507477	0
100507487	0
100507495	0.005995047428017012
100507506	0
100507524	0
100507527	0
100507533	0.0032730992809760773
100507534	0
100507537	0
100507540	-0.01861977625727545
100507547	0.03164983255021236
100507564	0
100507567	0
100507584	0
100507600	0
100507602	0.008418169721106457
100507605	0
100507629	0
100507632	0
100507642	0
100507650	0.004650207215324783
100508631	0.0030039292893437332
10051	-0.0054797705769216686
10052	0
100526820	0
100528062	0
10053	0
100533106	0
100533178	0
100533182	-0.01461092898741019
10054	0
10055	0
10056	0
10057	0
10058	0.0012532963724874785
10059	0
1006	-3.888601994522599e-4
10060	0
10061	0
10062	0
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0
10069	0
1007	-0.004275973155488102
10071	0
10072	0
10073	0
10075	0
10076	0
10077	-0.016003250445877776
10078	0
10079	0
1008	0
10081	0
10082	0
100820829	0
10083	0
10084	0
10085	0.02231586245000819
100852408	0
100852409	0
100859921	0
100859930	0
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	-0.006490319366014387
100862679	0
100862680	-0.04435046731556064
100862704	0.006559457236278625
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.02034493627667521
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0.021962719324838932
100874253	0
100874323	-0.004154601310386612
100874362	0
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	-0.006047653937092592
1009	0
10090	0
10092	0
10093	0
10095	0
10096	0
10097	0
10098	0
10099	-0.01167849755664609
