gene	male-fetus-coarse-1
10000	0
10001	0
10002	0
10003	0.002729691502292388
100048912	0
10004	0
10005	0
10006	0
10007	0
10009	0
1000	0.007252232804134073
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	0
10016	-0.0010091889411070181
10017	0
100188893	0
10018	0
10019	0
1001	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	-0.0010118913894815772
100272147	-0.0018610423762741087
100287932	0
100288413	0
100289678	0
100293516	0.00607034433010793
1002	0.0025635532300266797
100316904	0
10036	0
10038	0
10039	0
1003	0.008516439572624521
10040	0.0034186757394085608
10042	0
10043	0
10045	0
10046	0
10047	0
10048	-0.0018835832130602698
10049	0
1004	0
100505741	0
100505761	0
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	0
100506963	0
100507331	0
100507436	0
100507605	0
10050	0
10051	0
10052	0.006611086720387845
10053	0
10054	0
10055	0
10057	0.004543183611305571
10058	0
10059	0
1005	0
10060	0
10061	0
10062	0
10066	0
10067	0
10069	0
1006	-0.0019446256733245584
10072	0
10073	0
10075	0
10076	0
10077	5.512098295488001e-4
10078	0
10079	0
1007	-0.0014131178870779844
10083	0
10084	0
10085	0.00906094975730643
10086	0
10087	0
10089	0
1008	9.714242013751152e-4
10090	0
10092	0
10093	0
10095	-0.00212281067451994
10096	0
10097	-0.0010725619005783787
10098	0.011071118153516425
10099	0
1009	0.016587519517045676
100	0
10100	0
10101	0
10102	0
10103	0
10105	0
10106	0
10107	4.2416134935777357e-5
10109	0
1010	0
10110	0
10111	0
10112	0
10113	-7.438195987125332e-4
10114	0
10116	0
10120	0
10121	0.005189082549852565
10123	0
10125	-0.0057622982531435425
10126	0
10127	0
10128	0
10129	0
1012	0.013473944348881378
10130	4.0368427367664604e-4
10131	0
10133	0
10134	-0.003618846236379769
10135	-0.003579221371612868
10136	0
10137	0
10138	0
10139	0
1013	0
10140	0
10141	0
10142	0
10144	0.006186073540951149
10146	0
10147	0
10148	0
10149	0
1014	0
10150	0
10152	0
10153	-0.0017478143462660394
10154	-0.0034070592240605857
10155	0.002190001906852506
10157	0
10158	0
10159	0
1015	0
10160	0.0036072962210848027
10161	0
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
1016	-0.012851983842825196
10170	-0.00237033752051531
10171	0
10174	0
10175	0
10178	0
10179	1.6709829795269473e-4
1017	-0.0014834954257974507
10180	0
10181	0
10184	0
10186	0
10188	0
10190	0
10193	0
10195	0
10196	-0.0017000513181443218
10197	0
10198	0
10199	0
1019	0
101	0
10200	0
10201	0
10202	-0.004267569000302048
10203	0
10205	-0.002973080439155593
10206	0
10207	-4.5000650021521563e-4
10208	0
10209	0
1020	-6.382224163904119e-4
10210	0
10211	-0.00616329132005512
10212	0
10213	-0.00178777182916827
10214	0
10215	0
10216	0
10217	0
10218	0
10219	-6.509284549051236e-4
1021	0
10220	0
10221	0
10223	0
10225	0
10226	0
10227	0
10228	0
10229	0
1022	0
10230	0
10231	-0.01238441550951769
10232	0.00160042923528373
10233	0
10234	0.03262349271448909
10235	0
10236	0
10237	0
10238	0
10240	0
10241	-5.844761248597329e-5
10242	0
10243	0
10244	0
10245	0
10246	0.004023452869547898
10247	-0.0036205018918095467
10248	0
10249	0
10250	0
10252	0
10253	0.008970070280745684
10254	0
10255	0
10256	0
10257	0.004483266479130378
1025	-7.518511216217962e-4
10260	0.0024451729374874507
10261	-0.003354768665940342
10262	0
10263	0
10265	-0.0027554574107134886
10266	0
10267	-0.011968107026406523
10268	0
10269	0
1026	0
10270	0
10272	0
10273	0
10274	0
10276	-8.50148901548795e-5
10277	7.579925014263269e-4
10278	0
10279	-0.005683239685934752
1027	0
10280	0
10281	0
