gene	male-fetus-fine-2
10000	0
10001	0
10002	0
10003	0.0073531084565732615
100048912	0
10004	0
10005	-0.003723422260515812
10006	0
10007	0
10009	0
1000	0.010573003281247061
10010	0
100126791	0
100128124	0
100128640	0
100129128	0
100129250	0
100129271	0
100129361	0
100129482	0
100130331	0
100130449	0
100132341	0
100132476	0
100134713	0
100137047	0
10013	0
10014	0
10015	-0.0015256480030061336
10016	-0.0033624324753033247
10017	0
100188893	0
10018	0
10019	-3.760999874110494e-4
1001	0
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	-0.0020870682855811617
100272147	0
100287932	0
100288413	-0.0011364554104007906
100289678	0.001951760402837021
100293516	0.007709527100263299
1002	0
100316904	0
10036	0
10038	0
10039	0
1003	0
10040	0.002581719140057033
10042	0
10043	0
10045	0
10046	0
10047	0
10048	-0.0022277046564996477
10049	0.002200350556304083
1004	0
100505741	0.006579982399883166
100505761	0.0013100697524746517
100505879	0
100505933	0
100506144	0
100506469	0
100506504	0
100506571	0
100506581	5.234894580960527e-4
100506963	0
100507331	0
100507436	8.026448097371131e-4
100507605	0
10050	0
10051	-2.6056378976628304e-5
10052	5.588751370105961e-4
10053	0
10054	0
10055	0
10057	0.004037239645450969
10058	0
10059	0
1005	0
10060	0
10061	0
10062	0
10066	0
10067	0
10069	0.003809527032476361
1006	-3.6261463709735223e-4
10072	0
10073	0
10075	0
10076	0
10077	0
10078	0
10079	0
1007	0
10083	0
10084	0
10085	5.152696709286033e-4
10086	0
10087	0
10089	0
1008	0.0017352097400037349
10090	0
10092	0
10093	0
10095	0
10096	0
10097	-0.002487607646641352
10098	0.010212089613517916
10099	-1.3957373288557792e-4
1009	0.013049700134833267
100	0
10100	0
10101	0
10102	0
10103	0
10105	0
10106	0
10107	0
10109	0
1010	0
10110	0
10111	0
10112	0
10113	0
10114	0
10116	0
10120	0
10121	0.006351445363114213
10123	0.011835287735873825
10125	0
10126	0
10127	0
10128	-9.087755432957603e-4
10129	0
1012	0.009713217664839792
10130	9.421299960238604e-6
10131	0
10133	0.005814208460054681
10134	-0.00653358776152655
10135	-0.0056563830147744664
10136	0
10137	0
10138	0
10139	0
1013	0
10140	0
10141	0
10142	-0.0023295428585361874
10144	0.0031780237103465705
10146	0
10147	0
10148	0
10149	0
1014	0.003119887858011107
10150	0
10152	0
10153	-0.004352342714302685
10154	-0.0042618153852769305
10155	9.073033438198946e-4
10157	-6.928471706386498e-4
10158	0
10159	-0.0019611754353152265
1015	0
10160	0.005661177020855784
10161	-1.9846314279579086e-4
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
1016	-0.01226941984628557
10170	-0.0051467034192890695
10171	0
10174	0
10175	0
10178	0
10179	0.0013404659517808866
1017	-0.0014804033525970667
10180	0
10181	0
10184	0
10186	0
10188	0
10190	0
10193	0
10195	0
10196	-0.0020178208847606025
10197	0
10198	0
10199	0
1019	0
101	0
10200	0
10201	3.908048179106051e-4
10202	0
10203	0
10205	-0.002997943582236897
10206	5.775696827691974e-5
10207	0
10208	0
10209	-0.001022791971513234
1020	0
10210	-0.005560230596509968
10211	-0.002201512780161826
10212	0
10213	-0.003980550153885145
10214	0
10215	0
10216	0
10217	0
10218	0
10219	0
1021	0
10220	0
10221	0
10223	0
10225	0
10226	0
10227	0
10228	0
10229	0
1022	0
10230	0
10231	-0.015987532756525757
10232	0
10233	0
10234	0.04394135140912547
10235	0
10236	0
10237	0
10238	0
10240	0
10241	0
10242	0
10243	0
10244	0
10245	0
10246	2.476107786974176e-4
10247	0
10248	0
10249	0
10250	0
10252	0
10253	0.005367076994318298
10254	0
10255	0
10256	0
10257	0
1025	0
10260	0
10261	0
10262	1.778409013467349e-4
10263	0
10265	-0.003473211210137426
10266	0
10267	-0.014225625041806212
10268	-0.001908486664134432
10269	-0.0017726330821898905
1026	-0.00154225745391327
10270	0
