gene	male-infant-fine-2
1	0.015318894096042607
10	-0.0014721655617205103
100	0.013094126015015518
1000	0.030790222118531094
10000	0
100009676	0
10001	0
10002	0
10003	-0.0019433783395726182
10004	-0.0025194378084848605
100048912	0
10005	-0.0012677260931643162
10006	0
10007	0
10008	0
10009	0
100093630	0.013853338004139204
100093698	0
1001	-0.012610626265580013
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	0
100125288	0
100126791	0
100126793	0
100127888	0
100127983	-0.018020159000403203
100128025	0
100128071	0.01377879752244843
100128098	0
100128124	-0.0010120937155935052
100128126	0
100128139	0
100128164	0
100128191	0
100128239	-0.0010452419644421
100128325	0
100128554	0
100128590	-0.051882849910403914
100128640	0
100128731	0
100128750	0
100128782	-0.010975968944782139
100128788	0
100128881	-0.0021182717989199486
100128893	0.010065634635126525
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0.012008909772885178
100129250	0.00601321814890228
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	-0.010483293175226118
100129597	0
100129620	0
100129654	0
100129662	-0.0054328886159126484
100129716	0
100129722	0.004508595493939042
100129726	0
100129792	0
100129794	0
100129827	0.007122049813754638
100129845	0
100129858	0
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	-0.004042641503182203
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0.03261518095493707
100130733	0
100130776	0
100130894	0
100130933	0.008927090883374742
100130950	0.008458012870372969
100130958	0
100130967	0
100131017	0
100131067	0.011080598594896697
100131117	0
100131138	-0.0026653043240385936
100131187	0
100131211	0.011531057894202893
100131213	-0.010898447961201268
100131303	0
100131347	0
100131366	0
100131434	-0.034712081063751
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0.0045128456353229675
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.009909587519927114
100133205	0
100133311	-0.001409808769832668
100133461	0
100133612	0
100133941	0.002613089082814589
100133985	0
100134229	0
100134259	-4.949123517045691e-4
100134368	0
100134713	0
100137047	0
10014	-0.009093151254001878
100141515	0
100144597	0
100144602	0
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0.0019207365968240521
10018	0
100188893	0
100188953	0
100189589	0
10019	0.0018794980751812695
100190938	0
100192379	0
100192386	0
1002	-0.0020840453103911642
10020	0
10021	0
10022	0
10023	0.005456323625656653
10024	0
10025	0
10026	0
100268168	0
100270679	0
100272147	-0.0013031650112746178
100286844	0
100287015	0
100287114	0.002838158187996126
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	-0.0017434566267998774
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0.006480947411959279
100289187	0
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
100303755	0
100306951	0
100316904	0
100329135	0.0015714798898822256
100359394	0
10036	0
100379174	0
10038	0
100381270	0
10039	-0.0015805526349927062
1004	0
10040	-0.009720033530416042
10042	0
100422737	0
10043	-0.006085730750701692
10044	0
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0
10050	0.010722790395869493
100500850	-0.025264130401028054
100505474	0
100505478	0
100505495	6.780005892452336e-4
100505501	0
100505515	0
100505538	0
100505540	0
100505545	0
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	-0.004349892989736013
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	0
100505687	0
100505696	-0.016617266751259
100505715	-0.006166297285698594
100505718	0
100505738	5.570461683241352e-4
100505741	0.009450615741224508
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.005602063012168761
100505811	0
100505812	0
100505826	-0.0010941772317837098
100505839	0
100505841	0.005753994409960053
100505851	0
100505854	0
100505876	0
100505877	0
100505879	0
100505881	-0.014627519169645402
100505890	0
100505893	0
100505894	0
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	-0.0049411807727453546
100505985	-4.995621135098024e-4
100505989	0
100506012	0
100506013	-0.0035458793704439312
100506022	0
100506025	0
100506049	0
100506068	0
100506071	0
100506082	0.005716477538721144
100506083	0
100506098	0
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0.008305870378693637
100506119	-0.007135483673809484
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0
100506172	0
100506175	0
100506195	0
100506207	-0.0028552798963811395
100506215	0
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0
100506314	0
100506319	0
100506368	0
100506374	0
100506380	0
100506385	-0.00919227063369331
100506405	0
100506406	0
100506409	0.007116075966962157
100506413	0
100506421	-0.0196169046206263
100506428	0
100506433	0
100506457	0
100506462	0
100506465	6.651113183741408e-4
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0.01088269711539697
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	-0.007530586137654429
100506606	0
100506622	-2.0725054721337742e-4
100506655	0
100506660	0.0052508325077042185
100506668	0
100506675	0.002678554825130493
100506677	0
100506679	0
100506680	0
100506686	0
100506691	0.006765532573470079
100506696	0
100506697	0.0035750368974385837
100506710	0.014629334924874173
100506713	0
100506714	-0.0023683833543740873
100506724	0
100506733	0
100506742	0
100506755	-0.01173668200458868
100506757	0.002557994151971103
100506765	0
100506776	0
100506779	0
100506790	0
100506791	0
100506795	0
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0.009097074066230369
100506874	0
100506895	0
100506907	0
100506922	0.022447307662538905
100506930	0
100506963	-0.014821303190960223
100506994	0
100506999	0
100507027	-0.015307438343337126
100507034	0
100507050	0
100507057	-1.8544753015352063e-4
100507058	0
100507059	0
100507062	0
100507064	0.006898424516841327
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	0
100507240	0
100507246	0
100507250	-0.00276462622811343
100507254	0.027337114664081823
100507257	0
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0
100507316	0
100507331	0
100507336	0.010803531409735436
100507362	0
100507384	0.001049998809483715
100507388	0
100507389	0
100507391	0
100507392	0
100507403	0
100507421	0
100507423	0
100507428	0
100507433	0
100507436	0
100507459	0
100507461	0
100507462	0.0029607593746705354
100507463	0
100507468	0
100507470	0
100507475	0
100507477	0
100507487	-0.014067089500675192
100507495	0.0038343700286072933
100507506	0
100507524	0
100507527	0
100507533	0
100507534	-0.0079771677752229
100507537	0
100507540	0.0023885802889295656
100507547	0
100507564	0
100507567	0
100507584	0
100507600	0
100507602	-0.014259133492767162
100507605	0
100507629	0
100507632	0
100507642	0
100507650	0
100508631	0
10051	0.010174710322499066
10052	0
100526820	0.008259353004638434
100528062	0
10053	-0.007952285835553975
100533106	0.008372631449660432
100533178	0
100533182	0
10054	0.0037640437023428418
10055	0
10056	0.010062931791468272
10057	0
10058	-0.009478091569518394
10059	0
1006	0
10060	0
10061	0.007810157674443588
10062	-0.012805662183429755
100628307	0
100631378	0
100652740	0
100652791	0
100652824	-8.520459818875327e-4
100652853	0.0025424844445917946
100652911	0
100652929	0
100652999	0
10066	-0.009766322225926527
10067	0
10068	-0.014205853567102517
10069	0.0066080287476040596
1007	2.2141417968339443e-4
10071	-5.382817986723788e-4
10072	0
10073	0.010659666082528028
10075	0
10076	0
10077	0
10078	-0.022631777690131142
10079	0
1008	0
10081	0
10082	0
100820829	0
10083	0
10084	0
10085	0
100852408	0
100852409	0
100859921	0
100859930	9.107253760953568e-5
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0.0011384528451936916
100862671	-0.03052952090626375
100862679	0
100862680	-0.0071297783088252065
100862704	0
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0
100874253	0
100874323	-0.0031590113139532607
100874362	-0.008399505299526147
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0.0034013306863989842
10089	0
1009	0
10090	0
10092	0
10093	0
10095	-0.011801433342276981
10096	0
10097	0
10098	0
10099	0
100996246	0
100996251	0
100996279	0
100996286	-0.01092599050762149
100996301	-0.001766749129507945
100996307	0
100996342	0.0011093033412990052
100996419	0
100996425	0
100996455	0
100996485	-0.013285735809957979
100996490	0
100996492	0.0011088107881458927
100996570	0
100996579	-0.012082180501043585
100996590	-0.0015729061927408203
100996624	0
100996671	0
100996694	0
100996702	0
100996902	0
101	0
1010	0.0010501711115864188
10100	-0.001977153504340715
10101	0
10102	0
10103	0
10105	0
101055625	0
101059948	0
10106	0
101060019	0
101060200	0
101060264	0
101060544	0
10107	0
10109	0
10110	0.020962973885621603
10111	0
10112	0
10113	0
10114	0
10116	0
10117	0
1012	0.002668674169504931
10120	0
10121	0
10123	0
10125	0
10126	-0.002031191496333975
10127	0
10128	0
10129	0
1013	-0.007906304200914184
10130	0
10131	0
10133	0
10134	0
10135	0.007848274300091143
10136	0
10137	0
10138	-0.02215885071895243
10139	0
1014	0
10140	0
10141	0
101410533	0
101410538	0.0034251678046888488
10142	-0.007934584571902053
10143	0
10144	0
10146	0
10147	0
10148	0
10149	0
1015	0
10150	0
10152	0
10153	0
10154	-0.00968848988401025
10155	-0.01529783571543091
101559451	0
10157	0
10158	-0.02711792656196359
10159	0
1016	0
10160	0
10161	0
10162	0
10163	0
10164	0
10165	0
10166	0.010281682000674417
10168	0
