gene	male-old_adult-fine-3
1	0.00861976318865355
10	0.0011565453417287763
100	0
1000	0
10000	0.012396256535100032
100009676	0.021363588650654602
10001	-0.011915294279962865
10002	0.02582392962421934
10003	0
10004	0
100048912	0
10005	0
10006	0
10007	-0.02748661149926232
10008	-6.297060616717496e-4
10009	0.010532201695441981
100093630	0.03765654162463741
100093698	0
1001	-0.019525905525622958
10010	-0.008608025732206072
100101467	0
100101938	0
10011	0
100113407	-3.967903488748579e-4
100124700	0.010082282708513432
100125288	0
100126791	0.024291025869955015
100126793	-0.00660665341886377
100127888	0
100127983	0.017815508729666606
100128025	-0.01870424809737721
100128071	0
100128098	0.030061276847112513
100128124	0
100128126	0.017733203017480964
100128139	-0.01311940993446706
100128164	-0.016727332818495044
100128191	0.011397446755772143
100128239	0
100128325	-0.03452713313370233
100128554	0.0034675569887158476
100128590	-0.02308667060179776
100128640	0
100128731	-0.008784052466708136
100128750	-0.008247104990797532
100128782	0.0039604251890917215
100128788	0
100128881	0
100128893	-0.02377200255370065
100128927	0
100128946	0
100129128	2.051766511725919e-4
100129175	0
100129195	-0.014057648379698423
100129196	0.02633834290069663
100129250	0
100129271	0
100129361	0.00984666291760942
100129427	0
100129461	0.03035204514801279
100129482	0
100129503	0
100129550	-0.019906359981516054
100129597	-5.551201773599354e-4
100129620	0
100129654	0.005660471828921582
100129662	0
100129716	0.05207098656698851
100129722	0
100129726	0
100129792	-0.003687774057157948
100129794	0
100129827	0
100129845	-0.01154694288729194
100129858	0.03633802064365389
100129917	0
100129935	0
10013	0.007577553679553778
100130155	6.884112530368424e-4
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0.01678726191131324
100130519	0
100130522	0.00996200673189229
100130548	0
100130613	0.0048876087841921165
100130691	0
100130705	0
100130717	0
100130733	0.035802734224534
100130776	0.0163063175951606
100130894	5.458281436763729e-4
100130933	0.011962995546021385
100130950	-0.03338290741668333
100130958	0.029077730177340822
100130967	0.01427680546997877
100131017	0
100131067	0.01141260672473885
100131117	0.007859053687356253
