gene	male-young_adult-fine-1
10000	9.041370345479384e-4
10001	-8.517066754566043e-5
10002	0.011003854554461498
10003	0.0029301585162872378
100048912	-0.006426560007527873
10004	-0.033711500024401514
10005	0.01494369481147707
10006	-0.0014043583360281184
10007	0.026461611503288386
10009	-0.015408746756777978
1000	-0.004498536235651158
10010	-0.015105056054401307
100126791	0.02650073053803182
100128124	-0.0022160427291771415
100128640	0
100129128	-0.009037674590564992
100129250	0.002909375446100672
100129271	-0.020629288887923095
100129361	0.003006446972712978
100129482	0.0265327445484396
100130331	-0.01518623691029092
100130449	-0.021885916825791406
100132341	0.028636514780473566
100132476	0
100134713	0.03084235087014215
100137047	-2.2589095646532954e-6
10013	-0.009791997158003534
10014	-0.015957029183405875
10015	0.0016085418273029963
10016	0.0012638602640513844
10017	-0.001494545323918941
100188893	3.862573272164841e-10
10018	-0.006698500599735581
10019	0.07013183092854788
1001	4.389036028382778e-10
10020	0.006154197355097964
10021	0
10022	0.022634191567019565
10023	0.03815266269571795
10024	0
10025	-0.007003304525642596
10026	9.396634645166054e-4
100272147	0.005393424103066315
100287932	-0.0028577625550357095
100288413	-0.007930273135644282
100289678	-2.269967603637449e-5
100293516	-0.012139348883881709
1002	-0.019480526986481193
100316904	5.627582182351159e-4
10036	0
10038	-0.006496346735662647
10039	2.227805564141568e-4
1003	0.030668482811732997
10040	-0.020862095249074415
10042	-0.012109639238783838
10043	-0.004850680581343638
10045	-0.017975879022719722
10046	0.001176211415863522
10047	-0.0014147050871958485
10048	0.02073516369038516
10049	0
1004	0.018546186831229213
100505741	-0.029382139080175874
100505761	0
100505879	0
100505933	0
100506144	0
100506469	-0.009173725169623479
100506504	-0.012546799915459815
100506571	0
100506581	0
100506963	0
100507331	0.008483667316891154
100507436	0.014167754443999356
100507605	-0.003532026372313977
10050	7.147265088640204e-4
10051	-0.04836850441489528
10052	0.007592217655840198
10053	-0.02130261518290841
10054	0.010649252203340901
10055	0.001702198893763079
10057	3.284239088949695e-4
10058	0.01868313925066316
10059	0
1005	-0.02384604700100478
10060	0.005871702467027213
10061	0.007659457986110384
10062	-0.010079837519440584
10066	0
10067	0.020433742428708403
10069	-0.004498040155569479
1006	-0.028393387938488557
10072	-0.017551970277913276
10073	-0.005689912375312632
10075	-0.005738959220485189
10076	-0.0280042022349793
10077	-0.008633981063820257
10078	0.007990313723950815
10079	0.02855302479863711
1007	-3.370130421897551e-4
10083	0.02129978139453751
10084	-0.018905368098957424
10085	0.008717351712946797
10086	-0.011147399237198331
10087	0.01721267708061657
10089	1.633322963968323e-10
1008	-0.005916657008307588
10090	-0.024374912504103376
10092	0.02968549810551344
10093	0.00860727069748484
10095	0.008913517449680063
10096	0.004932089767515251
10097	3.4647655724714784e-10
10098	-6.000886322396981e-4
10099	-0.04139559146396115
1009	0
100	0.033607668920434104
10100	-9.159262236320709e-4
10101	-0.034861636064478875
10102	-0.002185846404058335
10103	-0.01106088651638648
10105	0.03051067882606228
10106	0.029909884553215867
10107	0.007548198778598145
10109	0.011599802189648428
1010	-0.02405269282339482
10110	-0.046729817195761705
10111	-0.014979129844069412
10112	0.03667452017953137
10113	0.0032064513128784384
10114	-0.019875855108903318
10116	-0.007978135328330613
10120	0
10121	0
10123	0.009750584868112453
10125	-0.05074534764349304
10126	-0.01649560368142752
10127	-0.014190140834845783
10128	0.011604653974474724
10129	-0.02972178509032238
1012	0
10130	0.023291862525764682
10131	-0.0034357446654483446
10133	-0.016808103416780698
10134	0
10135	0.005837286663838968
10136	-8.877789180651749e-4
10137	-0.018739418705656718
10138	-0.015456115040424403
10139	0.007927096563158488
1013	-0.00975553627830394
10140	-0.006776103516057608
10141	0.010110205594321815
10142	-0.002909669553080454
10144	-0.06732240079507225
10146	-0.008683703289247818
10147	9.023896665982068e-5
10148	-0.007350298491648166
10149	-0.015464797015194627
1014	0.019986458475336883
10150	0.02211264957196615
10152	0.006595411990523983
10153	0.006383439010057101
10154	-0.02856052566478161
10155	0
10157	0.0077085072980963435
10158	-0.05109559655269942
10159	-0.013423113525720837
1015	-0.012897858244150857
10160	0.024041187185275564
10161	-0.018815591307184274
10162	-0.0037050861701225903
10163	-0.028460410523913696
10164	0.011198862054610355
10165	-0.020264954580173692
10166	0
10168	0.012735691014706278
1016	-0.023501743027219583
10170	0.0226834095693211
10171	0
10174	0.004700246929656889
10175	-0.021367578611945475
10178	0.045576499948067756
10179	2.666546704353001e-4
1017	-0.010437718915152192
10180	0
10181	0.00831735972485897
10184	-3.2422610153247465e-11
10186	0
10188	0
10190	0
10193	-0.015466859526914276
10195	-0.005238577893009785
10196	-0.012143127189469012
10197	-0.003672120775827903
10198	-0.030911022790332945
10199	0.007872775663550245
1019	-0.006363544753348211
101	0.01533068296492093
10200	-0.023475054644961676
10201	0.019028341473166663
10202	0.009013827338700837
10203	0.01566492907373367
10205	0
10206	-0.025014717242244293
10207	0.005118457918328652
10208	0.0021546104887940356
10209	-0.022983716625609017
1020	0
10210	-7.244426787595816e-4
10211	-7.819780504865541e-4
10212	-0.002443406135646758
10213	-0.004386273081272756
10214	-0.052477465032885764
10215	0.027281016592807964
10216	-0.01846765341023268
10217	0.004704640657302705
10218	-0.021271766175642866
10219	-0.008056990170529533
1021	-0.004861404654689059
10220	-0.0014668264356385945
10221	0.008721911823798957
10223	-0.03806292015757033
10225	0.02102441629278224
10226	-0.03893535700639691
10227	4.789957852854626e-10
10228	-0.004188759208816953
10229	-0.02274302782702652
1022	0.004415773350187107
10230	0.03343011183663821
10231	-0.02512197330187732
10232	0
10233	0.009880893005826754
10234	-0.03399617442131579
10235	-0.044509974376438284
10236	-0.0032931135135148126
10237	0.011167657637193925
10238	0.0091788418689454
10240	0.0010634898913565334
10241	-0.006153944951434321
10242	0.028126312214674556
10243	0.0018794300538862824
10244	0.019271692490323615
10245	-0.01858958566606643
10246	-0.006716347220399786
10247	0.008889030068197691
10248	0.004843749032075391
10249	0.006872486783297638
10250	0
10252	-0.02436619706466914
10253	-0.04096154353593809
10254	-0.0062676256615577354
10255	0
10256	-0.048674633762507497
10257	0.014554656515975917
1025	0
10260	0.04464456057182107
10261	-0.002158298676187216
10262	0.01403160443164997
10263	-0.018376481679664266
10265	0.04050841795994271
10266	-0.004922384654692557
10267	-0.027309182947783756
10268	-5.782441255132423e-4
10269	-0.006034686007885774
1026	0.024186766139733865
10270	0
10272	0.013729151316397483
10273	-0.013342689519089434
10274	-0.015639921094587415
10276	0.03730610024330437
10277	-0.0026608930881421968
10278	0.021583938405306643
10279	-0.0219656064353072
1027	0
10280	2.797185143213035e-10
10281	-0.013933486157187654
10282	0
10284	-0.024214223772074914
10285	0.005703353694934834
10286	0.008940922922130647
10287	-0.011903590492455996
10288	0.01873712455934038
10289	-0.015023415157075979
1028	-0.023995519725926073
10290	-4.11389355315211e-4
10291	0
10293	0.005714703251975855
10294	-0.014716296385679867
10295	-0.005532378910210726
10296	5.5688992365528266e-11
10297	0.011174875999859526
10298	-1.6182197498202674e-4
10299	4.95093528118931e-4
1029	0
102	-0.04430718955488042
10300	0.015126587039378667
10301	0.011535168182622214
10302	-0.017503879804582633
10307	0.007874944466453728
10308	-0.019243037080839086
10309	-0.007485165383549602
1030	-0.010813467237621466
10311	0.032553549275866414
10312	0.0013389091591043522
10313	-0.013298644635764254
10314	0
10316	-0.010524170137378516
10317	-0.034446581665090466
10318	0
10319	0.007760562699455048
1031	5.80945147666388e-4
10320	-0.010124778998173585
10321	-0.011595784770626486
10322	0.005371288370960107
10324	0.020091888032395946
10325	-0.02236145747966397
10327	0.018573217491634163
10328	-0.0018922076408527594
10329	-0.015326703808270864
1032	-0.0166723260911262
10330	0.006396291543776321
10331	0
10332	0.01967080886059624
10333	-0.01374638174309079
10336	-0.019617552607844917
1033	0.021254443023533475
10342	0.0030637681324730444
10343	0
10346	0.0017971131024844607
10347	0.0251451247349084
10351	-0.0020892420766963
10352	-0.006440864995573304
10360	0.0031147340034766925
10362	0.0030028428503673142
10363	0.021804560331275143
10365	0.03645200092778774
10367	-0.019270944657163173
10368	0.04877880635379587
10369	0
1036	0.019886661350720213
10370	-0.010403084084980155
10371	-0.04286060083537237
10376	-0.014736475592464618
10379	-0.006650247558471545
10381	-0.03991044545363352
10382	6.675781992471086e-4
10383	-0.003990413590799482
10384	0.03868158132202811
10385	0.007700337619433363
10388	-0.05503724932171739
10389	-0.016580235130180962
1038	0.03196621140753999
10390	0.04406226176413715
103910	-0.013834042450040688
10391	-0.04731623665088489
10392	0
10393	-0.016456683155075327
10394	0.0011172115966050047
10395	-0.027818859013042083
10396	0.037147716494643976
10397	-1.1474987681101282e-4
10398	-0.009387352292437933
10399	0
1039	-0.031209040284876796
103	0.007029293925038336
10400	0.004348152778032292
10401	-0.0017020919577050997
10402	0.013045702689048226
10403	0.02617562035596072
10404	0
10406	-0.012264288624263453
10407	-0.002569381194006726
10408	0.012193697078646584
10409	0.008296549854935479
1040	-0.004189832485477602
10411	7.112038979619146e-4
10413	0.014086273262474363
10417	0.00823390534820116
10418	0.02105996543426881
10419	0.016972770809201478
1041	0.0028088885882987086
10420	0.023256897451410484
10421	-4.0601397300997044e-4
10422	0.005971535846735479
10423	1.4837724461384688e-10
10424	0.008832338873174228
10425	0.0025210034067688534
10426	-0.0028967924962601957
10427	2.1498831519174028e-11
10428	-0.0010491043335630165
10430	-0.012972021058433307
10432	0
10434	-0.01074334613552765
10435	-0.00930505053217703
10436	0.020305043773018228
10437	0.020797052937321498
10438	0.0016813791275886213
10439	-0.04549427769029784
1043	0
10440	0.002407713926254947
10443	-0.013340291905128797
10444	0.013475656671905466
10445	0.00593445746226294
10446	0.0032423001916489394
10449	0
1044	0
10450	-0.011435511500386403
10451	-0.00820783800413415
10454	0.00427523435333419
10455	0.007248225787621142
10456	0.0027673498889989414
10457	0.011114009683373281
10458	0.006270142319633168
1045	-0.017636669620076047
10460	0.006130958290202572
10461	-0.0019305228691323428
10462	0.0301920554787943
10463	-7.134078594621782e-4
10464	-0.004159090758451599
10465	-0.004814074818070621
10466	-0.029029188427762205
10467	0
10468	-0.04262400091455608
10469	0.010797819341037584
1046	0.0016109999641581165
10471	-0.020484626217801487
10472	5.080719621072527e-4
10473	-0.008898877785176503
10474	0.01630370284635126
10475	0.004845865300730386
10478	0
10479	-0.010878942721587567
1047	-0.01599992141828021
10480	0.0164454473677075
10481	0
10482	5.806282862770424e-10
10483	0.016972118321085267
10484	-0.004344704902787075
10485	0.006163422661394291
10486	-0.004095504734180454
10487	-2.214825707699076e-4
10488	0
10489	0.012842578081474904
1048	-0.003668625818273477
10490	-0.0010930395439213752
10491	0.005835803267175205
10492	0
10493	0.020176408325635185
10494	0.018162553878543583
10495	-0.010314303320678866
10497	0.013324884832876938
10498	0.004569773253441589
10499	-0.01367811792855725
104	-0.007857698455471584
10500	0.021141509755220795
10501	0.009642857687984232
10505	-0.01627816633425181
10507	0.0022704026444320645
1050	0.04723843532131275
10512	0.016449674429075307
10513	0.022777832186355013
10514	0.017578964310407223
10516	-0.010292603904817899
10518	-8.343665257041203e-4
10519	-0.0021240263624810974
1051	-0.007545131640537757
10520	-0.010497289809115934
10521	0.01970086783121497
10522	3.916322272554544e-4
10523	0.012727889745983986
10524	-0.002201982736212954
10525	0.0037960719245904604
10526	0.022848680630875473
10527	0.006433840444101512
10528	-0.01669867809777894
10529	0.04443321338937189
1052	0.030656818289053395
10531	-0.004189125144171553
10533	-0.004992972196977362
10534	-0.002316267968938023
10535	0.012996039913545927
10536	0.003191678708426747
10537	0.0050609564158569315
10538	0.01581964498010862
10539	0.0026478084012365078
1053	0.05006448218306669
10540	0.008452432704078945
10541	-0.030307226502881892
10542	-0.018992572806189146
10544	0.005245308898454481
10548	0
10549	-0.006888770722825028
1054	-0.024406509749747528
10550	-0.001384088752585015
10551	0.018977166975242907
10552	-0.005163638902508244
10553	0.01351236391610123
10554	0.004623012343437106
10555	-0.00827864135733859
10556	0.012575572042703355
10557	0.005412915177478074
10558	-7.218828091067931e-4
10559	-0.01762519706115015
10560	1.0534029436622292e-10
10561	0.055625213104302115
10562	-0.006133467068525646
10563	0.025821200344992704
10564	-0.005912079822057183
10565	0
10566	0.016917938096567733
10567	-0.030210628004562534
10568	6.930816859302054e-4
1056	-0.012175258023530066
10570	0.006826512635893836
10572	-0.0034904660994541114
10573	0.003493596425836944
10574	0.007547096832996942
10575	0
10576	0.009489454908757751
10577	0.0047660058276692684
10578	-0.05293480446390701
10579	-0.010616232258894992
10580	0.01206337068479925
10581	0.029571445914220465
10584	0.001580776747998912
10585	0.01462197337873581
10586	0
10587	-0.03352584234583037
10589	0.025179967204386134
1058	-0.006429738018468028
10590	0.0049403207137320715
10591	-0.025410334287473222
10592	0
10594	0
10595	0.008519564346898009
10598	0
10599	0.00801655730002349
1059	-0.009368114683451282
105	0.0063236754967571016
10600	-1.6699935850085254e-4
10602	0.025406708822335162
10603	3.72371624770375e-10
10606	0.02007065763866995
10607	-0.020097810014699916
10608	0.003324144552865519
10609	-0.004069120842811567
1060	-0.009607655754121218
10610	0.005328090987047914
10611	-0.012126386475591566
10612	0.008013872879166373
10613	0.0144765714792288
10614	-0.009788499719867864
10615	0.003470939751900455
10616	-0.005323636691320643
10617	0
10618	0.008502212101292992
10621	0
10622	0.030254458135954312
10623	0
10625	3.849408045652679e-4
10627	-0.005543104513562106
10628	-7.410610859104529e-4
10629	0
1062	-0.011591427990595546
10630	-0.001851302340768453
10631	-0.009232613967804292
10632	0
10633	0.016177653568497846
10634	0.010465177320056016
10635	0.025063218888790487
10636	0.007571807773418735
10637	0.004899485815293499
1063	-0.002720009260794005
10640	-0.015413329502777993
10641	-0.007896553581326779
10643	-0.12409849102131214
10645	0.0031898499648985654
10647	0.0061053293956103505
10648	-0.02379042987865582
10650	0
10651	0.0016332768778710874
10652	0.007750548705659529
10653	-0.012517424026348261
10654	-9.813631634593817e-4
10656	0.011177143293952798
10657	5.3234237903039525e-5
10658	0.004119353125400166
10659	5.150981498434654e-4
10660	0
10661	-0.009186275668881257
10663	0.02701375368680566
10664	7.131273195275006e-10
10665	0.0023869888972765986
10666	-0.013130784681982755
10667	-0.02135373376416533
10668	0.015823683568334915
10669	-0.060280798630572736
10670	0.005894482816501497
10671	0.001958347986755749
10672	4.7240957472110694e-4
10675	0.019362360079246518
10677	0.005041656936023515
10678	0.021817845187175073
10681	0.001656667357565714
10682	-0.015398620213997983
10683	0
10686	0
10687	0
1068	-0.009136132995985397
10690	-0.010176059692557608
10691	0.02013365531096299
10692	0.02288526762683436
10693	0.03392167753170611
10694	0.005435915269861726
10695	0
10699	-3.2629122661643453e-4
1069	1.4622788453360616e-8
1070	-0.03586677109687929
10712	-0.005852177156545096
10713	-0.013532754537125172
10714	-0.0020155842941974836
10716	0.006951010534615241
1071	0.0619891130088446
10721	0.005901798890910168
10723	0.005141592008046412
10724	9.050971169281188e-4
10725	0.0010812970639627949
10726	0.006898557715292417
10728	5.812176031803929e-10
10730	0.026471798776037635
10732	-0.0536692618418501
10733	0.001734640937195573
10734	-0.04566751112457471
10735	-4.8176236300258784e-4
10736	2.446214733626483e-4
10737	-0.019024672255431214
10738	-0.029520629324724525
10739	0.02814705453979767
10741	0
10742	-0.02390278132275251
10744	-3.7097031129691677e-4
10745	-0.0022369820235688754
10746	0.008561484661568232
10747	0
10749	0.011188111621908803
10750	0.020142488520131955
10752	0.028631376253950312
10753	0.033352275942819004
