gene	male-young_child-fine-1
1	0
10	0
100	5.631344099743671e-4
1000	0
10000	-0.011335074025591425
100009676	0.004212272084719844
10001	0.0028795658400797525
10002	0
10003	0
10004	0.03766893739559196
100048912	-0.028922066368304595
10005	0
10006	0
10007	0
10008	0.033503848623034696
10009	0
100093630	0
100093698	0
1001	0.04444506599502917
10010	-0.00409598494631447
100101467	0
100101938	-0.027724868589539056
10011	-0.001969581834660621
100113407	-0.017739090921298103
100124700	0
100125288	0
100126791	0
100126793	0.03166182129935316
100127888	0
100127983	-0.02324973453365612
100128025	0
100128071	-0.004618552500580583
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0
100128590	-0.11883916743425632
100128640	0
100128731	-0.01565932207105051
100128750	0
100128782	0
100128788	0
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	-0.010314876094909062
100129250	0.059183688428745086
100129271	0
100129361	0
100129427	0
100129461	-2.4132006110593502e-5
100129482	0
100129503	-0.0030995244410472684
100129550	0.014561581441341457
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0
100129792	-0.021315692958638627
100129794	0
100129827	0
100129845	0.017227814754038256
100129858	0
100129917	0.0035453542371709636
100129935	0
10013	-0.02335028865641455
100130155	0
100130249	0
100130264	0
100130331	0
100130357	-0.009109140972992829
100130449	0
100130476	0
100130519	0
100130522	0.0011795429187819195
100130548	0
100130613	0
100130691	-0.0062209953393827025
100130705	0
100130717	0
100130733	8.951128540149842e-4
100130776	0
100130894	0
100130933	0
100130950	-0.0023589177594899747
100130958	0.03487845017438438
100130967	-5.859363421684859e-4
100131017	0
100131067	0.08610152835099104
100131117	0.025841200670638578
100131138	0
100131187	0
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	-0.03505373027208353
100131496	0
100131655	0
100131691	0
100131755	-0.00361137810060026
100131801	0
100131814	-0.02057543829412062
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	-0.026612155867690335
100133205	0.006539636859857728
100133311	0.0026693884880392505
100133461	0
100133612	0
100133941	0
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	0
100141515	0.023752392301242337
100144597	0
100144602	-0.025157162319527124
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	-0.017477936311671813
100170229	-0.0014641896240236028
100170765	0
100170841	0
10018	0
100188893	-0.025826309722797636
100188953	0
100189589	0.0011711217414956722
10019	0
100190938	-0.014637544493003883
100192379	0
100192386	-0.002669414730972727
1002	0.0048724840966886
10020	0
10021	0
10022	-0.016785420605309263
10023	0
10024	-0.040796471284617636
10025	-0.00105676336021304
10026	0.017681751135004795
100268168	0
100270679	0
100272147	-0.015293886320127409
100286844	0.007463173716793077
100287015	0
100287114	0
100287177	-0.016058758095556673
100287366	0
100287482	0
100287569	0.01067473609841693
100287616	0
100287814	-0.022340952274929167
100287896	0
100287902	0
100287932	-0.006392254910979861
100288079	0
100288122	0
100288198	0
100288413	0.010658559372349038
