hgnc_symbol	chromosome	sex_bias	tissue
FAM151A	1	F	Adipose
SALL1	16	F	Adipose
GYG2	X	F	Adipose
IP6K3	6	M	Adipose
SGCZ	8	M	Adipose
AMER2	13	M	Adipose
RXFP2	13	M	Adipose
CPAMD8	19	M	Adipose
AFF2	X	M	Adipose
DDX3Y	Y	M	Adipose
EIF1AY	Y	M	Adipose
KDM5D	Y	M	Adipose
NLGN4Y	Y	M	Adipose
PCDH11Y	Y	M	Adipose
RPS4Y1	Y	M	Adipose
TMSB4Y	Y	M	Adipose
USP9Y	Y	M	Adipose
UTY	Y	M	Adipose
ZFY	Y	M	Adipose
DDX3Y	Y	M	Amygdala
EIF1AY	Y	M	Amygdala
NLGN4Y	Y	M	Amygdala
PCDH11Y	Y	M	Amygdala
RPS4Y1	Y	M	Amygdala
TMSB4Y	Y	M	Amygdala
USP9Y	Y	M	Amygdala
UTY	Y	M	Amygdala
ZFY	Y	M	Amygdala
PROX1	1	F	Artery
OXGR1	13	F	Artery
ZSCAN4	19	F	Artery
MAP7D2	X	F	Artery
CPAMD8	19	M	Artery
DDX3Y	Y	M	Artery
EIF1AY	Y	M	Artery
KDM5D	Y	M	Artery
NLGN4Y	Y	M	Artery
PCDH11Y	Y	M	Artery
RPS4Y1	Y	M	Artery
SRY	Y	M	Artery
TBL1Y	Y	M	Artery
TMSB4Y	Y	M	Artery
TSPY2	Y	M	Artery
USP9Y	Y	M	Artery
UTY	Y	M	Artery
ZFY	Y	M	Artery
AK5	1	F	Breast
AMPD1	1	F	Breast
ANKRD65	1	F	Breast
C1orf106	1	F	Breast
C1orf116	1	F	Breast
C4BPA	1	F	Breast
C4BPB	1	F	Breast
CCDC163P	1	F	Breast
CD164L2	1	F	Breast
CD2	1	F	Breast
CITED4	1	F	Breast
CLDN19	1	F	Breast
COL8A2	1	F	Breast
CR2	1	F	Breast
ETV3L	1	F	Breast
FAM177B	1	F	Breast
FAM183A	1	F	Breast
FCRL2	1	F	Breast
FCRL5	1	F	Breast
FHAD1	1	F	Breast
GFI1	1	F	Breast
GPR25	1	F	Breast
IFFO2	1	F	Breast
IFNLR1	1	F	Breast
IL24	1	F	Breast
INSRR	1	F	Breast
KCNA3	1	F	Breast
KCNK1	1	F	Breast
KLHDC8A	1	F	Breast
LAD1	1	F	Breast
LAMB3	1	F	Breast
LAMC2	1	F	Breast
LCK	1	F	Breast
LGR6	1	F	Breast
LRRN2	1	F	Breast
MROH7	1	F	Breast
MYBPH	1	F	Breast
NTRK1	1	F	Breast
OBSCN	1	F	Breast
OR2L13	1	F	Breast
PADI2	1	F	Breast
PDE4B	1	F	Breast
PDZK1IP1	1	F	Breast
PIGR	1	F	Breast
PLA2G2D	1	F	Breast
PLCH2	1	F	Breast
RGS1	1	F	Breast
RNF186	1	F	Breast
RUNX3	1	F	Breast
S100A14	1	F	Breast
SFN	1	F	Breast
SLC35F3	1	F	Breast
ST6GALNAC5	1	F	Breast
TMEM61	1	F	Breast
TNFRSF18	1	F	Breast
TP73	1	F	Breast
TRIM17	1	F	Breast
TTC22	1	F	Breast
ZNF648	1	F	Breast
ZNF683	1	F	Breast
ATP6V1B1	2	F	Breast
BCL11A	2	F	Breast
C1QL2	2	F	Breast
CD207	2	F	Breast
CD8A	2	F	Breast
CD8B	2	F	Breast
CLEC4F	2	F	Breast
COL4A3	2	F	Breast
CYTIP	2	F	Breast
DTNB	2	F	Breast
DUSP2	2	F	Breast
EPCAM	2	F	Breast
EVA1A	2	F	Breast
FAM110C	2	F	Breast
FIGLA	2	F	Breast
FZD7	2	F	Breast
HOXD9	2	F	Breast
ICOS	2	F	Breast
IGKJ5	2	F	Breast
IQCA1	2	F	Breast
ITGB6	2	F	Breast
KRTCAP3	2	F	Breast
KYNU	2	F	Breast
LY75	2	F	Breast
LYPD6B	2	F	Breast
PDCD1	2	F	Breast
PTH2R	2	F	Breast
SCN2A	2	F	Breast
SDC1	2	F	Breast
SOX11	2	F	Breast
SPHKAP	2	F	Breast
ST6GAL2	2	F	Breast
TGFA	2	F	Breast
VAX2	2	F	Breast
VSNL1	2	F	Breast
WNT10A	2	F	Breast
XDH	2	F	Breast
ZAP70	2	F	Breast
ATP13A4	3	F	Breast
ATP13A5	3	F	Breast
CCR2	3	F	Breast
CD96	3	F	Breast
CLDN16	3	F	Breast
CMTM7	3	F	Breast
CNTN4	3	F	Breast
COL7A1	3	F	Breast
CXCR6	3	F	Breast
EPHB1	3	F	Breast
EPHB3	3	F	Breast
ESYT3	3	F	Breast
FAM3D	3	F	Breast
FETUB	3	F	Breast
FEZF2	3	F	Breast
KCNH8	3	F	Breast
LAMP3	3	F	Breast
LRRN1	3	F	Breast
LTF	3	F	Breast
MFI2	3	F	Breast
MST1R	3	F	Breast
NFKBIZ	3	F	Breast
OXTR	3	F	Breast
PLCH1	3	F	Breast
PRSS45	3	F	Breast
RARRES1	3	F	Breast
ROPN1	3	F	Breast
ROPN1B	3	F	Breast
RTP4	3	F	Breast
STX19	3	F	Breast
TP63	3	F	Breast
ADH4	4	F	Breast
CDKL2	4	F	Breast
CXCL5	4	F	Breast
CXCL6	4	F	Breast
DAPP1	4	F	Breast
DCHS2	4	F	Breast
EGF	4	F	Breast
FAM160A1	4	F	Breast
FDCSP	4	F	Breast
FGFBP1	4	F	Breast
JCHAIN	4	F	Breast
KIT	4	F	Breast
NEUROG2	4	F	Breast
NIPAL1	4	F	Breast
NKX6-1	4	F	Breast
NSG1	4	F	Breast
PF4V1	4	F	Breast
PROM1	4	F	Breast
RASSF6	4	F	Breast
SLC2A9	4	F	Breast
SLC34A2	4	F	Breast
TMEM156	4	F	Breast
TMPRSS11A	4	F	Breast
UGT8	4	F	Breast
UNC5C	4	F	Breast
ACTBL2	5	F	Breast
CCL28	5	F	Breast
CCNJL	5	F	Breast
CCNO	5	F	Breast
F2RL1	5	F	Breast
FAM196B	5	F	Breast
FAT2	5	F	Breast
FGF1	5	F	Breast
FOXI1	5	F	Breast
GABRP	5	F	Breast
IL17B	5	F	Breast
IL7R	5	F	Breast
IRX1	5	F	Breast
IRX2	5	F	Breast
IRX4	5	F	Breast
KCNMB1	5	F	Breast
PDLIM4	5	F	Breast
PITX1	5	F	Breast
PLEKHG4B	5	F	Breast
PSD2	5	F	Breast
SLC12A2	5	F	Breast
SLC27A6	5	F	Breast
TCF7	5	F	Breast
TENM2	5	F	Breast
TERT	5	F	Breast
ADGRF1	6	F	Breast
ADTRP	6	F	Breast
C4A	6	F	Breast
C4B	6	F	Breast
C6orf15	6	F	Breast
DACT2	6	F	Breast
DLK2	6	F	Breast
DST	6	F	Breast
FABP7	6	F	Breast
FAM83B	6	F	Breast
FAXC	6	F	Breast
FUT9	6	F	Breast
IL22RA2	6	F	Breast
MRAP2	6	F	Breast
RFX6	6	F	Breast
RNF39	6	F	Breast
RUNX2	6	F	Breast
SAMD5	6	F	Breast
SCML4	6	F	Breast
TAGAP	6	F	Breast
THEMIS	6	F	Breast
ATP6V0A4	7	F	Breast
BHLHA15	7	F	Breast
C7orf65	7	F	Breast
CARD11	7	F	Breast
CCDC129	7	F	Breast
CLCN1	7	F	Breast
EPHA1	7	F	Breast
PDE1C	7	F	Breast
PDGFA	7	F	Breast
SVOPL	7	F	Breast
TMEM213	7	F	Breast
WDR86	7	F	Breast
AARD	8	F	Breast
ADAM28	8	F	Breast
BLK	8	F	Breast
CCAR2	8	F	Breast
CHMP4C	8	F	Breast
CRISPLD1	8	F	Breast
DPYS	8	F	Breast
EFCAB1	8	F	Breast
ERICH5	8	F	Breast
FAM167A	8	F	Breast
FBXO32	8	F	Breast
GSDMC	8	F	Breast
HNF4G	8	F	Breast
LY6D	8	F	Breast
NCALD	8	F	Breast
NPM2	8	F	Breast
NUGGC	8	F	Breast
PLAT	8	F	Breast
PNOC	8	F	Breast
SFRP1	8	F	Breast
SLC25A37	8	F	Breast
BARX1	9	F	Breast
CARD9	9	F	Breast
CDKN2A	9	F	Breast
CRB2	9	F	Breast
ENTPD2	9	F	Breast
FAM189A2	9	F	Breast
IFNE	9	F	Breast
LCN2	9	F	Breast
ROR2	9	F	Breast
SARDH	9	F	Breast
SLC28A3	9	F	Breast
WNK2	9	F	Breast
ANTXRL	10	F	Breast
ANXA8	10	F	Breast
ANXA8L1	10	F	Breast
C10orf90	10	F	Breast
CALML3	10	F	Breast
CDHR1	10	F	Breast
COL17A1	10	F	Breast
CYP26A1	10	F	Breast
DMBT1	10	F	Breast
GPRIN2	10	F	Breast
PLEKHS1	10	F	Breast
PRKCQ	10	F	Breast
ACY3	11	F	Breast
ANO1	11	F	Breast
B3GAT1	11	F	Breast
BBOX1	11	F	Breast
CCDC88B	11	F	Breast
CD3D	11	F	Breast
CD3E	11	F	Breast
CD3G	11	F	Breast
CD6	11	F	Breast
CDC42BPG	11	F	Breast
CHRM1	11	F	Breast
COLCA1	11	F	Breast
EHF	11	F	Breast
ELF5	11	F	Breast
EPS8L2	11	F	Breast
FOLH1	11	F	Breast
FOLR1	11	F	Breast
GLB1L3	11	F	Breast
GLYATL2	11	F	Breast
GRIA4	11	F	Breast
GYLTL1B	11	F	Breast
KIAA1549L	11	F	Breast
LRRC4C	11	F	Breast
MMP20	11	F	Breast
MMP7	11	F	Breast
MRGPRX3	11	F	Breast
MS4A1	11	F	Breast
MUC15	11	F	Breast
MUC5B	11	F	Breast
NXPE4	11	F	Breast
OR10A3	11	F	Breast
OR5P3	11	F	Breast
PAMR1	11	F	Breast
PLEKHB1	11	F	Breast
POU2AF1	11	F	Breast
POU2F3	11	F	Breast
PVRL1	11	F	Breast
SAA4	11	F	Breast
ST14	11	F	Breast
ST5	11	F	Breast
SYT12	11	F	Breast
SYT13	11	F	Breast
SYT8	11	F	Breast
TMPRSS13	11	F	Breast
TNNI2	11	F	Breast
TP53AIP1	11	F	Breast
TRIM29	11	F	Breast
USH1C	11	F	Breast
AMIGO2	12	F	Breast
B4GALNT3	12	F	Breast
BCL2L14	12	F	Breast
BHLHE41	12	F	Breast
BTBD11	12	F	Breast
CAPZA3	12	F	Breast
CD27	12	F	Breast
CD69	12	F	Breast
CFAP73	12	F	Breast
HOXC10	12	F	Breast
HOXC13	12	F	Breast
KCNH3	12	F	Breast
KLRC1	12	F	Breast
KLRC2	12	F	Breast
KRT5	12	F	Breast
KRT7	12	F	Breast
KRT74	12	F	Breast
KRT81	12	F	Breast
KRT83	12	F	Breast
PIK3C2G	12	F	Breast
PLCZ1	12	F	Breast
RASAL1	12	F	Breast
SCNN1A	12	F	Breast
SLCO1A2	12	F	Breast
ST8SIA1	12	F	Breast
TRPV4	12	F	Breast
VDR	12	F	Breast
CCNA1	13	F	Breast
GPR12	13	F	Breast
KLF5	13	F	Breast
"NALCN"	13	F	Breast
OLFM4	13	F	Breast
TNFRSF19	13	F	Breast
BEGAIN	14	F	Breast
NKX2-8	14	F	Breast
OR11H6	14	F	Breast
PLD4	14	F	Breast
PLEK2	14	F	Breast
SLC39A2	14	F	Breast
C15orf52	15	F	Breast
CKMT1A	15	F	Breast
CKMT1B	15	F	Breast
CRABP1	15	F	Breast
FRMD5	15	F	Breast
GRAMD2	15	F	Breast
HAPLN3	15	F	Breast
SCG5	15	F	Breast
ST8SIA2	15	F	Breast
STRA6	15	F	Breast
SYNM	15	F	Breast
ADGRG5	16	F	Breast
CCL22	16	F	Breast
CDH3	16	F	Breast
CNGB1	16	F	Breast
CX3CL1	16	F	Breast
FAM92B	16	F	Breast
FBXL19	16	F	Breast
HAS3	16	F	Breast
HS3ST4	16	F	Breast
IL34	16	F	Breast
PRSS21	16	F	Breast
SALL1	16	F	Breast
SCNN1G	16	F	Breast
TNFRSF17	16	F	Breast
TVP23A	16	F	Breast
ABCC3	17	F	Breast
ADORA2B	17	F	Breast
ATP2A3	17	F	Breast
CACNB1	17	F	Breast
DNAH2	17	F	Breast
ETV4	17	F	Breast
HEATR9	17	F	Breast
IKZF3	17	F	Breast
ITGB4	17	F	Breast
KRT15	17	F	Breast
KRT17	17	F	Breast
MYH13	17	F	Breast
PLXDC1	17	F	Breast
SLC13A2	17	F	Breast
SLC47A2	17	F	Breast
SLFN13	17	F	Breast
SOX9	17	F	Breast
SP6	17	F	Breast
STAC2	17	F	Breast
TBX21	17	F	Breast
TNFRSF13B	17	F	Breast
TNS4	17	F	Breast
UTS2R	17	F	Breast
ZNF750	17	F	Breast
CHST9	18	F	Breast
DSC1	18	F	Breast
DSC2	18	F	Breast
DSC3	18	F	Breast
DSG1	18	F	Breast
DSG3	18	F	Breast
GRP	18	F	Breast
PSTPIP2	18	F	Breast
RNF165	18	F	Breast
SERPINB5	18	F	Breast
B3GNT3	19	F	Breast
BRSK1	19	F	Breast
CCDC8	19	F	Breast
CD79A	19	F	Breast
CELF5	19	F	Breast
CNN1	19	F	Breast
COX6B2	19	F	Breast
CXCL17	19	F	Breast
DMKN	19	F	Breast
FBN3	19	F	Breast
FUT3	19	F	Breast
FUT6	19	F	Breast
HSH2D	19	F	Breast
ICAM5	19	F	Breast
JSRP1	19	F	Breast
KCNN4	19	F	Breast
KLC3	19	F	Breast
KLK6	19	F	Breast
KLK8	19	F	Breast
LMTK3	19	F	Breast
MUC16	19	F	Breast
NCCRP1	19	F	Breast
NKPD1	19	F	Breast
NLRP11	19	F	Breast
NLRP7	19	F	Breast
NRTN	19	F	Breast
PALM3	19	F	Breast
PLPP2	19	F	Breast
PNMAL1	19	F	Breast
PODNL1	19	F	Breast
PSG4	19	F	Breast
SH2D3A	19	F	Breast
SPIB	19	F	Breast
TDRD12	19	F	Breast
THEG	19	F	Breast
TTYH1	19	F	Breast
APCDD1L	20	F	Breast
BPI	20	F	Breast
CDH22	20	F	Breast
EDN3	20	F	Breast
EYA2	20	F	Breast
FERMT1	20	F	Breast
PAK7	20	F	Breast
PI3	20	F	Breast
PTPRT	20	F	Breast
SIRPG	20	F	Breast
SLPI	20	F	Breast
TFAP2C	20	F	Breast
VSX1	20	F	Breast
ZBP1	20	F	Breast
B3GALT5	21	F	Breast
CLDN8	21	F	Breast
CXADR	21	F	Breast
RIPK4	21	F	Breast
TMPRSS3	21	F	Breast
UBASH3A	21	F	Breast
APOBEC3H	22	F	Breast
DERL3	22	F	Breast
IGLL5	22	F	Breast
KLHDC7B	22	F	Breast
MEI1	22	F	Breast
RASL10A	22	F	Breast
SLC5A1	22	F	Breast
SOX10	22	F	Breast
SULT4A1	22	F	Breast
TMEM211	22	F	Breast
TMPRSS6	22	F	Breast
TNFRSF13C	22	F	Breast
CD40LG	X	F	Breast
CXCR3	X	F	Breast
FRMPD3	X	F	Breast
GPR174	X	F	Breast
KLHL13	X	F	Breast
NUP62CL	X	F	Breast
P2RY10	X	F	Breast
PCYT1B	X	F	Breast
PIM2	X	F	Breast
PTCHD1	X	F	Breast
SLC6A14	X	F	Breast
SLC7A3	X	F	Breast
TCEAL5	X	F	Breast
TEX11	X	F	Breast
VGLL1	X	F	Breast
DPT	1	M	Breast
SERPINC1	1	M	Breast
ACADL	2	M	Breast
CCDC85A	2	M	Breast
GALNT13	2	M	Breast
SIX2	2	M	Breast
AADAC	3	M	Breast
TRH	3	M	Breast
NPY2R	4	M	Breast
FGF10	5	M	Breast
PRR16	5	M	Breast
RASGRF2	5	M	Breast
RHOBTB3	5	M	Breast
SLC36A2	5	M	Breast
CNR1	6	M	Breast
SLC35F1	6	M	Breast
SNX10	7	M	Breast
PLAG1	8	M	Breast
DMRTA1	9	M	Breast
SLC1A1	9	M	Breast
KIAA1462	10	M	Breast
PANK1	10	M	Breast
PAPSS2	10	M	Breast
KCNE3	11	M	Breast
MS4A14	11	M	Breast
MS4A7	11	M	Breast
PDE2A	11	M	Breast
ANO4	12	M	Breast
AVPR1A	12	M	Breast
GSG1	12	M	Breast
LMO3	12	M	Breast
TMEM132B	12	M	Breast
TRHDE	12	M	Breast
ACOT4	14	M	Breast
CNTNAP4	16	M	Breast
NQO1	16	M	Breast
HOXB7	17	M	Breast
HOXB8	17	M	Breast
SHISA6	17	M	Breast
GREB1L	18	M	Breast
HIF3A	19	M	Breast
CLIC6	21	M	Breast
CECR2	22	M	Breast
SLITRK4	X	M	Breast
DDX3Y	Y	M	Breast
EIF1AY	Y	M	Breast
KDM5D	Y	M	Breast
NLGN4Y	Y	M	Breast
PCDH11Y	Y	M	Breast
RPS4Y1	Y	M	Breast
TBL1Y	Y	M	Breast
TMSB4Y	Y	M	Breast
USP9Y	Y	M	Breast
UTY	Y	M	Breast
ZFY	Y	M	Breast
DDX3Y	Y	M	Caudate
EIF1AY	Y	M	Caudate
KDM5D	Y	M	Caudate
NLGN4Y	Y	M	Caudate
PCDH11Y	Y	M	Caudate
RPS4Y1	Y	M	Caudate
TBL1Y	Y	M	Caudate
TMSB4Y	Y	M	Caudate
USP9Y	Y	M	Caudate
UTY	Y	M	Caudate
ZFY	Y	M	Caudate
DDX3Y	Y	M	Cerebellar cortex
EIF1AY	Y	M	Cerebellar cortex
NLGN4Y	Y	M	Cerebellar cortex
RPS4Y1	Y	M	Cerebellar cortex
USP9Y	Y	M	Cerebellar cortex
UTY	Y	M	Cerebellar cortex
ZFY	Y	M	Cerebellar cortex
GCSAML	1	F	Cerebellum
HAND2	4	F	Cerebellum
FKBP9	7	F	Cerebellum
GLDC	9	F	Cerebellum
IFNE	9	F	Cerebellum
SLC26A11	17	F	Cerebellum
COMP	19	F	Cerebellum
NLRP2	19	F	Cerebellum
DDX3X	X	F	Cerebellum
EIF2S3	X	F	Cerebellum
KDM5C	X	F	Cerebellum
KDM6A	X	F	Cerebellum
MAGED4	X	F	Cerebellum
PUDP	X	F	Cerebellum
RPS4X	X	F	Cerebellum
STS	X	F	Cerebellum
TRAPPC2	X	F	Cerebellum
USP9X	X	F	Cerebellum
ZFX	X	F	Cerebellum
ZRSR2	X	F	Cerebellum
CA5B	X	F	Cerebellum
DDX3X	X	F	Cerebellum
EIF2S3	X	F	Cerebellum
KDM5C	X	F	Cerebellum
KDM6A	X	F	Cerebellum
PUDP	X	F	Cerebellum
RPS4X	X	F	Cerebellum
STS	X	F	Cerebellum
TXLNG	X	F	Cerebellum
ZFX	X	F	Cerebellum
MAP3K2	2	M	Cerebellum
CD24	6	M	Cerebellum
CD24	6	M	Cerebellum
MAL2	8	M	Cerebellum
PTPN20	10	M	Cerebellum
NXPH4	12	M	Cerebellum
SPESP1	15	M	Cerebellum
AKAP17A	X	M	Cerebellum
ASMTL	X	M	Cerebellum
CD99	X	M	Cerebellum
DHRSX	X	M	Cerebellum
GTPBP6	X	M	Cerebellum
PLCXD1	X	M	Cerebellum
PPP2R3B	X	M	Cerebellum
ZBED1	X	M	Cerebellum
HAUS7	X	M	Cerebellum
ZBED1	X	M	Cerebellum
DDX3Y	Y	M	Cerebellum
EIF1AY	Y	M	Cerebellum
HSFY2	Y	M	Cerebellum
KDM5D	Y	M	Cerebellum
NLGN4Y	Y	M	Cerebellum
PCDH11Y	Y	M	Cerebellum
RPS4Y1	Y	M	Cerebellum
RPS4Y2	Y	M	Cerebellum
TMSB4Y	Y	M	Cerebellum
USP9Y	Y	M	Cerebellum
UTY	Y	M	Cerebellum
ZFY	Y	M	Cerebellum
DDX3Y	Y	M	Cerebellum
EIF1AY	Y	M	Cerebellum
KDM5D	Y	M	Cerebellum
NLGN4Y	Y	M	Cerebellum
RPS4Y1	Y	M	Cerebellum
TMSB4Y	Y	M	Cerebellum
USP9Y	Y	M	Cerebellum
UTY	Y	M	Cerebellum
ZFY	Y	M	Cerebellum
PLCXD1	X	M	Cortex
DDX3Y	Y	M	Cortex
EIF1AY	Y	M	Cortex
KDM5D	Y	M	Cortex
NLGN4Y	Y	M	Cortex
PCDH11Y	Y	M	Cortex
RPS4Y1	Y	M	Cortex
TMSB4Y	Y	M	Cortex
USP9Y	Y	M	Cortex
UTY	Y	M	Cortex
ZFY	Y	M	Cortex
AKNAD1	1	F	Dorsolateral prefrontal cortex
C3orf62	3	F	Dorsolateral prefrontal cortex
TET2	4	F	Dorsolateral prefrontal cortex
KHDRBS2	6	F	Dorsolateral prefrontal cortex
CSMD3	8	F	Dorsolateral prefrontal cortex
CAPRIN2	12	F	Dorsolateral prefrontal cortex
ARGLU1	13	F	Dorsolateral prefrontal cortex
OSGEP	14	F	Dorsolateral prefrontal cortex
HYDIN	16	F	Dorsolateral prefrontal cortex
LUC7L	16	F	Dorsolateral prefrontal cortex
ARL17A	17	F	Dorsolateral prefrontal cortex
FAM106A	17	F	Dorsolateral prefrontal cortex
USP6	17	F	Dorsolateral prefrontal cortex
KIF16B	20	F	Dorsolateral prefrontal cortex
ZNF337	20	F	Dorsolateral prefrontal cortex
ZFX	X	F	Dorsolateral prefrontal cortex
CD53	1	M	Dorsolateral prefrontal cortex
CFH	1	M	Dorsolateral prefrontal cortex
OLFML3	1	M	Dorsolateral prefrontal cortex
PRRX1	1	M	Dorsolateral prefrontal cortex
COL3A1	2	M	Dorsolateral prefrontal cortex
CLDN11	3	M	Dorsolateral prefrontal cortex
TM4SF1	3	M	Dorsolateral prefrontal cortex
ZIC1	3	M	Dorsolateral prefrontal cortex
EDNRA	4	M	Dorsolateral prefrontal cortex
CSF1R	5	M	Dorsolateral prefrontal cortex
SEPP1	5	M	Dorsolateral prefrontal cortex
SPARC	5	M	Dorsolateral prefrontal cortex
CALD1	7	M	Dorsolateral prefrontal cortex
COL1A2	7	M	Dorsolateral prefrontal cortex
CPED1	7	M	Dorsolateral prefrontal cortex
PDK4	7	M	Dorsolateral prefrontal cortex
CEBPD	8	M	Dorsolateral prefrontal cortex
SDC2	8	M	Dorsolateral prefrontal cortex
ANXA1	9	M	Dorsolateral prefrontal cortex
OGN	9	M	Dorsolateral prefrontal cortex
PTGDS	9	M	Dorsolateral prefrontal cortex
ACTA2	10	M	Dorsolateral prefrontal cortex
TSPAN15	10	M	Dorsolateral prefrontal cortex
FOLR2	11	M	Dorsolateral prefrontal cortex
IGF2	11	M	Dorsolateral prefrontal cortex
LYVE1	11	M	Dorsolateral prefrontal cortex
ARHGDIB	12	M	Dorsolateral prefrontal cortex
LUM	12	M	Dorsolateral prefrontal cortex
ALOX5AP	13	M	Dorsolateral prefrontal cortex
LPAR6	13	M	Dorsolateral prefrontal cortex
