gene	female-elderly-fine-2
10000	-0.015695834117043356
10001	0
10002	0
10003	0
100048912	0
10004	0
10005	-0.0064399380402692195
10006	-0.005071395020165466
10007	0.005176901537459085
10009	0
1000	0
10010	0
100126791	0.012293936180916641
100128124	-0.012978018123797726
100128640	-0.001614067975541944
100129128	-6.765031093764727e-4
100129250	-0.00437365600392855
100129271	0
100129361	0
100129482	0
100130331	0.011109431238677508
100130449	0.0028080378825927187
100132341	0.00787092818540987
100132476	0
100134713	-0.025798739522152354
100137047	-0.022006415273027026
10013	0
10014	0
10015	0.0062266283614262185
10016	0
10017	-0.007000465713771045
100188893	0.005897402332660309
10018	0
10019	0.03944057833628347
1001	0.009922735725465925
10020	0.058463158544818324
10021	-0.0011930658760439365
10022	-0.013419157287110564
10023	-0.0016056962715667227
10024	-0.00511679047953128
10025	0
10026	8.374263681345286e-4
100272147	-0.004732826105438556
100287932	-0.004280317165912805
100288413	-0.028943676522287267
100289678	0.00412521797828982
100293516	0.0174259576879392
1002	-0.006047625402830753
100316904	0.01563546200047114
10036	0
10038	-0.005598780204406394
10039	-0.012996289186830757
1003	0
10040	0
10042	0.0028276707380656464
10043	-0.0028900836382244974
10045	-0.00933498636778976
10046	0.010826803851399886
10047	-0.01840580324306137
10048	0.018855814930985655
10049	-0.03905088811786331
1004	-0.04174967956185797
100505741	0
100505761	-0.02119196720131093
100505879	-0.001564497250267021
100505933	0
100506144	-0.012666654663854669
100506469	0
100506504	-0.008547908674774424
100506571	0
100506581	0.007176093011116283
100506963	0.015359201278065745
100507331	-0.0015581269642293814
100507436	0.027742688421538843
100507605	0
10050	0.01725087841476513
10051	-0.02179468446680734
10052	0.019671600490986027
10053	-0.001811878144104107
10054	-0.0036332078490438277
10055	-0.018793984431347905
10057	-0.02391636678486372
10058	0
10059	-0.005843516582321046
1005	0.024143545062824182
10060	-0.0015219458071897155
10061	0
10062	0.018099092099174437
10066	0
10067	-0.003618973726031455
10069	-0.014763937967784205
1006	-0.007310040061146186
10072	0
10073	-0.024369137068087236
10075	0
10076	0.02216081048395174
10077	0
10078	0
10079	0
1007	0.006837722924234333
10083	0.020055560121023074
10084	0
10085	-6.717603378135649e-4
10086	0
10087	0.002349054536005976
10089	-0.009655903378326407
1008	0.024316721523648884
10090	-3.1191405383234965e-4
10092	-0.005450299301573571
10093	0
10095	0.005040773560336935
10096	-0.005160135599730498
10097	0.010196796059791015
10098	0.0015203183354732786
10099	-0.011880609167322231
1009	-0.009793893189737236
100	-0.006954903741893184
10100	-0.0053867346269602405
10101	-0.010682699179913723
10102	0
10103	7.54181251105662e-4
10105	0
10106	0
10107	0
10109	-0.0033663879178263178
1010	-0.01964102635632789
10110	-5.90178934073986e-4
10111	0.019074438327920544
10112	0.012372966566938998
10113	-0.0017940653796482398
10114	-0.01724325353036803
10116	-0.006797583235954879
10120	0.01996552608423359
10121	0.006793375790851859
10123	0
10125	0.046740586538446836
10126	0.006824604728277064
10127	0.007584090678654806
10128	0.007616984833452813
10129	-0.028441184208768865
1012	0.013104222133777215
10130	-0.0018273019810237092
10131	0.0012710665872528205
10133	0
10134	-0.011159560046273902
10135	-0.001574770402512208
10136	-0.019570879532179584
10137	0
10138	-0.0045348475074038445
10139	0.011396547485157366
1013	0.009661196193714701
10140	0.007126395908550057
10141	-0.0058820867563943455
10142	-0.02024597731281074
10144	-0.011768579221458264
10146	0.0015523338333086184
10147	0.004905798538142315
10148	0.0408854399012193
10149	-0.03969241782740742
1014	-0.026204354824567542
10150	-0.008787345388885702
10152	0
10153	-0.0038847640558590996
10154	0.002118188106548024
10155	0.012167334983098667
10157	-0.029719133950160726
10158	0.017486429999748334
10159	-6.112817868816883e-11
1015	-0.03488341339688907
10160	-0.0032708737034122417
10161	0.017601881777344206
10162	0
10163	0.013134118505560463
10164	0.04702293703353088
10165	0.027125078816643475
10166	-0.004437782538121664
10168	0
1016	0
10170	0.045239387651205214
10171	0.010345568042251828
10174	0.0019192200140851594
10175	0
10178	-0.0053451931478255225
10179	0.0027657216774439066
1017	1.5100725706848733e-4
10180	0.009650666793727256
10181	0
10184	-0.0026973463014597658
10186	-0.012389320046023836
10188	0.003084434922456579
10190	0.012992969058998287
10193	0.013021085786419508
10195	-0.009940364169985292
10196	-0.009424654268028425
10197	0.004052597689806223
10198	0.0013168738649248278
10199	0.0015307578246892117
1019	-0.01055747140294793
101	0
10200	0
10201	0.004158868690186078
10202	0.002716025436476822
10203	-0.0027698099474517497
10205	-0.028856577603459808
10206	6.39646213258392e-5
10207	-0.0011007900840176324
10208	0.0010433930173954992
10209	0.012823416677291578
1020	-0.022314224673647107
10210	-0.0028831735486866904
10211	0
10212	0
10213	-0.012839327146551182
10214	-0.006087144483987864
10215	0.01515692505707874
10216	0.024799573104982653
10217	0.0032261868791298404
10218	-0.011097311622679244
10219	-0.0031121408596548996
1021	0
10220	0
10221	0.02535833695490804
10223	0
10225	-0.014293003484438465
10226	-0.006330574971318942
10227	0.018224235099030033
10228	-0.007364761072333033
10229	1.9818049788268162e-4
1022	-0.007906136671635729
10230	0.01732952468254172
10231	0
10232	-0.03614511929953886
10233	0.01535962770329606
10234	0.0059993786300541595
10235	0.015759571279426662
10236	0
10237	1.2160471573096729e-4
10238	0
10240	0.008167080518744752
10241	-0.016751892399477237
10242	0
10243	-0.0044049569517007935
10244	0
10245	-0.017859076117908962
10246	0.0027318220725222144
10247	-0.005393264650971419
10248	4.057907062199964e-4
10249	9.24184225846744e-4
10250	0.0010890510536231718
10252	-0.01126275467403121
10253	-0.002648304630940026
10254	0
10255	0
10256	0
10257	-0.013978489817736339
1025	0.008497277998602892
10260	-0.02145869007469734
10261	-0.02153290879588438
10262	-0.012504078665379267
10263	-0.004781770467660127
10265	-0.013368727265823709
10266	0.00228081952752416
10267	-0.018375373593832067
10268	0.006003114263483844
10269	0.014789503346526673
1026	-3.1250362674408345e-11
10270	-0.0062078869351617615
10272	0
10273	0.0017012473783460738
10274	0
10276	-0.01823462316569456
10277	0.004210366054869417
10278	-0.02754166181345143
10279	-8.593047515053692e-4
1027	4.560577558260005e-4
10280	-1.004181569745614e-4
10281	-0.005894037188618508
10282	0.005876082258919396
10284	-0.007476510867250717
10285	0
10286	0.018712304578120183
10287	0
10288	0.003828668599837982
10289	0.017027367750780422
1028	0.03358661306639761
10290	-0.004311640238791742
10291	0.003888478083210998
10293	-0.009618401719443151
10294	0
10295	-0.00532920265831964
10296	0.003147640085094726
10297	0
10298	0.008806272957182823
10299	-7.915368060131937e-4
1029	-0.0197759851861068
102	-0.00475513862179186
10300	-0.0017228783410036621
10301	-0.038575507745980016
10302	-5.126090453619581e-4
10307	0.014276469882392138
10308	0.03363269229195349
10309	0.027046057680037608
1030	-0.02030478028850562
10311	5.630007086046494e-5
10312	-0.025781747667353885
10313	-8.933084835798275e-5
10314	0.005259328806033158
10316	-0.017755896812444383
10317	5.15436956289747e-4
10318	0
10319	-0.007848461375542085
1031	-0.010354199385128023
10320	0
10321	-0.017503177298757742
10322	0
10324	-0.01232595136839697
10325	0.0032576885497851505
10327	0
10328	0
10329	-0.002167849264590593
1032	-0.007391914173355804
10330	0.013078315133791148
10331	0.02003020532092798
10332	0
10333	0.014428978546601913
10336	-0.01208297401951662
1033	0.008827760479630848
10342	-0.0031096839635846056
10343	2.7651689039228245e-4
10346	0.0686923739747934
10347	0.008425225168913234
10351	0.014578376889963421
10352	0.025652760201989314
10360	0.010206291050613889
10362	-0.00706645004585806
10363	0.005356058357628379
10365	-0.011006634874715114
10367	-0.007870643499695563
10368	0
10369	-0.0011108277188171174
1036	-3.351102787336849e-4
10370	2.69671112817023e-4
10371	-0.011383192884972195
10376	0.008921393093329264
10379	-0.014198002686422753
10381	0.020095913844888538
10382	0
10383	0.03213309924117003
10384	0.0015282973284155218
10385	0
10388	0.0019222856630498628
10389	-0.002238765890709205
1038	-0.005656534775919582
10390	-0.010110594336874846
103910	0.02572896859991681
10391	-0.009483577042013242
10392	0.010853218799018585
10393	0.01081552534154575
10394	-0.007063412139171333
10395	0
10396	0.03127649636417792
10397	-0.01951903301030736
10398	-0.013371574298299676
10399	-0.004759172031343465
1039	0.008830909241611316
103	0
10400	-0.018996621688175317
10401	0.009866609290624816
10402	0.0026788265925049414
10403	-4.438283868400639e-5
10404	-9.04532962854435e-4
10406	0.06909971955773826
10407	6.09033676768246e-4
10408	0
10409	0.035017468231697046
1040	-0.0014510209995740818
10411	0
10413	-0.002199238832080476
10417	-0.022991022667041217
10418	0.0013299048975898996
10419	0.015647887017944073
1041	0.018402083851122894
10420	-0.008935964388876097
10421	-0.0074824576954709955
10422	-0.022997277002851115
10423	0.0031672934801309474
10424	0.016513407147726217
10425	0.004476341819467981
10426	0.004793959057789268
10427	0.004592642341496239
10428	-0.009380405805064402
10430	-0.003038739555898572
10432	-0.003695779004052628
10434	0.011055045479413352
10435	-0.0032224939685868027
10436	0.02116505140841691
10437	-0.01467817093064102
10438	0.0038401382191640613
10439	-0.018764049393180424
1043	-0.03728430448182531
10440	0.010527878034070626
10443	-0.004201902576116095
10444	0
10445	0
10446	0.008614170516607608
10449	-0.008825114812001343
1044	-0.0018657699771112422
10450	0
10451	-0.04116307115235244
10454	0.004724657511448847
10455	-0.0018557636063231922
10456	-0.006941193963254656
10457	0.045244273958661
10458	0
1045	0
10460	0
10461	-0.010537942245135773
10462	0
10463	0.0010575804669638168
10464	-0.01239336978147561
10465	-0.004331377363849596
10466	0.002691525521988356
10467	0.014347287789406573
10468	0.02637915803883799
10469	0.0021662018575045678
1046	0.011668576102728062
10471	0
10472	0
10473	-0.018889377172494993
10474	0.00173259789122228
10475	0
10478	0.016824359014396145
10479	0
1047	-0.02883205041920907
10480	-0.0128518145410579
10481	0
10482	0.012695272090843252
10483	-0.003409653044796433
10484	0.021303283595322037
10485	-0.02328135781353757
10486	0.002772722811558326
10487	-0.0018629824150449522
10488	-0.019958017952746095
10489	-0.0033384957038077364
1048	0.005573727871029347
10490	4.205744815754395e-4
10491	0.021337879009226426
10492	2.467588892341369e-4
10493	-0.026132966970517486
10494	-0.0025699009427978315
10495	-7.011476166854417e-4
10497	0.002092617956918857
10498	0
10499	0.03545501923764308
104	-0.0031300832631402297
10500	-9.349158439621011e-4
10501	-0.0028271253098076945
10505	0.0029542955236116736
10507	0.0018720404722393845
1050	0.029479242090757377
10512	-0.05233994772194003
10513	0.001396831674896143
10514	-0.003482134961056269
10516	0.010118210989662696
10518	0.026207486417559354
10519	-3.558796030496955e-4
1051	-3.955368908015452e-4
10520	0.017145805093224217
10521	-0.04713317778377378
10522	0
10523	-0.003534407237280095
10524	0.011511523768821292
10525	0.012258684323402762
10526	0.006261499045637564
10527	0.001988090705720743
10528	-0.005740322089965451
10529	0.02401958100202144
1052	-0.03697058463425682
10531	0.004860867687805903
