gene	female-infant-coarse-3
1	0.0033433643177061207
10	0
100	0.022604667374412506
1000	0
10000	-0.021971522694260174
100009676	0
10001	0
10002	0
10003	0
10004	-0.02015263314100371
100048912	-0.015899882736425654
10005	0
10006	0
10007	0
10008	0
10009	0
100093630	0
100093698	0.017585560110000134
1001	0.005567745718720333
10010	0
100101467	0.0033252061966532083
100101938	0
10011	0
100113407	-0.006402216675049749
100124700	0
100125288	0
100126791	0
100126793	0
100127888	0
100127983	0
100128025	0
100128071	0
100128098	0
100128124	0
100128126	0
100128139	0
100128164	0
100128191	0
100128239	-0.008392423874230896
100128325	0
100128554	0
100128590	-0.0017001515179752085
100128640	0
100128731	-0.00475491369851546
100128750	0
100128782	0
100128788	0
100128881	0.008229095271575466
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0.004507108472230652
100129550	0
100129597	0
100129620	0
100129654	0
100129662	0
100129716	0
100129722	0
100129726	0
100129792	-0.016654109642521703
100129794	-0.023423422109591613
100129827	0
100129845	0
100129858	0
100129917	0
100129935	0
10013	-0.018378582051146224
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0
100130717	0
100130733	0
100130776	0
100130894	0
100130933	0
100130950	0.0012924834621374035
100130958	0.022378337346733498
100130967	0
100131017	0
100131067	0
100131117	0
100131138	0
100131187	-0.0337489345382498
100131211	0
100131213	0
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.002748450003233262
100133985	0
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	-0.009975754748264638
100141515	0
100144597	0
100144602	0
100144603	0
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0.0031094041173800394
100170841	0
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0.0031425163863695567
10020	0
10021	0
10022	0
10023	0
10024	0
10025	0
10026	0
100268168	0
100270679	0
100272147	0
100286844	0
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0
100289097	0
100289098	0
100289187	-7.804060542191141e-5
100289274	0
100289341	0
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	-0.00169726666341753
100302691	0
100303728	0
100303755	0
100306951	0
100316904	0
100329135	0
100359394	0
10036	0
100379174	0
10038	0
100381270	0.017530045433552705
10039	-0.007529969018037042
1004	0
10040	0.0028534239304158562
10042	0
100422737	0
10043	-0.0038316157419175144
10044	0
10045	0
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0.00393682947928678
10050	0
100500850	0.054871903957556006
100505474	0
100505478	0
100505495	-0.02293255295689745
100505501	0.004431167629695221
100505515	0
100505538	0.010361374226169978
100505540	0.005282596663905731
100505545	0
100505549	0
100505573	-0.006569003345221744
100505583	0
100505609	0
100505616	0
100505619	0
100505622	3.8369134040481856e-4
100505624	0
100505641	0
100505658	0
100505659	0
100505664	0
100505676	0
100505681	0
100505685	-0.0029984429781764227
100505687	0
100505696	0
100505715	0.004653971002181201
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0
100505776	0
100505782	0
100505783	0
100505797	0.003964888203849064
100505811	0
100505812	0
100505826	0
100505839	0
100505841	0
100505851	0
100505854	0
100505876	0
100505877	0
100505879	0
100505881	-0.014338237010748139
100505890	0
100505893	0.003967647892855326
100505894	0
100505933	0
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0
100505985	0
100505989	0
100506012	0.011342303439494253
100506013	0
100506022	-0.009194942823447124
100506025	0
100506049	0
100506068	0
100506071	0.01059373117334952
100506082	0
100506083	0
100506098	4.61492628971221e-4
100506100	0
100506107	0
100506108	0
100506113	0
100506115	0
100506119	0
100506122	0
100506125	-0.0031844325211284738
100506126	0
100506127	0.0055760140631107265
100506142	0
100506144	-0.02535914928654476
100506172	0
100506175	0
100506195	0
100506207	0
100506215	0
100506229	0
100506237	0
100506243	0
100506271	0
100506274	0
100506286	0
100506289	0
100506302	0.00205634367450182
100506314	0
100506319	0
100506368	0
100506374	0.0066029363822952885
100506380	0
100506385	0
100506405	0
100506406	0
100506409	0
100506413	0
100506421	0.0058617399657216246
100506428	0
100506433	0
100506457	0
100506462	0.019520630959167243
100506465	0.003504433057652696
100506469	0.008693760800585244
100506475	0
100506489	0
100506492	0
100506495	-0.0034159191273512267
100506497	0
100506498	0
100506504	0
100506526	0
100506527	0.018739358716052028
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	0.0029222059204015547
100506606	0
100506622	0
100506655	0
100506660	0
100506668	0
100506675	0.0134226239178697
100506677	0
100506679	0
100506680	0
100506686	-0.011624393315185345
100506691	0
100506696	0
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	0
100506757	0
100506765	0
100506776	-0.002582676621047375
100506779	0
100506790	0
100506791	0
100506795	0
100506797	-0.004603564393032419
100506826	0.0070684751973937015
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	0
100506930	0
100506963	0
100506994	0
100506999	0
100507027	-0.019600672092301475
100507034	0
100507050	0
100507057	0
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	0.01605336459435166
100507240	0
100507246	0
100507250	0
100507254	0.014525365607431008
100507257	0.008066527525230767
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0
100507303	0.01729284418156102
100507316	0
100507331	0
100507336	0
100507362	0
100507384	0
100507388	0
100507389	0
100507391	-6.487822336755102e-4
100507392	0
100507403	0
100507421	0
100507423	0
100507428	0
100507433	0.03221080811833959
100507436	0
100507459	0.011725647689521416
100507461	0
100507462	0
100507463	0
100507468	-1.6868657739707895e-5
100507470	0
100507475	0
100507477	0
100507487	0
100507495	0
100507506	0
100507524	0
100507527	0
100507533	0
100507534	0
100507537	0
100507540	-0.007168016334389533
100507547	0
100507564	0
100507567	0
100507584	0
100507600	0
100507602	0
100507605	0
100507629	0
100507632	0
100507642	0
100507650	0
100508631	0
10051	0.021989743625113363
10052	0
100526820	0
100528062	0
10053	-0.020128499132023643
100533106	0
100533178	0
100533182	0
10054	0
10055	0
10056	0
10057	0
10058	0
10059	0
1006	0
10060	0
10061	0
10062	0
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0
10069	0
1007	0.010636971412752863
10071	-0.02867386490105817
10072	4.4522613124279203e-4
10073	0
10075	-0.008839846892756938
10076	-0.010728335542082615
10077	-0.006734925505057945
10078	0
10079	0
1008	0
10081	0
10082	0
100820829	0
10083	-0.005416822197091805
10084	-0.006595315823817448
10085	0
100852408	0
100852409	0
100859921	0
100859930	0
10086	-0.005937990969645462
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	0
100862679	0
100862680	0
100862704	0
10087	0
100873930	0
100873942	0
100874012	0.00726353297479221
100874018	0
100874021	0
100874032	0
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0.02836562379620143
100874253	0
100874323	0
100874362	0.0025287345202189616
100874365	0
100885778	0
100885781	0
100885798	0
100885848	-0.002695720098577865
10089	0
1009	0
10090	0.014411498989449054
10092	0
10093	0
10095	0
10096	0
10097	0
10098	0
10099	0
100996246	0
100996251	0
100996279	0
100996286	0
100996301	0
100996307	-0.0017418333948764687
100996342	0
100996419	0
100996425	-0.0026473262461776613
100996455	0
100996485	0
100996490	0
100996492	0.00785163658577332
100996570	0
100996579	0
100996590	0
100996624	0
100996671	0.0034064806302279657
100996694	0
100996702	0
100996902	0
101	0
1010	0
10100	-0.011281087883531073
10101	0
10102	0
10103	0
10105	-0.003512598476634091
101055625	0
101059948	-0.009269478389945171
10106	0
101060019	0
101060200	0
101060264	0
101060544	0
10107	0
10109	0
10110	0
10111	0
10112	1.2758112529852398e-4
10113	0
10114	0
10116	0
10117	0
1012	0.008653222158604725
10120	0
10121	0
10123	0
10125	0.015236531141837616
10126	0
10127	0
10128	0
10129	-0.011391263574626232
1013	0
10130	0
10131	0
10133	0
10134	0
10135	0
10136	0
10137	0
10138	0
10139	-0.0020391489651542184
1014	0
10140	0.016292300362168825
10141	0
101410533	0
101410538	0
10142	-0.017391900897785025
10143	0
10144	0
10146	0
10147	0
10148	0
10149	0
1015	0
10150	0
10152	0
10153	0
10154	-0.018040250040642802
10155	0
101559451	0
10157	0.002170664677625424
10158	-0.0010649725142976459
10159	-0.0013781026572051696
1016	0.019453813867333775
10160	0
10161	0.002366202133926367
10162	0.0055049259233617325
10163	0
10164	0
10165	-0.0030838210383661
10166	0
10168	0
10169	0
1017	0
10170	0
10171	0
10172	0.00774648507767855
10174	0
