gene	male-elderly-coarse-1
1	0
10	8.243543233003354e-4
100	0.0013919544758246155
1000	0
10000	-0.0030097925141893897
100009676	0
10001	0
10002	0
10003	0
10004	-0.01578715652861457
100048912	0
10005	0
10006	0
10007	0
10008	-0.014712560702555584
10009	0
100093630	0.04771486232886312
100093698	0
1001	-0.0053592968051372316
10010	0
100101467	0
100101938	0
10011	0
100113407	0
100124700	-0.013940741090055627
100125288	-8.300375489429976e-5
100126791	0
100126793	0
100127888	0.0013603550597495943
100127983	0
100128025	0
100128071	-0.011555563003006449
100128098	0.04066006382018291
100128124	-0.07395687048381873
100128126	0
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0
100128590	-0.00778542344510267
100128640	0
100128731	0
100128750	0
100128782	-0.024007457694420503
100128788	-0.006438218866930956
100128881	0
100128893	0
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0.008999065063488446
100129196	0.004334807599726071
100129250	0.009736237304709577
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	-0.011238088762118207
100129716	-0.006613808458184088
100129722	0
100129726	0
100129792	-0.0672252609981989
100129794	0
100129827	0.011857943510837911
100129845	0
100129858	0
100129917	0
100129935	0
10013	0
100130155	0
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	-0.012381265800502283
100130548	0
100130613	0
100130691	0
100130705	-0.009429106075559865
100130717	0.0261236510035335
100130733	0
100130776	0
100130894	0
100130933	0
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	0
100131187	0
100131211	-0.005584101490723533
100131213	0.012215367919443242
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	-0.012431285252962337
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0
100132476	0
100132596	0
100132677	0
100132891	0.03585664766730333
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.038452352651805285
100133985	0
100134229	2.904135889961159e-4
100134259	0
100134368	0
100134713	0
100137047	-0.0016558804052653794
10014	-0.003623164239298904
100141515	0.010801766746141245
100144597	0
100144602	0.06510161684693286
100144603	0.016730524462808583
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	-0.009902172987075132
10018	0
100188893	-9.830080274942235e-4
100188953	0.019451424480113937
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	0.013986652779122826
10025	-0.007932534989106704
10026	0
100268168	0
100270679	0
100272147	0.011588811562295407
100286844	0
100287015	0.0011605822385833302
100287114	0
100287177	3.721888464294439e-4
100287366	0
100287482	0
100287569	0.02972159049679644
100287616	0
100287814	0
100287896	0
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	0
100288797	0
100289092	0.01768574462983025
100289097	0
100289098	0
100289187	0
100289274	0
100289341	0.0019394846164684626
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	-0.007744518290362989
100294720	0
1003	0
100302691	0
100303728	0
100303755	0.011301892064413807
100306951	0
100316904	-0.017617786979299454
100329135	0
100359394	0
10036	-0.003785338872287793
100379174	0
10038	0
100381270	0.010666883935680377
10039	0.02213388376284392
1004	0
10040	0
10042	0
100422737	0
10043	0
10044	0
10045	-0.011761528664766175
10046	0
10047	0
10048	0
10049	0
100499171	0
1005	0.0035156529597595958
10050	0
100500850	0
100505474	0
100505478	0
100505495	-0.008465212650650979
100505501	0.025183549984816277
100505515	0
100505538	0
100505540	0
100505545	0.002899524259452413
100505549	0
100505573	0
100505583	0
100505609	0
100505616	0
100505619	0
100505622	0
100505624	-0.015481915319369688
100505641	0
100505658	0
100505659	4.893639955858628e-4
100505664	-0.04025001143471164
100505676	0
100505681	0
100505685	0
100505687	0
100505696	0.004578403009155502
100505715	0.011051461774004031
100505718	0
100505738	0
100505741	0
100505746	0
100505761	0
100505768	0.004531882627858402
100505776	0
100505782	0
100505783	0
100505797	0
100505811	0
100505812	0
100505826	0
100505839	7.616179810499711e-5
100505841	0
100505851	0
100505854	0
100505876	0.004792828874377581
100505877	0
100505879	-0.03851993468231203
100505881	0
100505890	0
100505893	0.006839119482108218
100505894	0
100505933	-0.03345858332853408
100505964	0
100505967	0
100505975	0
100505978	0
100505984	0.04343637099571952
100505985	0
100505989	0
100506012	0
100506013	0.03686278429757343
100506022	0
100506025	0
100506049	0
100506068	-0.017957318782691897
100506071	0.015233711155400778
100506082	0
100506083	0.003951058487290297
100506098	0
100506100	0.02017821212596735
100506107	0
100506108	0.013721794448738438
100506113	-0.0023355815838078933
100506115	-0.019484248231429104
100506119	-0.009017509444926824
100506122	0
100506125	0
100506126	0
100506127	0
100506142	0
100506144	0.0014107145999714811
100506172	0
100506175	0
100506195	0
100506207	0.015287250418999306
100506215	0
100506229	0
100506237	0
100506243	0.015764137790832675
100506271	0
100506274	0.027431232249649308
100506286	0
100506289	0
100506302	0
100506314	-0.01968016994717899
100506319	0
100506368	0
100506374	-0.03259565765991115
100506380	0
100506385	0
100506405	0
100506406	0
100506409	-0.026454931545481244
100506413	0
100506421	0
100506428	0
100506433	0
100506457	-0.0034269930125934945
100506462	0
100506465	0.021343976794301372
100506469	0
100506475	0
100506489	0
100506492	0
100506495	0
100506497	0.015725933011592124
100506498	0.004164645021635512
100506504	0
100506526	0
100506527	-0.0020529686620435893
100506530	0
100506540	0
100506542	0
100506571	0
100506581	0
100506599	0
100506603	-0.006619324023134686
100506606	1.5519259497787484e-4
100506622	0
100506655	0
100506660	0
100506668	0
100506675	-0.05869182761710897
100506677	0
100506679	0
100506680	0
100506686	0.022845360017634198
100506691	0.014985063081521656
100506696	4.3303312130732956e-4
100506697	0
100506710	0
100506713	0
100506714	0
100506724	0
100506733	0
100506742	0
100506755	-0.013161189328565593
100506757	0
100506765	0
100506776	0
100506779	0
100506790	0
100506791	-0.0026671093818921962
100506795	0.022251563840181537
100506797	0
100506826	0
100506827	0
100506834	0
100506840	0
100506866	0
100506874	0
100506895	0
100506907	0
100506922	-0.004684075225732829
100506930	0
100506963	0.006877366560574168
100506994	0
100506999	0
100507027	-0.004465217881253376
100507034	0
100507050	0.030536155986616288
100507057	0
100507058	0
100507059	0
100507062	0
100507064	0
100507086	0
100507114	0
100507117	0.003151384054686737
100507143	0
100507156	0
100507171	0
100507173	0
100507203	0
100507206	-0.012263957146327085
100507240	0
100507246	0.004334808697907213
100507250	-0.016968698599141702
100507254	0.0032461536292271225
100507257	0.06078542905190221
100507261	0
100507266	0
100507274	0
100507277	0
100507283	0
100507290	0
100507300	0.001669744753410031
100507303	0
100507316	0.011002528736411823
100507331	0
100507336	-0.007379323651199437
100507362	0
100507384	-0.012852630695178183
100507388	0
100507389	0
100507391	0
100507392	-0.0092191004124491
100507403	0
100507421	0
100507423	0
100507428	0.011952096928430755
100507433	0
100507436	0
100507459	0
100507461	0
100507462	0
100507463	0
100507468	0
100507470	0
100507475	0.011714028246269142
100507477	0
100507487	0
100507495	0.006012140874072422
100507506	0
100507524	0
100507527	0
100507533	0.003247550857429784
100507534	0
100507537	0
100507540	-0.018551056188605433
100507547	0.03168608166263417
100507564	0
100507567	0
100507584	0
100507600	0
100507602	0.008413971095975482
100507605	0
100507629	0
100507632	0
100507642	0
100507650	0.004600137230060757
100508631	0.0029817381268355766
10051	-0.005453375957647548
10052	0
100526820	0
100528062	0
10053	0
100533106	0
100533178	0
100533182	-0.014620050497440825
10054	0
10055	0
10056	0
10057	0
10058	0.0012483770522548976
10059	0
1006	-4.634151191772334e-4
10060	0
10061	0
10062	0
100628307	0
100631378	0
100652740	0
100652791	0
100652824	0
100652853	0
100652911	0
100652929	0
100652999	0
10066	0
10067	0
10068	0
10069	0
1007	-0.00425033129352978
10071	0
10072	0
10073	0
10075	0
10076	0
10077	-0.016027203749776706
10078	0
10079	0
1008	0
10081	0
10082	0
100820829	0
10083	0
10084	0
10085	0.022346311653259378
100852408	0
100852409	0
100859921	0
100859930	0
10086	0
100861552	0
100861553	0
100861554	0
100861573	0
100862662	0
100862671	-0.0065177238573191345
100862679	0
100862680	-0.04434644011300043
100862704	0.006526583495217872
10087	0
100873930	0
100873942	0
100874012	0
100874018	0
100874021	0
100874032	0.020366516918358616
100874051	0
100874063	0
100874143	0
100874178	0
100874182	0
100874187	0
100874194	0
100874195	0
100874205	0
100874239	0
100874251	0.021964836327600094
100874253	0
100874323	-0.004121587480011055
100874362	0
100874365	0
100885778	0
100885781	0
100885798	0
100885848	0
10089	-0.006054431049653154
1009	0
10090	0
10092	0
10093	0
10095	0
10096	0
10097	0
10098	0
10099	-0.011650649378408191
100996246	-0.006301414102457341
100996251	0
100996279	0.007281311476954247
100996286	0
100996301	0
100996307	0.026368181056328134
100996342	-0.010265433878466675
100996419	0.002428169791987601
100996425	0
100996455	0
100996485	0
100996490	0
100996492	0
100996570	0
100996579	0
100996590	0
100996624	0
100996671	0
100996694	0
100996702	0
100996902	0
101	0
1010	0
10100	0
10101	0
10102	0.0027530293378755385
10103	0
10105	-0.010863676141738441
101055625	0
101059948	0
10106	0
101060019	0
101060200	0
101060264	0
101060544	0
10107	0
10109	0
10110	0.028727717364623588
10111	0
10112	0
10113	-0.010535864189149409
10114	0
10116	0
10117	0
1012	-0.01363639737190742
10120	0
10121	0
10123	0
10125	0
10126	-0.001125673117586418
10127	0
10128	0
10129	0
1013	-0.014197804795162791
10130	0
10131	0
10133	0
10134	0
10135	-0.017168537564311092
10136	0
10137	0
10138	0
10139	0
1014	0
10140	0.007884668802488918
10141	0
101410533	0.003636883942509575
101410538	0
10142	0
10143	0
10144	0
10146	0
10147	0
10148	0.03175948126871141
10149	0.029389531704454745
1015	0
10150	0
10152	0
10153	0
10154	0.003198334709375853
10155	0
101559451	0
10157	0
10158	0
10159	0
1016	0
10160	0
10161	0
10162	0
10163	0
10164	0
10165	0
10166	0
10168	0
10169	0
1017	0.012382214491793284
10170	0
10171	0
10172	0
10174	0
10175	0
10178	0
10179	0
10180	0
101805491	0
10181	0
10184	0
10186	0
10188	0
10189	0
1019	0
10190	0
101926888	0
101926890	0
101926892	0
101926903	0
101926928	0
101926934	0
101926942	0
101926951	0
101926978	0
101926987	0
101927003	0
101927007	0
101927017	0
101927018	0
101927027	0
101927034	0
101927038	0
101927040	0
101927043	0.002160961682939648
101927051	0
101927059	0
101927067	0
101927074	0
101927075	0
101927081	0
101927096	0
101927111	-0.007012520398820719
101927112	0
101927115	-9.714227758779609e-4
101927123	-0.01392920309407784
101927124	0
101927125	0.017879084603775262
101927129	0
101927131	0
101927138	0
101927143	-0.006349966510800429
101927150	0
101927151	0
101927152	0
101927159	0
101927164	0
101927193	0
101927195	0
101927196	0
101927204	0
101927219	0
101927220	0
101927228	0
101927237	0.020005641991805625
101927244	0
101927253	0
101927257	0
101927273	0
101927274	0
101927275	0.021951442641706797
101927282	0
101927286	0
101927292	0
101927295	0
101927310	0
101927314	0
101927320	0
101927346	0
101927348	0
101927358	0
101927360	0
101927362	0
101927363	0
101927377	0
101927379	0
101927396	0
101927402	0
101927410	0
101927411	0
101927416	0
101927417	0
101927420	0
101927433	0
101927438	0
101927447	0
101927449	0
101927450	0
101927460	0.017240929822193787
101927482	0
101927494	0
101927495	0
101927498	0
101927502	0
101927503	0
101927513	0
101927523	0
101927526	0
101927528	0
101927531	0
101927539	0
101927543	0
101927547	0
101927553	0
101927565	0
101927581	0
101927586	0
101927587	0
101927588	0
101927592	0
101927599	0
101927606	-0.013136433230258543
101927616	0
101927636	-0.011996817250762518
101927641	0
101927650	0
101927657	0
101927659	0
101927682	0
101927690	0
101927701	0
101927702	0
101927720	0
101927722	0
101927735	0
101927760	0
101927766	0
101927769	4.065294771384885e-4
101927787	0
101927798	0
101927808	0
101927809	0.0011688518805895915
101927815	0
101927821	0.005821357912357526
101927828	0
101927829	0
101927839	0
101927843	0
101927849	0
101927869	0
101927870	0
101927876	0
101927877	0
101927884	0
101927900	0
101927901	0
101927907	0
101927914	0
101927934	0
101927943	-0.009748066959065497
101927948	0
101927950	0
101927953	0.009409474913679123
101927972	0
101927974	0.00757896395873943
101927992	0
101927994	0
101928000	0.0027553312179540218
101928002	0
101928009	0
101928012	0
101928031	0
101928035	0.014430503069892426
101928040	0
101928043	0
101928052	0
101928069	0.028660004975064452
101928079	0
101928087	-0.0022017654215402897
101928098	0
101928100	0
101928101	-0.002310634911936034
101928104	0
101928111	0.008048976028262616
101928120	0
101928132	0
101928134	-0.015686904790075548
101928144	0
101928158	0
101928162	0
101928165	0
101928167	0
101928185	0
101928190	0
101928201	0
101928205	0
101928222	-0.01519222466388559
101928227	0
101928238	0.007966413300334558
101928251	0
101928259	0
101928271	0
101928276	0
101928280	0
101928288	0
101928298	0
101928303	0
101928333	0
101928335	0
101928371	0
101928376	0
101928386	0
101928388	0
101928389	0
101928399	-0.022796340121808496
101928401	0
101928405	0
101928418	0
101928424	0
101928435	0
101928443	0
101928446	0
101928449	0
101928460	0
101928461	0
101928464	0
101928475	0
101928476	0
101928495	0
101928496	0
101928516	0
101928521	-0.018830813742854374
101928525	-0.008124050901574975
101928535	0
101928537	0
101928539	0
101928555	0
101928557	0
101928559	0
101928565	0
101928571	0
101928578	0
101928580	0
101928583	-0.0012154413215496932
101928590	0.004814911545740602
101928597	0
101928602	0
101928616	0
101928618	0
101928622	0
101928646	0
101928649	-0.011748919388104946
101928651	0
101928661	0
101928673	0.007118788976469218
101928682	0
101928684	0
101928687	0.027125311870566993
101928694	0
101928700	0
101928707	0
101928708	0
101928710	0
101928725	0
101928728	0
101928731	0
101928739	0
101928748	0
101928751	0
101928770	0
101928773	0
101928778	0
101928784	0
101928790	0.006243680225160257
101928795	0
101928797	0
101928809	0
101928820	0
101928823	0
101928834	0
101928837	0.03183416719485509
101928844	0
101928845	0
101928846	0.009892621392471193
101928847	-0.0012364019316261825
101928850	0
101928857	0
101928858	0
