gene	male-infant-fine-3
1	0
10	0
100	0.019043437466348883
1000	0.03529786782344691
10000	-0.009409996909975247
100009676	0
10001	0
10002	0
10003	0.001797179990168938
10004	-0.03276382155987806
100048912	0
10005	-0.0020736016786527937
10006	0
10007	0
10008	0
10009	-0.008253684675036167
100093630	0.02734092842074906
100093698	0
1001	0
10010	0
100101467	0
100101938	0.0068257095319636755
10011	0
100113407	0
100124700	0.0019298148060065377
100125288	-0.008044207360128263
100126791	0
100126793	0
100127888	0
100127983	-0.008263417265261244
100128025	0
100128071	0
100128098	0
100128124	0
100128126	-0.003280069795625029
100128139	0
100128164	0
100128191	0
100128239	0
100128325	0
100128554	0.002838486323571111
100128590	-0.02673813669984961
100128640	0
100128731	0
100128750	0
100128782	0.007833531839557787
100128788	0
100128881	0
100128893	0.008949253206491994
100128927	0
100128946	0
100129128	0
100129175	0
100129195	0
100129196	0
100129250	0.004893515720140024
100129271	0
100129361	0
100129427	0
100129461	0
100129482	0
100129503	0
100129550	0
100129597	0
100129620	0
100129654	0
100129662	-0.004304994142374025
100129716	0
100129722	0
100129726	0
100129792	-0.0596008084110023
100129794	0.0013894959756445447
100129827	0
100129845	0
100129858	0
100129917	-0.0035377618356333485
100129935	0
10013	0
100130155	0.00424726220892477
100130249	0
100130264	0
100130331	0
100130357	0
100130449	0
100130476	0
100130519	0
100130522	0
100130548	0
100130613	0
100130691	0
100130705	0.0010281329697267479
100130717	0.015506889371739304
100130733	0
100130776	-0.0024031373382173322
100130894	0.0021052148307262025
100130933	0.0038505703691357794
100130950	0
100130958	0
100130967	0
100131017	0
100131067	0
100131117	0
100131138	-0.0010523113617300227
100131187	-0.007412754821427995
100131211	0
100131213	-0.003212959954107009
100131303	0
100131347	0
100131366	0
100131434	0
100131496	0
100131655	0
100131691	0
100131755	0
100131801	0
100131814	0
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0.006413338195068316
100132476	0
100132596	0
100132677	0
100132891	-0.012354890650376562
100133205	0
100133311	0
100133461	0
100133612	0
100133941	0
100133985	0.008562626413908401
100134229	0
100134259	0
100134368	0
100134713	0
100137047	0
10014	-0.039931782380646846
100141515	0
100144597	0
100144602	0
100144603	8.661588390162889e-4
100144748	0
10015	0
10016	0
100169752	0
100169989	0
10017	0
100170229	0
100170765	0
100170841	0
10018	0
100188893	0
100188953	0
100189589	0
10019	0
100190938	0
100192379	0
100192386	0
1002	0
10020	0
10021	0
10022	0
10023	0
10024	-0.018955012065612602
10025	0
10026	0.004249023293446213
100268168	8.957405782794725e-4
100270679	0
100272147	0
100286844	0.005106757366988765
100287015	0
100287114	0
100287177	0
100287366	0
100287482	0
100287569	0.011109102669304287
100287616	0
100287814	0
100287896	-0.008677240190421761
100287902	0
100287932	0
100288079	0
100288122	0
100288198	0
100288413	0
100288637	-0.004005139602694693
100288797	0
100289092	0
100289097	0
100289098	0.0037118646664964466
100289187	-0.005236828168036695
100289274	0
100289341	0.001698188601076918
100289373	0
100289495	0
100289635	0
100289678	0
100292680	0
100293516	0
100294362	0
100294720	0
1003	0
100302691	0
100303728	0
100303755	0
100306951	0
