gene	male-old_adult-fine-2
1	0.016471247684044395
10	0.013575307876909049
100	0.00371056210951994
1000	-0.01560036766012224
10000	0
100009676	0.001884952246115272
10001	0
10002	0
10003	0
10004	0.019893897964092168
100048912	0.005739252169401458
10005	0.0049232330985123935
10006	0
10007	-0.008806279646738937
10008	-0.01615043978886429
10009	0
100093630	0.04863761627102101
100093698	0
1001	0.01968785938150464
10010	0
100101467	0
100101938	0
10011	-0.004603525623890692
100113407	0
100124700	0
100125288	0
100126791	0
100126793	-0.014762342832109504
100127888	0.0022151156643671144
100127983	0.02803536370677773
100128025	-0.012565838181145254
100128071	0
100128098	0.03695619641788972
100128124	-0.008978434533989312
100128126	0.011349026232315025
100128139	-0.018607276942914888
100128164	-0.015319278258669291
100128191	0.002153471581560076
100128239	-0.04504805909484064
100128325	-0.042796684060170793
100128554	0.011916384313637137
100128590	0
100128640	0
100128731	-0.026232737691198993
100128750	-0.016860124314926745
100128782	0.01307349029074885
100128788	0
100128881	0.0284736844636658
100128893	-0.023197992548489022
100128927	0
100128946	0
100129128	-0.0031313321258725478
100129175	0
100129195	0
100129196	0.002287726153099731
100129250	0
100129271	-0.005269855206437119
100129361	0.007401638430124937
100129427	0
100129461	0
100129482	0
100129503	-0.01128734017584225
100129550	0
100129597	-0.011902941261623784
100129620	-0.004074191961742454
100129654	0.0052266562423652525
100129662	0.010978757333853796
100129716	0.0580268612276062
100129722	-0.010983627655531753
100129726	0
100129792	-0.028564254816029304
100129794	0.013070227273628396
100129827	0.010280423981354772
100129845	0
100129858	0.06894106484219087
100129917	0
100129935	0
10013	0
100130155	0.005405744208940874
100130249	0
100130264	0
100130331	0
100130357	0.003886753611472301
100130449	-5.873879003191582e-4
100130476	0
100130519	-0.01526917762635457
100130522	0.0017248536977286294
100130548	0
100130613	0.021192972217859624
100130691	0
100130705	0
100130717	-0.07018030030198927
100130733	0.023812167738976077
100130776	0.017137992475146534
100130894	0.018442182380489284
100130933	0
