gene	male-young_adult-fine-3
1	-0.04789721004824649
10	-0.0033366943437513337
100	-0.0143172150794002
1000	-0.0276799716644305
10000	0
100009676	0
10001	0
10002	0
10003	-0.007575151089929391
10004	0
100048912	0
10005	0.027929742518704483
10006	0.026282262251831348
10007	0
10008	0.04833528305799621
10009	0
100093630	0
100093698	0
1001	-0.06265405900894741
10010	0
100101467	0.015721387126536455
100101938	-0.0015347951463988395
10011	-0.007951985927917184
100113407	0
100124700	0
100125288	-0.013145505985130297
100126791	-0.006293097401792586
100126793	-4.619721616807549e-4
100127888	0
100127983	0.04012709225579235
100128025	-0.024349860833498094
100128071	0
100128098	0
100128124	0.06801789647753965
100128126	0.01219547971950589
100128139	0
100128164	-0.012655614153582453
100128191	0
100128239	0
100128325	-0.0032538893628872535
100128554	0
100128590	-0.04720934488875572
100128640	-0.006271454290159211
100128731	0.001461057383521121
100128750	0
100128782	0.06233504597002736
100128788	0.016144584568841894
100128881	0
100128893	0.014181970321954007
100128927	-0.005387712954069874
100128946	0
100129128	-0.004603322640133064
100129175	0
100129195	0.008017702948605331
100129196	0.045604349187436534
100129250	0.04498134934589164
100129271	0
100129361	0.008701135742346459
100129427	0
100129461	0
100129482	0
100129503	0.0028124764871717157
100129550	0
100129597	0.005984254982303092
100129620	0
100129654	-0.006764275170980313
100129662	-0.002847842896183045
100129716	-0.03548966668545893
100129722	0
100129726	-0.003102119604715253
100129792	0
100129794	0
100129827	-0.04507743087691982
100129845	0
100129858	-0.07949938570855866
100129917	-0.0025622682769549407
100129935	0
10013	0.014109538019447322
100130155	-0.027419701769770172
100130249	0.00439205385942692
100130264	-0.006636790340789234
100130331	0
100130357	0.11361283345547887
100130449	0
100130476	-0.04493621774206441
100130519	-0.03347965109294786
100130522	0.015851336283081583
100130548	-0.006288545773844562
100130613	0
100130691	0.05644289459910943
100130705	0.004030596087918864
100130717	-0.06523459879685771
100130733	0
100130776	0
100130894	-0.031675981643487054
100130933	0
100130950	0
100130958	0
100130967	4.760533406600739e-5
100131017	-0.02354937443687642
100131067	0.032853157254887626
100131117	0
100131138	-0.05788785391285923
100131187	0
100131211	-0.045344381113647116
100131213	-0.015561751806846715
100131303	2.596900351879681e-4
100131347	0
100131366	0
100131434	0.049988569082964555
100131496	0
100131655	-0.0025036778444583714
100131691	0
100131755	0
100131801	0.03234943710255363
100131814	-0.02681031774251258
100131816	0
100132074	0
100132078	0
100132341	0
100132386	0
100132464	0.035674008646458436
100132476	0
100132596	0
100132677	0.011462340847474021
100132891	-0.01770795005816317
100133205	0
100133311	0
100133461	0
100133612	0
100133941	-0.0519883908872661
100133985	0
100134229	0.010022706908766103
100134259	-0.011864908281601215
100134368	0
100134713	0
100137047	-0.07221304005258457
10014	0.010335161456744077
100141515	0
100144597	0
100144602	0
100144603	0.010699356266686935
100144748	0
10015	0.00400991277337851
10016	0.017030291999910494
100169752	0
100169989	0
10017	0
100170229	0
100170765	-8.225647212613239e-4
100170841	-0.003688268998442703
10018	0.007185969511004571
100188893	0.016377701293718794
100188953	-0.03888190115827867
100189589	-0.047115693614398005
10019	0.007406190614015762
100190938	0.004964555771236422
100192379	0.005156355629231975
100192386	0.05075306192746282
1002	0
10020	-0.027221868309816745
10021	0.009872646216885956
10022	0.00864888754617537
10023	0.0077037930691493325
10024	0.02839977697887651
10025	0.007415593666723732
10026	0.03723231942797174
100268168	0.001672762152077737
100270679	0
100272147	0.03377089462886682
100286844	-0.004978936636765317
100287015	0.02771340996308481
100287114	0
100287177	-0.05383128935787936
100287366	0
100287482	0.051760535855458936
100287569	0.008027278921503709
100287616	-0.019992015284272798
100287814	0
100287896	0
100287902	0.0012578732368012464
100287932	0.0022189066873728753
100288079	0
100288122	0.014568464652301619
100288198	0
100288413	0.031903286316018784
100288637	0.099292905748443
100288797	0
100289092	0.007232819008065881
100289097	0
100289098	-0.004341346806321973
100289187	-0.01180818323608696
100289274	0
100289341	0.029929371360415062
100289373	0
100289495	0
100289635	0.037723076953569905
100289678	0
100292680	0
100293516	0
100294362	0.024398076624790703
100294720	0.0024823277380547873
1003	0
100302691	0
100303728	0
100303755	0.0025905566532616994
100306951	0.010262310527071335
100316904	0
100329135	0
100359394	-4.3979106683618874e-4
10036	0
100379174	5.039016760206336e-4
10038	-0.008458246922838251
100381270	0
10039	-0.022353736879757308
1004	0
10040	0
10042	0
100422737	0
10043	0.02869948316801738
10044	0.023729959939134924
10045	0
10046	0.02971374538518573
10047	0
10048	0.008057384343814316
10049	-0.009236136042659075
100499171	0
1005	0
10050	0
100500850	0.04913669213038646
100505474	0
100505478	-0.002594057348035834
100505495	-0.019751565229218133
100505501	-0.0039204669584924
100505515	0
100505538	-0.026075292477409962
100505540	0.011404042455773014
100505545	0.044688760728236646
100505549	0
100505573	-0.01022100172029727
100505583	0
100505609	0
100505616	-0.0022909812756185025
100505619	0
100505622	0
100505624	0.018059837784838235
100505641	-0.003578653659891993
100505658	0
100505659	-0.005487920883222872
100505664	0
100505676	0
100505681	-0.020287554999048676
100505685	0
100505687	0
100505696	0
100505715	0
100505718	0.028649265567251978
100505738	0.008448890343522137
100505741	-0.0776255388876087
100505746	-0.012140850480662166
100505761	0
100505768	0
100505776	0
100505782	-0.0028504105167882253
100505783	0.028211377662344654
100505797	-0.04226501739526391
100505811	0
100505812	0.014348358362905699
100505826	0.037538108606780064
100505839	0.010351127327517671
100505841	0
100505851	-0.0347179920935812
100505854	0.017814009510155278
100505876	0
100505877	-0.013468664125806495
100505879	0.12197265617964263
100505881	0
100505890	0
100505893	0
100505894	0.055166240106269325
100505933	-0.06704175311759748
100505964	0
100505967	0
100505975	-0.08977811656736887
100505978	0
100505984	0
100505985	-0.006049110534278057
100505989	-0.042210592666562
