gene_id	go_id
10140	GO:0009895
101927423	GO:0009895
10459	GO:0009895
10492	GO:0009895
10533	GO:0009895
10605	GO:0009895
10642	GO:0009895
10670	GO:0009895
10949	GO:0009895
11011	GO:0009895
11044	GO:0009895
11178	GO:0009895
11180	GO:0009895
11187	GO:0009895
11213	GO:0009895
11315	GO:0009895
11345	GO:0009895
113451	GO:0009895
114609	GO:0009895
1149	GO:0009895
1153	GO:0009895
116986	GO:0009895
120892	GO:0009895
128866	GO:0009895
135644	GO:0009895
140775	GO:0009895
1432	GO:0009895
1457	GO:0009895
1459	GO:0009895
1471	GO:0009895
150	GO:0009895
153090	GO:0009895
1611	GO:0009895
1660	GO:0009895
167153	GO:0009895
1676	GO:0009895
170506	GO:0009895
1736	GO:0009895
1869	GO:0009895
1942	GO:0009895
1956	GO:0009895
1977	GO:0009895
1981	GO:0009895
1982	GO:0009895
1994	GO:0009895
1996	GO:0009895
2043	GO:0009895
207	GO:0009895
210	GO:0009895
2203	GO:0009895
221662	GO:0009895
221937	GO:0009895
2272	GO:0009895
22933	GO:0009895
23118	GO:0009895
2316	GO:0009895
23256	GO:0009895
23274	GO:0009895
2332	GO:0009895
23367	GO:0009895
23400	GO:0009895
23429	GO:0009895
23435	GO:0009895
23450	GO:0009895
2475	GO:0009895
2521	GO:0009895
254013	GO:0009895
257397	GO:0009895
258010	GO:0009895
26191	GO:0009895
26471	GO:0009895
2668	GO:0009895
26986	GO:0009895
27074	GO:0009895
2801	GO:0009895
28996	GO:0009895
29082	GO:0009895
2931	GO:0009895
29761	GO:0009895
29934	GO:0009895
29997	GO:0009895
302	GO:0009895
3077	GO:0009895
3183	GO:0009895
3192	GO:0009895
3240	GO:0009895
3326	GO:0009895
3357	GO:0009895
336	GO:0009895
340371	GO:0009895
341	GO:0009895
345	GO:0009895
3553	GO:0009895
3586	GO:0009895
3587	GO:0009895
3630	GO:0009895
3834	GO:0009895
3952	GO:0009895
3953	GO:0009895
406884	GO:0009895
406938	GO:0009895
4085	GO:0009895
4170	GO:0009895
4194	GO:0009895
4615	GO:0009895
474383	GO:0009895
474384	GO:0009895
4745	GO:0009895
4904	GO:0009895
493	GO:0009895
5045	GO:0009895
5073	GO:0009895
51035	GO:0009895
51322	GO:0009895
51374	GO:0009895
51377	GO:0009895
5140	GO:0009895
51582	GO:0009895
51594	GO:0009895
5207	GO:0009895
5245	GO:0009895
5300	GO:0009895
5317	GO:0009895
5371	GO:0009895
5465	GO:0009895
5476	GO:0009895
54855	GO:0009895
54922	GO:0009895
55051	GO:0009895
55254	GO:0009895
55353	GO:0009895
55625	GO:0009895
5582	GO:0009895
56658	GO:0009895
56776	GO:0009895
56893	GO:0009895
57533	GO:0009895
57589	GO:0009895
57602	GO:0009895
5768	GO:0009895
5774	GO:0009895
57805	GO:0009895
596	GO:0009895
6093	GO:0009895
6125	GO:0009895
6135	GO:0009895
6201	GO:0009895
6386	GO:0009895
64282	GO:0009895
6449	GO:0009895
64844	GO:0009895
65018	GO:0009895
65992	GO:0009895
66036	GO:0009895
6622	GO:0009895
6625	GO:0009895
6774	GO:0009895
6815	GO:0009895
6872	GO:0009895
6880	GO:0009895
7076	GO:0009895
7078	GO:0009895
7124	GO:0009895
7538	GO:0009895
7874	GO:0009895
79031	GO:0009895
79142	GO:0009895
80011	GO:0009895
80279	GO:0009895
80317	GO:0009895
80772	GO:0009895
8148	GO:0009895
819	GO:0009895
8263	GO:0009895
8313	GO:0009895
83547	GO:0009895
84074	GO:0009895
8473	GO:0009895
84861	GO:0009895
8531	GO:0009895
863	GO:0009895
8672	GO:0009895
8724	GO:0009895
90427	GO:0009895
90806	GO:0009895
9097	GO:0009895
92345	GO:0009895
9261	GO:0009895
9349	GO:0009895
9491	GO:0009895
9529	GO:0009895
9554	GO:0009895
9611	GO:0009895
9637	GO:0009895
9638	GO:0009895
9682	GO:0009895
9704	GO:0009895
9711	GO:0009895
9827	GO:0009895
9967	GO:0009895
10155	GO:0043903
10206	GO:0043903
1025	GO:0043903
103	GO:0043903
10318	GO:0043903
104	GO:0043903
10410	GO:0043903
10450	GO:0043903
10465	GO:0043903
10475	GO:0043903
10581	GO:0043903
1072	GO:0043903
11043	GO:0043903
1105	GO:0043903
11074	GO:0043903
11267	GO:0043903
117854	GO:0043903
128637	GO:0043903
128866	GO:0043903
140564	GO:0043903
1642	GO:0043903
164668	GO:0043903
1654	GO:0043903
1660	GO:0043903
200315	GO:0043903
200316	GO:0043903
201626	GO:0043903
2033	GO:0043903
2150	GO:0043903
2219	GO:0043903
222537	GO:0043903
22880	GO:0043903
22938	GO:0043903
22954	GO:0043903
23076	GO:0043903
23087	GO:0043903
23265	GO:0043903
23272	GO:0043903
2332	GO:0043903
23367	GO:0043903
23435	GO:0043903
23633	GO:0043903
24138	GO:0043903
2494	GO:0043903
2519	GO:0043903
25827	GO:0043903
25833	GO:0043903
25920	GO:0043903
2597	GO:0043903
25978	GO:0043903
26986	GO:0043903
27074	GO:0043903
27183	GO:0043903
27243	GO:0043903
27350	GO:0043903
2934	GO:0043903
2959	GO:0043903
2962	GO:0043903
2963	GO:0043903
29883	GO:0043903
29969	GO:0043903
3065	GO:0043903
3123	GO:0043903
3249	GO:0043903
325	GO:0043903
3428	GO:0043903
3429	GO:0043903
3434	GO:0043903
3440	GO:0043903
3456	GO:0043903
348	GO:0043903
3482	GO:0043903
3576	GO:0043903
3669	GO:0043903
3685	GO:0043903
3725	GO:0043903
383	GO:0043903
3838	GO:0043903
3853	GO:0043903
3956	GO:0043903
3965	GO:0043903
4057	GO:0043903
406919	GO:0043903
407031	GO:0043903
4153	GO:0043903
4599	GO:0043903
4938	GO:0043903
4940	GO:0043903
5034	GO:0043903
5071	GO:0043903
5091	GO:0043903
51176	GO:0043903
51193	GO:0043903
51297	GO:0043903
51495	GO:0043903
51497	GO:0043903
51652	GO:0043903
51763	GO:0043903
51773	GO:0043903
5359	GO:0043903
5371	GO:0043903
5430	GO:0043903
5431	GO:0043903
5432	GO:0043903
5433	GO:0043903
5434	GO:0043903
5435	GO:0043903
5436	GO:0043903
5437	GO:0043903
5438	GO:0043903
5439	GO:0043903
5440	GO:0043903
5441	GO:0043903
54737	GO:0043903
5478	GO:0043903
5479	GO:0043903
5481	GO:0043903
55223	GO:0043903
55254	GO:0043903
55337	GO:0043903
55770	GO:0043903
5586	GO:0043903
5610	GO:0043903
5629	GO:0043903
56829	GO:0043903
5702	GO:0043903
57506	GO:0043903
5806	GO:0043903
5819	GO:0043903
5886	GO:0043903
5978	GO:0043903
5987	GO:0043903
6041	GO:0043903
60489	GO:0043903
6348	GO:0043903
6351	GO:0043903
6352	GO:0043903
6355	GO:0043903
63901	GO:0043903
6441	GO:0043903
64710	GO:0043903
64848	GO:0043903
6590	GO:0043903
6597	GO:0043903
6598	GO:0043903
6667	GO:0043903
6732	GO:0043903
6733	GO:0043903
6737	GO:0043903
6772	GO:0043903
6780	GO:0043903
6827	GO:0043903
6829	GO:0043903
684	GO:0043903
6882	GO:0043903
6895	GO:0043903
6993	GO:0043903
7023	GO:0043903
7113	GO:0043903
7124	GO:0043903
7153	GO:0043903
7155	GO:0043903
7251	GO:0043903
7342	GO:0043903
7469	GO:0043903
7538	GO:0043903
7706	GO:0043903
7726	GO:0043903
7879	GO:0043903
7936	GO:0043903
79720	GO:0043903
80149	GO:0043903
8091	GO:0043903
81559	GO:0043903
81603	GO:0043903
8468	GO:0043903
84875	GO:0043903
8519	GO:0043903
85363	GO:0043903
8547	GO:0043903
857	GO:0043903
858	GO:0043903
8638	GO:0043903
8724	GO:0043903
8812	GO:0043903
8815	GO:0043903
89870	GO:0043903
90120	GO:0043903
904	GO:0043903
91392	GO:0043903
9150	GO:0043903
91543	GO:0043903
920	GO:0043903
9217	GO:0043903
9218	GO:0043903
92421	GO:0043903
9525	GO:0043903
9636	GO:0043903
972	GO:0043903
9830	GO:0043903
10265	GO:0009887
102724770	GO:0009887
1041	GO:0009887
113246	GO:0009887
115701	GO:0009887
123872	GO:0009887
1277	GO:0009887
1278	GO:0009887
1280	GO:0009887
1289	GO:0009887
1290	GO:0009887
1297	GO:0009887
1311	GO:0009887
1363	GO:0009887
1406	GO:0009887
140947	GO:0009887
1436	GO:0009887
1482	GO:0009887
158326	GO:0009887
1634	GO:0009887
166	GO:0009887
1896	GO:0009887
1954	GO:0009887
2006	GO:0009887
2054	GO:0009887
2069	GO:0009887
2245	GO:0009887
2246	GO:0009887
2247	GO:0009887
2255	GO:0009887
2260	GO:0009887
2261	GO:0009887
2263	GO:0009887
2267	GO:0009887
2294	GO:0009887
2296	GO:0009887
23414	GO:0009887
23424	GO:0009887
23493	GO:0009887
25836	GO:0009887
26249	GO:0009887
2626	GO:0009887
2627	GO:0009887
265	GO:0009887
26508	GO:0009887
2702	GO:0009887
27031	GO:0009887
27063	GO:0009887
27152	GO:0009887
2737	GO:0009887
284086	GO:0009887
28959	GO:0009887
29123	GO:0009887
3052	GO:0009887
3084	GO:0009887
3198	GO:0009887
3265	GO:0009887
333	GO:0009887
339829	GO:0009887
3574	GO:0009887
3624	GO:0009887
3636	GO:0009887
3643	GO:0009887
3651	GO:0009887
3655	GO:0009887
3670	GO:0009887
3673	GO:0009887
3687	GO:0009887
3691	GO:0009887
387733	GO:0009887
388389	GO:0009887
3912	GO:0009887
3975	GO:0009887
3983	GO:0009887
4041	GO:0009887
4057	GO:0009887
4062	GO:0009887
406991	GO:0009887
4256	GO:0009887
4322	GO:0009887
4478	GO:0009887
4487	GO:0009887
4488	GO:0009887
4607	GO:0009887
4624	GO:0009887
4625	GO:0009887
4633	GO:0009887
4634	GO:0009887
4638	GO:0009887
4647	GO:0009887
4762	GO:0009887
4825	GO:0009887
4851	GO:0009887
4853	GO:0009887
4886	GO:0009887
4887	GO:0009887
4889	GO:0009887
497189	GO:0009887
4990	GO:0009887
5048	GO:0009887
5054	GO:0009887
5076	GO:0009887
5077	GO:0009887
5078	GO:0009887
5079	GO:0009887
5080	GO:0009887
51057	GO:0009887
51066	GO:0009887
51513	GO:0009887
51715	GO:0009887
525	GO:0009887
5308	GO:0009887
5309	GO:0009887
5311	GO:0009887
5318	GO:0009887
54084	GO:0009887
54757	GO:0009887
54880	GO:0009887
55036	GO:0009887
55112	GO:0009887
55636	GO:0009887
55714	GO:0009887
55897	GO:0009887
5613	GO:0009887
56603	GO:0009887
57057	GO:0009887
57453	GO:0009887
5747	GO:0009887
5797	GO:0009887
59341	GO:0009887
6299	GO:0009887
6347	GO:0009887
64220	GO:0009887
6423	GO:0009887
6424	GO:0009887
64321	GO:0009887
6439	GO:0009887
649	GO:0009887
650	GO:0009887
652	GO:0009887
65266	GO:0009887
6591	GO:0009887
6615	GO:0009887
6662	GO:0009887
673	GO:0009887
6781	GO:0009887
6786	GO:0009887
6850	GO:0009887
6862	GO:0009887
6899	GO:0009887
6926	GO:0009887
6927	GO:0009887
6928	GO:0009887
7020	GO:0009887
7042	GO:0009887
7049	GO:0009887
7088	GO:0009887
7089	GO:0009887
7090	GO:0009887
7122	GO:0009887
7134	GO:0009887
7137	GO:0009887
7139	GO:0009887
7168	GO:0009887
7273	GO:0009887
7291	GO:0009887
7430	GO:0009887
7475	GO:0009887
7476	GO:0009887
7490	GO:0009887
752014	GO:0009887
7547	GO:0009887
79641	GO:0009887
7976	GO:0009887
8022	GO:0009887
80326	GO:0009887
80781	GO:0009887
8214	GO:0009887
8313	GO:0009887
8323	GO:0009887
83452	GO:0009887
8456	GO:0009887
84957	GO:0009887
85366	GO:0009887
8557	GO:0009887
8642	GO:0009887
8823	GO:0009887
8829	GO:0009887
8842	GO:0009887
90	GO:0009887
9241	GO:0009887
93650	GO:0009887
9368	GO:0009887
9421	GO:0009887
9480	GO:0009887
9496	GO:0009887
9622	GO:0009887
9775	GO:0009887
9993	GO:0009887
100134934	GO:0033044
10111	GO:0033044
10155	GO:0033044
1025	GO:0033044
10270	GO:0033044
10403	GO:0033044
10459	GO:0033044
10460	GO:0033044
10574	GO:0033044
10575	GO:0033044
10576	GO:0033044
1062	GO:0033044
10694	GO:0033044
10783	GO:0033044
10856	GO:0033044
10891	GO:0033044
11091	GO:0033044
11143	GO:0033044
11284	GO:0033044
113130	GO:0033044
116028	GO:0033044
140609	GO:0033044
1487	GO:0033044
1499	GO:0033044
1663	GO:0033044
167227	GO:0033044
170506	GO:0033044
1786	GO:0033044
1789	GO:0033044
195814	GO:0033044
201161	GO:0033044
2067	GO:0033044
2072	GO:0033044
221477	GO:0033044
2237	GO:0033044
225689	GO:0033044
22880	GO:0033044
22938	GO:0033044
22948	GO:0033044
23028	GO:0033044
23049	GO:0033044
23063	GO:0033044
23133	GO:0033044
23137	GO:0033044
23272	GO:0033044
23293	GO:0033044
2332	GO:0033044
23381	GO:0033044
23411	GO:0033044
23476	GO:0033044
23558	GO:0033044
25836	GO:0033044
25865	GO:0033044
25906	GO:0033044
25913	GO:0033044
25942	GO:0033044
26053	GO:0033044
26054	GO:0033044
26097	GO:0033044
26147	GO:0033044
26271	GO:0033044
26272	GO:0033044
26277	GO:0033044
26354	GO:0033044
26993	GO:0033044
286053	GO:0033044
29117	GO:0033044
2966	GO:0033044
3009	GO:0033044
3178	GO:0033044
3183	GO:0033044
3192	GO:0033044
324	GO:0033044
348654	GO:0033044
3550	GO:0033044
3976	GO:0033044
3981	GO:0033044
408	GO:0033044
4085	GO:0033044
4137	GO:0033044
4216	GO:0033044
4331	GO:0033044
4361	GO:0033044
4582	GO:0033044
4602	GO:0033044
4609	GO:0033044
4683	GO:0033044
472	GO:0033044
4751	GO:0033044
4926	GO:0033044
5073	GO:0033044
50943	GO:0033044
51112	GO:0033044
51143	GO:0033044
51451	GO:0033044
51535	GO:0033044
51548	GO:0033044
51750	GO:0033044
5252	GO:0033044
5253	GO:0033044
5347	GO:0033044
5371	GO:0033044
5394	GO:0033044
54386	GO:0033044
54464	GO:0033044
54552	GO:0033044
546	GO:0033044
54623	GO:0033044
54737	GO:0033044
548593	GO:0033044
54904	GO:0033044
54984	GO:0033044
55011	GO:0033044
5514	GO:0033044
55226	GO:0033044
5570	GO:0033044
55719	GO:0033044
55729	GO:0033044
55755	GO:0033044
55781	GO:0033044
55795	GO:0033044
55869	GO:0033044
5587	GO:0033044
5588	GO:0033044
55904	GO:0033044
5594	GO:0033044
5595	GO:0033044
5609	GO:0033044
56254	GO:0033044
56848	GO:0033044
56979	GO:0033044
57343	GO:0033044
57379	GO:0033044
57520	GO:0033044
57708	GO:0033044
5885	GO:0033044
5925	GO:0033044
59335	GO:0033044
5976	GO:0033044
6047	GO:0033044
6419	GO:0033044
64282	GO:0033044
65057	GO:0033044
6598	GO:0033044
6714	GO:0033044
672	GO:0033044
6742	GO:0033044
6886	GO:0033044
6950	GO:0033044
699	GO:0033044
7013	GO:0033044
7014	GO:0033044
7153	GO:0033044
7175	GO:0033044
7203	GO:0033044
7334	GO:0033044
7422	GO:0033044
7517	GO:0033044
7520	GO:0033044
7756	GO:0033044
7874	GO:0033044
79008	GO:0033044
79035	GO:0033044
79618	GO:0033044
79991	GO:0033044
80119	GO:0033044
80169	GO:0033044
80312	GO:0033044
80349	GO:0033044
80351	GO:0033044
81620	GO:0033044
8260	GO:0033044
8313	GO:0033044
8379	GO:0033044
84250	GO:0033044
84464	GO:0033044
8452	GO:0033044
84656	GO:0033044
8473	GO:0033044
84861	GO:0033044
8550	GO:0033044
8658	GO:0033044
8678	GO:0033044
8697	GO:0033044
891	GO:0033044
8986	GO:0033044
908	GO:0033044
9212	GO:0033044
92345	GO:0033044
9252	GO:0033044
9319	GO:0033044
9555	GO:0033044
9646	GO:0033044
9733	GO:0033044
9810	GO:0033044
9869	GO:0033044
990	GO:0033044
991	GO:0033044
996	GO:0033044
1001	GO:0060828
100113407	GO:0060828
100126315	GO:0060828
10023	GO:0060828
10076	GO:0060828
10197	GO:0060828
10213	GO:0060828
10297	GO:0060828
10459	GO:0060828
10856	GO:0060828
120892	GO:0060828
122706	GO:0060828
1277	GO:0060828
130612	GO:0060828
139285	GO:0060828
143471	GO:0060828
144165	GO:0060828
1452	GO:0060828
1453	GO:0060828
147906	GO:0060828
1499	GO:0060828
1500	GO:0060828
1501	GO:0060828
153090	GO:0060828
1540	GO:0060828
1601	GO:0060828
1613	GO:0060828
1654	GO:0060828
166	GO:0060828
1855	GO:0060828
1856	GO:0060828
1857	GO:0060828
1950	GO:0060828
1956	GO:0060828
2010	GO:0060828
219287	GO:0060828
219771	GO:0060828
22943	GO:0060828
23072	GO:0060828
23189	GO:0060828
23198	GO:0060828
23240	GO:0060828
2487	GO:0060828
25805	GO:0060828
25937	GO:0060828
25960	GO:0060828
261734	GO:0060828
26524	GO:0060828
26585	GO:0060828
267	GO:0060828
27031	GO:0060828
27122	GO:0060828
27123	GO:0060828
27130	GO:0060828
2719	GO:0060828
27303	GO:0060828
2735	GO:0060828
2737	GO:0060828
2776	GO:0060828
284654	GO:0060828
2931	GO:0060828
2932	GO:0060828
3065	GO:0060828
324	GO:0060828
331	GO:0060828
337867	GO:0060828
348	GO:0060828
3484	GO:0060828
3485	GO:0060828
3487	GO:0060828
3489	GO:0060828
3611	GO:0060828
3728	GO:0060828
4038	GO:0060828
4040	GO:0060828
406904	GO:0060828
407007	GO:0060828
407024	GO:0060828
4163	GO:0060828
4300	GO:0060828
440193	GO:0060828
441478	GO:0060828
4790	GO:0060828
5071	GO:0060828
50964	GO:0060828
51339	GO:0060828
51366	GO:0060828
51527	GO:0060828
5204	GO:0060828
5218	GO:0060828
5300	GO:0060828
54795	GO:0060828
5494	GO:0060828
54949	GO:0060828
5499	GO:0060828
54994	GO:0060828
55031	GO:0060828
55182	GO:0060828
55366	GO:0060828
55681	GO:0060828
5682	GO:0060828
5683	GO:0060828
5684	GO:0060828
5685	GO:0060828
5686	GO:0060828
5687	GO:0060828
5688	GO:0060828
5689	GO:0060828
5690	GO:0060828
5691	GO:0060828
5692	GO:0060828
5693	GO:0060828
5694	GO:0060828
5695	GO:0060828
5696	GO:0060828
5698	GO:0060828
5699	GO:0060828
5700	GO:0060828
5701	GO:0060828
5702	GO:0060828
5704	GO:0060828
5705	GO:0060828
5706	GO:0060828
5707	GO:0060828
5708	GO:0060828
5709	GO:0060828
5710	GO:0060828
5711	GO:0060828
5713	GO:0060828
5714	GO:0060828
5715	GO:0060828
5716	GO:0060828
5717	GO:0060828
5718	GO:0060828
5719	GO:0060828
5720	GO:0060828
5721	GO:0060828
5754	GO:0060828
57664	GO:0060828
57680	GO:0060828
57805	GO:0060828
59349	GO:0060828
6422	GO:0060828
6423	GO:0060828
6424	GO:0060828
6425	GO:0060828
64321	GO:0060828
64750	GO:0060828
6478	GO:0060828
65125	GO:0060828
65268	GO:0060828
6591	GO:0060828
65981	GO:0060828
6657	GO:0060828
6788	GO:0060828
6789	GO:0060828
6794	GO:0060828
6907	GO:0060828
6934	GO:0060828
7040	GO:0060828
7089	GO:0060828
7415	GO:0060828
7474	GO:0060828
7481	GO:0060828
79412	GO:0060828
79705	GO:0060828
79718	GO:0060828
79960	GO:0060828
79971	GO:0060828
80114	GO:0060828
80351	GO:0060828
81847	GO:0060828
8312	GO:0060828
8313	GO:0060828
8323	GO:0060828
8324	GO:0060828
83595	GO:0060828
84133	GO:0060828
8452	GO:0060828
85407	GO:0060828
85409	GO:0060828
8549	GO:0060828
857	GO:0060828
8607	GO:0060828
8629	GO:0060828
8658	GO:0060828
8796	GO:0060828
8945	GO:0060828
89780	GO:0060828
9101	GO:0060828
9113	GO:0060828
92162	GO:0060828
9241	GO:0060828
9368	GO:0060828
9491	GO:0060828
9679	GO:0060828
9736	GO:0060828
9861	GO:0060828
9978	GO:0060828
100287171	GO:1902903
1003	GO:1902903
10092	GO:1902903
10093	GO:1902903
10094	GO:1902903
10095	GO:1902903
10096	GO:1902903
10097	GO:1902903
10109	GO:1902903
10142	GO:1902903
10152	GO:1902903
10163	GO:1902903
10174	GO:1902903
10300	GO:1902903
10344	GO:1902903
10382	GO:1902903
10395	GO:1902903
10411	GO:1902903
10435	GO:1902903
10456	GO:1902903
10519	GO:1902903
10565	GO:1902903
1073	GO:1902903
10787	GO:1902903
10788	GO:1902903
11075	GO:1902903
11151	GO:1902903
11315	GO:1902903
116985	GO:1902903
118	GO:1902903
119	GO:1902903
1191	GO:1902903
1236	GO:1902903
123720	GO:1902903
136319	GO:1902903
1410	GO:1902903
1440	GO:1902903
146057	GO:1902903
146206	GO:1902903
148170	GO:1902903
1490	GO:1902903
1496	GO:1902903
150356	GO:1902903
157922	GO:1902903
1639	GO:1902903
165	GO:1902903
1906	GO:1902903
2017	GO:1902903
203228	GO:1902903
2150	GO:1902903
2185	GO:1902903
2241	GO:1902903
2242	GO:1902903
22843	GO:1902903
22919	GO:1902903
22924	GO:1902903
22974	GO:1902903
22998	GO:1902903
23122	GO:1902903
23189	GO:1902903
23191	GO:1902903
23271	GO:1902903
23332	GO:1902903
23370	GO:1902903
23616	GO:1902903
23671	GO:1902903
24139	GO:1902903
24142	GO:1902903
25	GO:1902903
253725	GO:1902903
25802	GO:1902903
25999	GO:1902903
27302	GO:1902903
28984	GO:1902903
29098	GO:1902903
29109	GO:1902903
2934	GO:1902903
3055	GO:1902903
3059	GO:1902903
3071	GO:1902903
324	GO:1902903
3303	GO:1902903
3304	GO:1902903
3312	GO:1902903
335	GO:1902903
3375	GO:1902903
348	GO:1902903
348110	GO:1902903
351	GO:1902903
374666	GO:1902903
382	GO:1902903
387	GO:1902903
389	GO:1902903
3925	GO:1902903
395	GO:1902903
3984	GO:1902903
402	GO:1902903
406929	GO:1902903
406941	GO:1902903
406982	GO:1902903
406991	GO:1902903
4133	GO:1902903
4137	GO:1902903
4204	GO:1902903
4233	GO:1902903
442721	GO:1902903
4653	GO:1902903
4690	GO:1902903
4733	GO:1902903
4771	GO:1902903
4926	GO:1902903
5058	GO:1902903
5062	GO:1902903
5063	GO:1902903
5071	GO:1902903
50848	GO:1902903
51466	GO:1902903
51474	GO:1902903
51571	GO:1902903
51763	GO:1902903
5216	GO:1902903
5217	GO:1902903
5341	GO:1902903
5345	GO:1902903
54551	GO:1902903
55160	GO:1902903
55604	GO:1902903
55616	GO:1902903
55704	GO:1902903
