entrez	group
3099	skeletal-muscle_adult_female
9086	skeletal-muscle_adult_male
8653	skeletal-muscle_adult_male
8284	skeletal-muscle_adult_male
253017	skeletal-muscle_adult_female
6192	skeletal-muscle_adult_male
8287	skeletal-muscle_adult_male
246126	skeletal-muscle_adult_male
2487	skeletal-muscle_adult_female
7404	skeletal-muscle_adult_male
387882	skeletal-muscle_adult_female
7544	skeletal-muscle_adult_male
83869	skeletal-muscle_adult_male
4985	skeletal-muscle_adult_male
5816	skeletal-muscle_adult_male
374897	skeletal-muscle_adult_female
9194	skeletal-muscle_adult_female
51806	skeletal-muscle_adult_female
1828	skeletal-muscle_adult_female
4014	skeletal-muscle_adult_female
388533	skeletal-muscle_adult_female
3280	skeletal-muscle_adult_female
5616	skeletal-muscle_adult_male
126068	skeletal-muscle_adult_female
83643	skeletal-muscle_adult_male
6280	skeletal-muscle_adult_male
101927922	skeletal-muscle_adult_female
7552	skeletal-muscle_adult_female
112609	skeletal-muscle_adult_male
1780	skeletal-muscle_adult_male
4069	skeletal-muscle_adult_male
101928882	skeletal-muscle_adult_female
116135	skeletal-muscle_adult_male
2888	skeletal-muscle_adult_female
285386	skeletal-muscle_adult_female
10098	skeletal-muscle_adult_male
3363	skeletal-muscle_adult_male
10382	skeletal-muscle_adult_male
10984	skeletal-muscle_adult_female
27338	skeletal-muscle_adult_male
60529	skeletal-muscle_adult_male
6192	skin_adult_male
8653	skin_adult_male
7404	skin_adult_male
8287	skin_adult_male
8284	skin_adult_male
9086	skin_adult_male
22829	skin_adult_male
246126	skin_adult_male
90665	skin_adult_male
7503	skin_adult_female
83869	skin_adult_male
54055	skin_adult_female
9087	skin_adult_male
7544	skin_adult_male
100506084	skin_adult_female
101929052	skin_adult_female
126410	skin_adult_female
10686	skin_adult_female
8287	adrenal-gland_fetus_male
8284	adrenal-gland_fetus_male
246126	adrenal-gland_fetus_male
8653	adrenal-gland_fetus_male
7404	adrenal-gland_fetus_male
7503	adrenal-gland_fetus_female
9086	adrenal-gland_fetus_male
6192	adrenal-gland_fetus_male
7544	adrenal-gland_fetus_male
5616	adrenal-gland_fetus_male
64167	adrenal-gland_fetus_female
9087	adrenal-gland_fetus_male
22829	adrenal-gland_fetus_male
83869	adrenal-gland_fetus_male
4283	adrenal-gland_fetus_male
5979	adrenal-gland_fetus_female
90665	adrenal-gland_fetus_male
6736	adrenal-gland_fetus_male
563	adrenal-gland_fetus_female
13	adrenal-gland_fetus_female
3726	adrenal-gland_fetus_male
387763	adrenal-gland_fetus_male
359	adrenal-gland_fetus_female
5473	adrenal-gland_fetus_male
2634	adrenal-gland_fetus_male
5999	adrenal-gland_fetus_female
90665	large-intestine_fetus_male
5616	large-intestine_fetus_male
9087	large-intestine_fetus_male
7404	large-intestine_fetus_male
22829	large-intestine_fetus_male
100873962	large-intestine_fetus_male
5408	large-intestine_fetus_male
92211	large-intestine_fetus_female
9480	large-intestine_fetus_male
9383	large-intestine_fetus_female
83259	large-intestine_fetus_male
23314	large-intestine_fetus_female
1280	large-intestine_fetus_female
229	large-intestine_fetus_male
89872	large-intestine_fetus_male
9284	large-intestine_fetus_male
387695	large-intestine_fetus_female
100874323	large-intestine_fetus_female
2638	large-intestine_fetus_male
5320	large-intestine_fetus_female
107985433	large-intestine_fetus_male
55503	large-intestine_fetus_male
6736	large-intestine_fetus_male
54959	large-intestine_fetus_male
127731	large-intestine_fetus_female
56891	large-intestine_fetus_female
3651	large-intestine_fetus_male
8287	small-intestine_fetus_male
8653	small-intestine_fetus_male
7404	small-intestine_fetus_male
246126	small-intestine_fetus_male
7503	small-intestine_fetus_female
8284	small-intestine_fetus_male
9086	small-intestine_fetus_male
6192	small-intestine_fetus_male
22829	small-intestine_fetus_male
5616	small-intestine_fetus_male
7544	small-intestine_fetus_male
83869	small-intestine_fetus_male
9383	small-intestine_fetus_female
9087	small-intestine_fetus_male
90665	small-intestine_fetus_male
100873962	small-intestine_fetus_male
83259	small-intestine_fetus_male
6736	small-intestine_fetus_male
72	liver_adult_female
6279	liver_adult_female
360200	liver_adult_male
57016	liver_adult_male
337	liver_adult_female
8516	liver_adult_female
84171	liver_adult_male
54210	liver_adult_female
2847	liver_adult_female
79007	liver_adult_male
6286	liver_adult_female
374955	liver_adult_male
8074	liver_adult_female
284260	liver_adult_female
8287	liver_adult_male
8839	liver_adult_female
8740	liver_adult_male
246126	liver_adult_male
212	liver_adult_female
4057	liver_adult_female
5616	liver_adult_male
10578	liver_adult_female
