Entrez	tissue
100101938	adipose
100127967	adipose
100128385	adipose
100128505	adipose
100129520	adipose
100129940	adipose
100130827	adipose
100131390	adipose
100131496	adipose
100131604	adipose
100132979	adipose
100144595	adipose
100287592	adipose
100288797	adipose
100289650	adipose
10050	adipose
100505474	adipose
100505718	adipose
100505797	adipose
100505841	adipose
100505877	adipose
100505967	adipose
100505996	adipose
100506113	adipose
100506115	adipose
100506229	adipose
100506376	adipose
100506385	adipose
100506421	adipose
100506530	adipose
100506542	adipose
100506827	adipose
100507064	adipose
100507341	adipose
100507389	adipose
100507632	adipose
100507657	adipose
100507661	adipose
100509620	adipose
100873939	adipose
100874012	adipose
100874095	adipose
100874185	adipose
100874264	adipose
100874282	adipose
100874364	adipose
100874365	adipose
100874366	adipose
100885782	adipose
100996286	adipose
100996635	adipose
100996645	adipose
101101772	adipose
101234261	adipose
101926956	adipose
101927015	adipose
101927023	adipose
101927034	adipose
101927096	adipose
101927131	adipose
101927189	adipose
101927244	adipose
101927324	adipose
101927412	adipose
101927528	adipose
101927650	adipose
101927653	adipose
101927698	adipose
101927727	adipose
101927762	adipose
101927795	adipose
101927808	adipose
101927832	adipose
101927934	adipose
101927964	adipose
101928141	adipose
101928223	adipose
101928416	adipose
101928557	adipose
101928603	adipose
101928752	adipose
101928941	adipose
101929127	adipose
101929176	adipose
101929384	adipose
101929415	adipose
101929422	adipose
101929427	adipose
101929664	adipose
101929726	adipose
101929743	adipose
102060414	adipose
10232	adipose
10249	adipose
102682016	adipose
102723165	adipose
102723487	adipose
102723562	adipose
102723661	adipose
102724201	adipose
102724434	adipose
102724698	adipose
102724699	adipose
102725045	adipose
10326	adipose
10345	adipose
103695431	adipose
104266956	adipose
104326189	adipose
10481	adipose
1053	adipose
105369413	adipose
105369519	adipose
105369739	adipose
105369807	adipose
105369848	adipose
105372556	adipose
105372978	adipose
105373100	adipose
105373537	adipose
105373757	adipose
105374177	adipose
105374438	adipose
105374484	adipose
105375166	adipose
105375706	adipose
105377736	adipose
105378933	adipose
106456574	adipose
106480738	adipose
10655	adipose
10660	adipose
107984640	adipose
107986453	adipose
107987337	adipose
1088	adipose
10887	adipose
10917	adipose
109729169	adipose
11027	adipose
110806303	adipose
11131	adipose
1118	adipose
11202	adipose
112268408	adipose
11249	adipose
11280	adipose
114036	adipose
1149	adipose
115701	adipose
115827	adipose
115861	adipose
116085	adipose
116211	adipose
116255	adipose
117159	adipose
117532	adipose
117579	adipose
118425	adipose
118611	adipose
119548	adipose
121340	adipose
122046	adipose
124	adipose
124599	adipose
124773	adipose
124912	adipose
125336	adipose
127255	adipose
128653	adipose
13	adipose
130399	adipose
130951	adipose
131873	adipose
132625	adipose
135250	adipose
135892	adipose
136259	adipose
136263	adipose
1370	adipose
1378	adipose
139105	adipose
139189	adipose
140679	adipose
140870	adipose
142683	adipose
1446	adipose
144809	adipose
145258	adipose
146183	adipose
1470	adipose
147183	adipose
147381	adipose
147920	adipose
148	adipose
148145	adipose
1482	adipose
149647	adipose
149954	adipose
150280	adipose
150921	adipose
151112	adipose
152831	adipose
153201	adipose
157855	adipose
1579	adipose
1581	adipose
1588	adipose
158835	adipose
159296	adipose
163720	adipose
164312	adipose
164781	adipose
165721	adipose
1668	adipose
1669	adipose
168448	adipose
170370	adipose
170626	adipose
170690	adipose
170692	adipose
171484	adipose
1758	adipose
1807	adipose
1825	adipose
189	adipose
199675	adipose
200315	adipose
2019	adipose
203100	adipose
2038	adipose
204010	adipose
205860	adipose
206338	adipose
207107	adipose
212	adipose
2128	adipose
219525	adipose
219793	adipose
220082	adipose
220296	adipose
2204	adipose
2208	adipose
2215	adipose
2219	adipose
2253	adipose
22917	adipose
22943	adipose
2352	adipose
23569	adipose
2358	adipose
23591	adipose
23620	adipose
245802	adipose
245806	adipose
245972	adipose
246	adipose
2492	adipose
253935	adipose
254173	adipose
254240	adipose
254439	adipose
255480	adipose
2557	adipose
2561	adipose
256472	adipose
2565	adipose
25818	adipose
25975	adipose
26045	adipose
26103	adipose
26239	adipose
26291	adipose
2636	adipose
26585	adipose
26762	adipose
26832	adipose
27159	adipose
27178	adipose
27302	adipose
2747	adipose
28316	adipose
283461	adipose
283547	adipose
283796	adipose
283867	adipose
284110	adipose
284541	adipose
284688	adipose
284825	adipose
284998	adipose
285311	adipose
285577	adipose
285641	adipose
285780	adipose
285834	adipose
285852	adipose
286204	adipose
2865	adipose
2867	adipose
286753	adipose
287015	adipose
