gene_id	ont_name
105259599	Silver-Russell syndrome 1
105259599	Beckwith-Wiedemann syndrome
105259599	Wilms tumor 2
111365204	progressive bifocal chorioretinal atrophy
111365204	North Carolina macular dystrophy
109580095	beta-thalassemia HBB/LCRB
9841	immunodeficiency-centromeric instability-facial anomalies syndrome
9841	immunodeficiency-centromeric instability-facial anomalies syndrome 2
29940	Ehlers-Danlos syndrome, musculocontractural type
29940	Ehlers-Danlos syndrome, musculocontractural type 2
79152	hereditary spastic paraplegia 35
79152	fatty acid hydroxylase-associated neurodegeneration
55005	combined oxidative phosphorylation defect type 11
84282	overgrowth-macrocephaly-facial dysmorphism syndrome
54941	Tenorio syndrome
22858	juvenile myoclonic epilepsy
22858	endocrine-cerebro-osteodysplasia syndrome
84894	intellectual disability, autosomal recessive 64
80232	Skraban-Deardorff syndrome
404672	trichothiodystrophy
404672	trichothiodystrophy 3, photosensitive
222662	hearing loss, autosomal recessive
222662	autosomal recessive nonsyndromic hearing loss 67
84300	mitochondrial complex III deficiency
84300	mitochondrial complex III deficiency nuclear type 7
221496	total early-onset cataract
221496	early-onset posterior subcapsular cataract
221496	cataract 46 juvenile-onset
285848	autosomal recessive congenital ichthyosis 10
285848	congenital non-bullous ichthyosiform erythroderma
79574	Marie Unna hereditary hypotrichosis
55811	idiopathic inherited hypercalciuria
54936	neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures
147409	hypotrichosis 6
147409	hypotrichosis simplex
147409	monilethrix
60481	spinocerebellar ataxia type 38
54808	Smith-McCort dysplasia
54808	Smith-McCort dysplasia 1
54808	Dyggve-Melchior-Clausen disease
64787	hearing loss, autosomal recessive
64787	hearing loss, autosomal recessive 106
29123	KBG syndrome
8050	pyruvate dehydrogenase E3-binding protein deficiency
57128	severe neonatal lactic acidosis due to NFS1-ISD11 complex deficiency
51099	Dorfman-Chanarin disease
134701	autosomal recessive spondylocostal dysostosis
57038	pontocerebellar hypoplasia type 1
57038	pontocerebellar hypoplasia type 6
28976	acyl-CoA dehydrogenase 9 deficiency
56623	Joubert syndrome
56623	MORM syndrome
56623	Joubert syndrome with ocular defect
56623	Joubert syndrome 1
56623	COACH syndrome 1
222546	Mitchell-Riley syndrome
222546	hypoplastic pancreas-intestinal atresia-hypoplastic gallbalder syndrome
254394	46,XX ovarian dysgenesis-short stature syndrome
56616	autosomal dominant nonsyndromic hearing loss
56616	autosomal dominant nonsyndromic hearing loss 64
54806	retinitis pigmentosa
54806	Joubert syndrome
54806	Joubert syndrome 3
54806	Joubert syndrome with ocular defect
378884	Lafora disease
161582	primary ciliary dyskinesia
161582	primary ciliary dyskinesia 25
345895	primary ciliary dyskinesia
345895	primary ciliary dyskinesia 11
346007	retinitis pigmentosa
346007	retinitis pigmentosa 25
5479	osteogenesis imperfecta type 4
5479	osteogenesis imperfecta type 2
5479	osteogenesis imperfecta type 9
5479	osteogenesis imperfecta type 3
5476	galactosialidosis
5468	inherited obesity
5468	PPARG-related familial partial lipodystrophy
5468	Berardinelli-Seip congenital lipodystrophy
5506	type 2 diabetes mellitus
8493	intellectual developmental disorder with gastrointestinal difficulties and high pain threshold
8493	hereditary breast carcinoma
54704	pyruvate dehydrogenase phosphatase deficiency
5498	variegate porphyria
5500	Noonan syndrome-like disorder with loose anagen hair 2
5500	Noonan syndrome-like disorder with loose anagen hair
5519	lung cancer
10084	Renpenning syndrome
10084	X-linked intellectual disability, Porteous type
10084	X-linked intellectual disability, Sutherland-Haan type
10084	X-linked intellectual disability, Golabi-Ito-hall type
10084	hamel cerebro-palato-cardiac syndrome
5515	neurodevelopmental disorder and language delay with or without structural brain abnormalities
5546	papillary renal cell carcinoma
5528	intellectual disability-macrocephaly-hypotonia-behavioral abnormalities syndrome
5530	autosomal dominant non-syndromic intellectual disability
5530	arthrogryposis, cleft palate, craniosynostosis, and impaired intellectual development
5530	epileptic encephalopathy, infantile or early childhood, 1
5530	undetermined early-onset epileptic encephalopathy
5521	spinocerebellar ataxia type 12
5538	neuronal ceroid lipofuscinosis 1
5518	microcephaly-corpus callosum hypoplasia-intellectual disability-facial dysmorphism syndrome
28962	infantile osteopetrosis with neuroaxonal dysplasia
28962	autosomal recessive osteopetrosis 5
23314	chromosome 2q32-q33 deletion syndrome
387119	lissencephaly 10
51142	Parkinson disease 22, autosomal dominant
23554	exudative vitreoretinopathy
23554	exudative vitreoretinopathy 5
57176	combined oxidative phosphorylation defect type 20
10210	retinitis pigmentosa
10210	retinitis pigmentosa 31
54476	cerebellar ataxia-hypogonadism syndrome
375298	retinitis pigmentosa
375298	retinitis pigmentosa 26
284654	palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome
401024	spermatogenic failure 34
401024	non-syndromic male infertility due to sperm motility disorder
58499	metopic ridging-ptosis-facial dysmorphism syndrome
58499	weiss-kruszka syndrome
8635	cystic leukoencephalopathy without megalencephaly
51422	hypertrophic cardiomyopathy 6
51422	Wolff-Parkinson-white syndrome
51422	lethal congenital glycogen storage disease of heart
5566	cardioacrofacial dysplasia 1
5566	pigmented nodular adrenocortical disease, primary, 4
5567	cardioacrofacial dysplasia 2
5568	platelet-type bleeding disorder 19
5052	methylmalonic aciduria and homocystinuria type cblC
93166	patent ductus arteriosus 3
93166	familial patent arterial duct
11107	brittle cornea syndrome
11107	brittle cornea syndrome 2
10216	camptodactyly-arthropathy-coxa vara-pericarditis syndrome
5551	familial hemophagocytic lymphohistiocytosis 2
5551	lymphoma, non-Hodgkin, familial
5551	idiopathic aplastic anemia
5551	fatal post-viral neurodegenerative disorder
5551	familial hemophagocytic lymphohistiocytosis type 1
375611	hearing loss, autosomal recessive
80856	neurodevelopmental disorder with epilepsy and hypoplasia of the corpus callosum
5580	autoimmune lymphoproliferative syndrome
5580	common variable immunodeficiency
5580	autosomal systemic lupus erythematosus type 16
5580	autoimmune lymphoproliferative syndrome type 3
5575	PRKAR1B-related neurodegenerative dementia with intermediate filaments
9463	male infertility due to globozoospermia
51660	mitochondrial pyruvate carrier deficiency
5589	polycystic liver disease 1
5591	severe combined immunodeficiency due to DNA-PKcs deficiency
5587	congenital heart defects and ectodermal dysplasia
5587	malignant epithelial tumor of salivary glands
5592	familial thoracic aortic aneurysm and aortic dissection
5592	aortic aneurysm, familial thoracic 8
5582	spinocerebellar ataxia type 14
5624	thrombophilia due to protein C deficiency, autosomal recessive
5624	hereditary thrombophilia due to congenital protein C deficiency
5624	thrombophilia due to protein C deficiency, autosomal dominant
5625	hyperprolinemia type 1
5627	hereditary thrombophilia due to congenital protein S deficiency
5627	thrombophilia due to protein S deficiency, autosomal dominant
5627	thrombophilia due to protein S deficiency, autosomal recessive
11212	pyridoxine-dependent epilepsy
11212	epilepsy, early-onset, vitamin B6-dependent
5621	fatal familial insomnia
5621	Huntington disease-like 1
5621	spongiform encephalopathy with neuropsychiatric features
5621	familial Alzheimer-like prion disease
5621	PrP systemic amyloidosis
5621	Gerstmann-Straussler-Scheinker syndrome
5621	inherited Creutzfeldt-Jakob disease
5631	X-linked nonsyndromic hearing loss
5631	Arts syndrome
5631	Charcot-Marie-Tooth disease X-linked recessive 5
5631	hearing loss, X-linked 1
5631	phosphoribosylpyrophosphate synthetase superactivity
5631	severe phosphoribosylpyrophosphate synthetase superactivity
5631	X-linked intellectual disability-limb spasticity-retinal dystrophy-diabetes insipidus syndrome
5618	multiple fibroadenoma of the breast
5618	familial hyperprolactinemia
5610	leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome
8575	dystonia 16
5573	Carney complex
5573	primary pigmented nodular adrenocortical disease
5573	acrodysostosis
5573	pigmented nodular adrenocortical disease, primary, 1
5573	acrodysostosis with multiple hormone resistance
5573	acrodysostosis 1 with or without hormone resistance
5573	Carney complex, type 1
5573	familial atrial myxoma
5611	juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome
5626	combined pituitary hormone deficiencies, genetic form
5626	hypothyroidism due to deficient transcription factors involved in pituitary development or function
5626	panhypopituitarism
5626	pituitary hormone deficiency, combined, 2
5357	autosomal dominant nonsyndromic hearing loss
5357	hearing loss, autosomal dominant 76
5358	X-linked osteoporosis with fractures
5346	PLIN1-related familial partial lipodystrophy
5345	alpha-2-plasmin inhibitor deficiency
5350	familial isolated dilated cardiomyopathy
5350	dilated cardiomyopathy 1P
5350	hypertrophic cardiomyopathy 18
5351	Ehlers-Danlos syndrome, kyphoscoliotic type 1
8985	bone fragility with contractures, arterial rupture, and deafness
5354	Pelizaeus-Merzbacher disease
5354	hereditary spastic paraplegia 2
5354	null syndrome
5354	Pelizaeus-Merzbacher disease, connatal form
5354	Pelizaeus-Merzbacher disease, classic form
5354	Pelizaeus-Merzbacher disease, transitional form
5354	Pelizaeus-Merzbacher disease in female carriers
5314	polycystic kidney disease 4
5314	Caroli disease
5314	autosomal recessive polycystic kidney disease
5310	autosomal dominant polycystic kidney disease
5310	polycystic kidney disease 1
5311	autosomal dominant polycystic kidney disease
5311	polycystic kidney disease 2
221927	neurodevelopmental disorder with cerebellar atrophy and with or without seizures
221927	lethal neonatal spasticity-epileptic encephalopathy syndrome
5317	epidermolysis bullosa simplex due to plakophilin deficiency
5318	left ventricular noncompaction
5318	arrhythmogenic right ventricular dysplasia 9
5318	familial isolated arrhythmogenic ventricular dysplasia, biventricular form
5318	familial isolated arrhythmogenic ventricular dysplasia, right dominant form
5318	familial isolated arrhythmogenic ventricular dysplasia, left dominant form
5313	pyruvate kinase hyperactivity
5313	pyruvate kinase deficiency of red cells
5307	clubfoot
5307	familial clubfoot due to PITX1 point mutation
5307	brachydactyly-elbow wrist dysplasia syndrome
5308	familial atrial fibrillation
5308	Axenfeld-Rieger syndrome
5308	Axenfeld anomaly
5308	Rieger anomaly
5308	anterior segment dysgenesis 4
5308	Axenfeld-Rieger syndrome type 1
5308	ring dermoid of cornea
5309	early-onset posterior polar cataract
5309	cataract 11 multiple types
5309	cataract-glaucoma syndrome
5309	anterior segment dysgenesis 1
89884	combined pituitary hormone deficiencies, genetic form
89884	hypothyroidism due to deficient transcription factors involved in pituitary development or function
89884	pituitary stalk interruption syndrome
89884	short stature-pituitary and cerebellar defects-small sella turcica syndrome
5331	spondylometaphyseal dysplasia with corneal dystrophy
5332	auriculocondylar syndrome
5332	auriculocondylar syndrome 2
5327	thrombophilia, familial, due to decreased release of tissue plasminogen activator
5327	lethal hydranencephaly-diaphragmatic hernia syndrome
5328	Quebec platelet disorder
118429	juvenile hyaline fibromatosis
118429	infantile systemic hyalinosis
118429	hyaline fibromatosis syndrome
5336	autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation
5336	familial cold autoinflammatory syndrome 3
5337	cardiac valvular defect, developmental
5339	epidermolysis bullosa simplex 5C, with pyloric atresia
5339	autosomal recessive limb-girdle muscular dystrophy type 2Q
5339	aplasia cutis congenita
5339	pidermolysis bullosa simplex 5A, Ogna type
5339	epidermolysis bullosa simplex 5B, with muscular dystrophy
5333	leukonychia totalis
5333	nonsyndromic congenital nail disorder 3
5321	cryptogenic multifocal ulcerous stenosing enteritis
5321	cytosolic phospholipase-A2 alpha deficiency associated bleeding disorder
5322	familial benign flecked retina
8398	neurodegeneration with brain iron accumulation 2A
8398	neurodegeneration with brain iron accumulation 2B
8398	autosomal recessive Parkinson disease 14
8398	infantile neuroaxonal dystrophy
83605	familial cerebral cavernous malformation
83605	cerebral cavernous malformation 2
9373	neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies
5324	silver-russell syndrome 4
5324	pleomorphic adenoma
5325	transient neonatal diabetes mellitus
7941	platelet-activating factor acetylhydrolase deficiency
5352	Bruck syndrome
5352	Bruck syndrome 2
5340	hypoplasminogenemia
60561	infantile liver failure
60561	infantile liver failure syndrome 3
5393	pontocerebellar hypoplasia, type 1D
5393	pontocerebellar hypoplasia type 1
5396	agnathia-otocephaly complex
8929	Haddad syndrome
8929	Hirschsprung disease-ganglioneuroblastoma syndrome
8929	congenital central hypoventilation syndrome
10654	porokeratosis of Mibelli
10654	porokeratosis 1, Mibelli type
5373	PMM2-CDG
