Entrez	tissue
10	female__Cervix Uteri
10	female__Liver
10	female__Nerve
10	female__Ovary
10	female__Small Intestine
10	female__Spleen
10	female__Uterus
13	female__Adipose Tissue
13	female__Adrenal Gland
13	female__Breast
13	female__Liver
13	female__Lung
13	female__Pancreas
13	female__Skin
13	female__Small Intestine
13	female__Stomach
26	female__Colon
26	female__Kidney
26	female__Liver
26	female__Salivary Gland
26	female__Skin
26	female__Small Intestine
26	female__Stomach
26	female__Vagina
40	female__Brain
40	female__Cervix Uteri
40	female__Fallopian Tube
40	female__Kidney
40	female__Nerve
40	female__Pituitary
40	female__Uterus
56	female__Brain
56	female__Pituitary
88	female__Blood Vessel
88	female__Brain
88	female__Esophagus
88	female__Heart
88	female__Lung
88	female__Muscle
88	female__Salivary Gland
89	female__Muscle
105	female__Brain
105	female__Colon
105	female__Lung
105	female__Nerve
105	female__Salivary Gland
114	female__Brain
114	female__Breast
114	female__Cervix Uteri
114	female__Fallopian Tube
114	female__Lung
114	female__Nerve
114	female__Salivary Gland
114	female__Skin
119	female__Brain
119	female__Pituitary
124	female__Adipose Tissue
124	female__Blood Vessel
124	female__Breast
124	female__Fallopian Tube
124	female__Liver
124	female__Nerve
127	female__Adipose Tissue
127	female__Breast
127	female__Esophagus
127	female__Liver
127	female__Salivary Gland
127	female__Vagina
130	female__Kidney
130	female__Liver
130	female__Small Intestine
131	female__Esophagus
131	female__Lung
131	female__Salivary Gland
131	female__Skin
131	female__Stomach
131	female__Vagina
148	female__Liver
148	female__Lung
148	female__Spleen
155	female__Bladder
155	female__Cervix Uteri
155	female__Colon
155	female__Esophagus
155	female__Fallopian Tube
155	female__Ovary
155	female__Small Intestine
155	female__Stomach
155	female__Uterus
155	female__Vagina
167	female__Salivary Gland
167	female__Small Intestine
173	female__Fallopian Tube
173	female__Kidney
173	female__Liver
173	female__Pancreas
173	female__Stomach
174	female__Adrenal Gland
174	female__Blood Vessel
174	female__Brain
174	female__Breast
174	female__Fallopian Tube
174	female__Heart
174	female__Kidney
174	female__Liver
174	female__Ovary
174	female__Pancreas
174	female__Stomach
174	female__Uterus
176	female__Blood Vessel
176	female__Cervix Uteri
176	female__Nerve
181	female__Adrenal Gland
181	female__Brain
181	female__Kidney
181	female__Lung
181	female__Ovary
181	female__Pituitary
181	female__Spleen
186	female__Adrenal Gland
186	female__Blood Vessel
186	female__Cervix Uteri
186	female__Colon
186	female__Fallopian Tube
186	female__Heart
186	female__Lung
186	female__Pancreas
186	female__Uterus
189	female__Adipose Tissue
189	female__Breast
189	female__Kidney
189	female__Liver
189	female__Spleen
190	female__Adrenal Gland
190	female__Brain
190	female__Breast
190	female__Cervix Uteri
190	female__Nerve
190	female__Ovary
190	female__Pancreas
190	female__Pituitary
190	female__Vagina
197	female__Fallopian Tube
197	female__Liver
197	female__Pancreas
212	female__Blood
212	female__Kidney
212	female__Liver
212	female__Lung
212	female__Spleen
213	female__Kidney
213	female__Liver
213	female__Pancreas
218	female__Breast
218	female__Lung
218	female__Salivary Gland
218	female__Skin
218	female__Stomach
218	female__Vagina
222	female__Bladder
222	female__Breast
222	female__Cervix Uteri
222	female__Fallopian Tube
222	female__Kidney
222	female__Lung
222	female__Salivary Gland
222	female__Skin
222	female__Vagina
229	female__Adrenal Gland
229	female__Kidney
229	female__Liver
229	female__Pancreas
229	female__Pituitary
229	female__Small Intestine
229	female__Stomach
238	female__Brain
238	female__Colon
238	female__Esophagus
238	female__Nerve
238	female__Pituitary
242	female__Brain
242	female__Pituitary
242	female__Skin
242	female__Small Intestine
242	female__Vagina
245	female__Breast
245	female__Fallopian Tube
245	female__Kidney
245	female__Liver
245	female__Pituitary
245	female__Salivary Gland
245	female__Thyroid
245	female__Vagina
246	female__Bladder
246	female__Colon
246	female__Fallopian Tube
246	female__Lung
246	female__Pituitary
246	female__Small Intestine
248	female__Colon
248	female__Kidney
248	female__Liver
248	female__Small Intestine
250	female__Bladder
250	female__Cervix Uteri
250	female__Fallopian Tube
250	female__Lung
250	female__Ovary
250	female__Small Intestine
250	female__Vagina
251	female__Cervix Uteri
251	female__Fallopian Tube
251	female__Lung
251	female__Ovary
251	female__Small Intestine
251	female__Thyroid
257	female__Bladder
257	female__Brain
257	female__Breast
257	female__Fallopian Tube
257	female__Ovary
257	female__Pituitary
257	female__Salivary Gland
257	female__Skin
257	female__Uterus
258	female__Brain
258	female__Salivary Gland
258	female__Small Intestine
258	female__Spleen
259	female__Kidney
259	female__Liver
259	female__Pancreas
259	female__Small Intestine
259	female__Stomach
259	female__Thyroid
269	female__Adrenal Gland
269	female__Muscle
269	female__Ovary
269	female__Pancreas
269	female__Spleen
270	female__Breast
270	female__Fallopian Tube
270	female__Lung
270	female__Muscle
270	female__Salivary Gland
270	female__Small Intestine
270	female__Spleen
270	female__Stomach
276	female__Lung
276	female__Pancreas
276	female__Thyroid
277	female__Fallopian Tube
277	female__Nerve
277	female__Pancreas
277	female__Thyroid
278	female__Pancreas
279	female__Nerve
279	female__Pancreas
286	female__Blood
286	female__Blood Vessel
286	female__Brain
286	female__Heart
286	female__Muscle
286	female__Pituitary
286	female__Spleen
312	female__Breast
312	female__Colon
312	female__Esophagus
312	female__Fallopian Tube
312	female__Kidney
312	female__Liver
312	female__Ovary
312	female__Small Intestine
312	female__Uterus
319	female__Fallopian Tube
