sex	age_group	term	combined_zscore
female	adolescent	Adipose-Subcutaneous_female	-0.4650748847425265
female	adolescent	Adipose-Subcutaneous_male	-1.3869144823629131
female	adolescent	Adipose-Visceral-Omentum_female	-0.637020723414787
female	adolescent	Adipose-Visceral-Omentum_male	-1.7423457443080261
female	adolescent	Adrenal-Gland_female	-0.8057059674995197
female	adolescent	Adrenal-Gland_male	-0.9281973638119704
female	adolescent	Artery-Aorta_female	-1.8084842690142193
female	adolescent	Artery-Aorta_male	0.9816250013441036
female	adolescent	Artery-Coronary_female	-0.8645221777554893
female	adolescent	Artery-Coronary_male	0.8675712972128851
female	adolescent	Artery-Tibial_female	-1.389279417945175
female	adolescent	Artery-Tibial_male	0.3641151270117404
female	adolescent	Brain-Amygdala_female	-0.46152476418509214
female	adolescent	Brain-Amygdala_male	-0.29796342040014007
female	adolescent	Brain-Anterior-cingulate-cortex-BA24_female	-0.4108937134087147
female	adolescent	Brain-Anterior-cingulate-cortex-BA24_male	-0.2993231120193048
female	adolescent	Brain-Caudate-basal-ganglia_female	-0.17126460667782786
female	adolescent	Brain-Caudate-basal-ganglia_male	0.3301121290728457
female	adolescent	Brain-Cerebellar-Hemisphere_female	-0.19189670604957634
female	adolescent	Brain-Cerebellar-Hemisphere_male	-0.42863904314281454
female	adolescent	Brain-Cerebellum_female	-0.5551220504925276
female	adolescent	Brain-Cerebellum_male	-0.059033475720208804
female	adolescent	Brain-Cortex_female	-0.8533971518449068
female	adolescent	Brain-Cortex_male	-0.19158635303172103
female	adolescent	Brain-Frontal-Cortex-BA9_female	-0.22206997209176213
female	adolescent	Brain-Frontal-Cortex-BA9_male	-0.6760799826053828
female	adolescent	Brain-Hippocampus_female	-0.7381398214793452
female	adolescent	Brain-Hippocampus_male	-0.8662176265689732
female	adolescent	Brain-Hypothalamus_female	-0.9255641972993597
female	adolescent	Brain-Hypothalamus_male	-0.03272886958559569
female	adolescent	Brain-Nucleus-accumbens-basal-ganglia_female	0.028352339157023565
female	adolescent	Brain-Nucleus-accumbens-basal-ganglia_male	0.4173994131888773
female	adolescent	Brain-Putamen-basal-ganglia_female	-0.4430220246221119
female	adolescent	Brain-Putamen-basal-ganglia_male	0.27655861728172004
female	adolescent	Brain-Spinal-cord-cervical-c.1_female	-1.1196682641768767
female	adolescent	Brain-Spinal-cord-cervical-c.1_male	-0.11038292013554758
female	adolescent	Brain-Substantia-nigra_female	-0.6200925150356692
female	adolescent	Brain-Substantia-nigra_male	-0.7234937247526944
female	adolescent	Breast-Mammary-Tissue_female	-0.5292183535921869
female	adolescent	Breast-Mammary-Tissue_male	-0.2772806101794256
female	adolescent	Cells-Cultured-fibroblasts_female	-1.8317563319492431
female	adolescent	Cells-Cultured-fibroblasts_male	0.31388603001407356
female	adolescent	Cells-EBV.transformed-lymphocytes_female	-2.2207651546260716
female	adolescent	Cells-EBV.transformed-lymphocytes_male	-0.6908425670674665
