sex	age_group	term	combined_zscore
female	adolescent	Adipose_male	0.7154565008974691
female	adolescent	Artery_male	-0.06100212362223574
female	adolescent	Breast_female	-1.2599081146625561
female	adolescent	Breast_male	-1.1877039372589637
female	adolescent	Caudate_male	0.6742520749016262
female	adolescent	Cerebellum_female	-1.0186236617937536
female	adolescent	Cerebellum_male	-0.9957779165997998
female	adolescent	Cortex_male	1.109600425331935
female	adolescent	Dorsolateral-prefrontal-cortex_female	-0.9201612713740084
female	adolescent	Dorsolateral-prefrontal-cortex_male	0.8009552393228072
female	adolescent	Frontal-cortex_female	-1.395138428872368
female	adolescent	Frontal-cortex_male	-0.5114210394225812
female	adolescent	Heart_female	-1.3613454011759771
female	adolescent	Heart_male	0.8179604283272757
female	adolescent	Hippocampus_male	0.6903030162126297
female	adolescent	Human-umbilical-vein-endothelial-cells_female	-1.8071343876150925
female	adolescent	Hypothalamus_male	0.5750372842238544
female	adolescent	Inferior-temporal-cortex_male	1.0045973514641193
female	adolescent	Lung_male	0.6731179775968558
female	adolescent	Medial-prefrontal-cortex_male	1.0905112925931748
female	adolescent	Mediodorsal-nucleus-of-the-thalamus_male	0.3586088751591479
female	adolescent	Monocyte-derived-dendritic-cells_female	1.5471421166887007
female	adolescent	Monocyte-derived-dendritic-cells_male	0.6591692657689613
female	adolescent	Muscle_male	-0.22490368159763569
female	adolescent	Nerve_male	-0.15643276305419868
female	adolescent	Nucleusaccumbens_male	0.7323037987375762
female	adolescent	Orbital-prefrontal-cortex_male	0.9668462739238506
female	adolescent	Peripheral-blood-mononuclear-cells_female	0.6745043084515719
female	adolescent	Peripheral-blood-mononuclear-cells_male	-1.1630725886931406
female	adolescent	Posterior-inferior-parietal-cortex_male	1.3871900922044713
female	adolescent	Primary-auditory-cortex_male	2.138148880843855
female	adolescent	Primary-somatosensory-cortex_male	2.4453611570550686
female	adolescent	Primary-visual-cortex_male	0.7068284084673404
female	adolescent	Skin_male	0.89393222577239
female	adolescent	Substantianigra_male	0.6922127769439036
female	adolescent	Superior-temporal-cortex_male	2.2197080311799176
female	adolescent	Thalamus_female	0.254393405419631
female	adolescent	Thyroid_male	0.7289818285888205
female	adolescent	Ventrolateral-prefrontal-cortex_male	0.872235750913633
female	adult	Adipose_male	0.5776692605781015
female	adult	Artery_male	0.9751201246091405
female	adult	Breast_female	1.5959578918961574
female	adult	Breast_male	-0.5403105934357706
female	adult	Caudate_male	0.8491936954143984
female	adult	Cerebellum_female	0.9209625911615036
female	adult	Cerebellum_male	0.8832912970715304
female	adult	Cortex_male	0.35398778544629544
female	adult	Dorsolateral-prefrontal-cortex_female	-0.24702214145553755
female	adult	Dorsolateral-prefrontal-cortex_male	0.9346086444271341
female	adult	Frontal-cortex_female	-0.11978552162786606
female	adult	Frontal-cortex_male	0.7920655607068074
female	adult	Heart_female	0.6794437383821129
female	adult	Heart_male	2.0083088452475897
female	adult	Hippocampus_male	0.9598818818047835
female	adult	Human-umbilical-vein-endothelial-cells_female	-0.15368222117118768
female	adult	Hypothalamus_male	0.7338024167276673
female	adult	Inferior-temporal-cortex_male	0.03594941429014917
female	adult	Lung_male	0.8432993512898764
female	adult	Medial-prefrontal-cortex_male	-0.03859201468581701
female	adult	Mediodorsal-nucleus-of-the-thalamus_male	-0.23668623368732764
female	adult	Monocyte-derived-dendritic-cells_female	0.8315325665273344
female	adult	Monocyte-derived-dendritic-cells_male	0.4759176624292375
female	adult	Muscle_male	0.5590905488294441
female	adult	Nerve_male	1.5362446724429784
female	adult	Nucleusaccumbens_male	1.0181445460232397
female	adult	Orbital-prefrontal-cortex_male	1.2306880270307443
female	adult	Peripheral-blood-mononuclear-cells_female	0.13650096170257917
female	adult	Peripheral-blood-mononuclear-cells_male	-1.6716458540203607
female	adult	Posterior-inferior-parietal-cortex_male	-0.5262677189073769
female	adult	Primary-auditory-cortex_male	-0.02163279108621219
female	adult	Primary-somatosensory-cortex_male	-0.05130194063513458
female	adult	Primary-visual-cortex_male	0.013174894548784791
female	adult	Skin_male	0.566798186720393
female	adult	Substantianigra_male	0.9562194438534325
female	adult	Superior-temporal-cortex_male	-0.4601791687664086
female	adult	Thalamus_female	0.7515154050473234
female	adult	Thyroid_male	0.7869858030617207
female	adult	Ventrolateral-prefrontal-cortex_male	0.9015760849325174
female	child	Adipose_male	-0.4433255838685564
female	child	Artery_male	-1.1462582357653852
female	child	Breast_female	-0.13471997746651504
