sex	age_group	term	combined_zscore
female	adolescent	hearing loss, autosomal recessive	-0.2771282561885947
female	adolescent	total early-onset cataract	1.1272519494875335
female	adolescent	Joubert syndrome	0.1878759491698884
female	adolescent	autosomal dominant nonsyndromic hearing loss	-0.5971527441221305
female	adolescent	retinitis pigmentosa	-1.2188276625985668
female	adolescent	primary ciliary dyskinesia	1.0685698661274332
female	adolescent	osteogenesis imperfecta type 4	0.39717386228526164
female	adolescent	osteogenesis imperfecta type 3	0.9982819618610536
female	adolescent	inherited obesity	-0.7324855313826977
female	adolescent	hereditary breast carcinoma	-0.8332983238718606
female	adolescent	lung cancer	-0.643891959866989
female	adolescent	autosomal dominant non-syndromic intellectual disability	-0.8143801591693698
female	adolescent	undetermined early-onset epileptic encephalopathy	0.5205514651581432
female	adolescent	non-syndromic male infertility due to sperm motility disorder	0.9294031015458092
female	adolescent	autoimmune lymphoproliferative syndrome	-1.0823097943037285
female	adolescent	common variable immunodeficiency	0.8964962514194931
female	adolescent	familial thoracic aortic aneurysm and aortic dissection	0.3285640331704817
female	adolescent	combined pituitary hormone deficiencies, genetic form	-0.2533254467435885
female	adolescent	familial isolated dilated cardiomyopathy	0.03127436237724678
female	adolescent	left ventricular noncompaction	-0.7004905176297387
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, biventricular form	-5.426876695863338
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, right dominant form	-5.341325560291702
female	adolescent	familial isolated arrhythmogenic ventricular dysplasia, left dominant form	-5.430557472487002
female	adolescent	familial atrial fibrillation	0.2734837301683123
female	adolescent	Jeune syndrome	-1.1056191188290818
female	adolescent	developmental and epileptic encephalopathy	0.6931696583637791
female	adolescent	amyotrophic lateral sclerosis	0.5748546823364422
female	adolescent	muscular dystrophy-dystroglycanopathy, type A	-0.057802597086480424
female	adolescent	acute myeloid leukemia	-0.11787801418742655
female	adolescent	Leigh syndrome with leukodystrophy	-0.5615637440054227
female	adolescent	Bardet-Biedl syndrome	-0.6892411424382249
female	adolescent	meningioma	-0.4364169469480997
female	adolescent	non-syndromic X-linked intellectual disability	-1.4162352877043325
female	adolescent	autosomal recessive non-syndromic intellectual disability	0.24266332031204013
female	adolescent	hereditary pheochromocytoma-paraganglioma	-0.24877595328359609
female	adolescent	Brugada syndrome	0.15625100710707696
female	adolescent	cone-rod dystrophy	0.5763857167392736
female	adolescent	Zellweger spectrum disorders	0.48906084145380113
female	adolescent	neonatal adrenoleukodystrophy	0.5035300057044381
female	adolescent	infantile Refsum disease	0.5011995515988492
female	adolescent	Seckel syndrome	0.5039775393282404
female	adolescent	Noonan syndrome	-0.5764466641941458
female	adolescent	Fanconi anemia	0.2790050791225486
female	adolescent	postsynaptic congenital myasthenic syndrome	1.1743508203244708
female	adolescent	semilobar holoprosencephaly	-0.03841018422265486
female	adolescent	septopreoptic holoprosencephaly	0.5167935573049545
