sex	age_group	term	combined_zscore
female	adolescent	skeletal-muscle_adult_female	-0.4785431152263622
female	adolescent	skeletal-muscle_adult_male	0.5883939651815238
female	adolescent	skin_adult_male	0.7997650972750813
female	adolescent	adrenal-gland_fetus_male	0.38810397573230637
female	adolescent	large-intestine_fetus_male	0.32246753535901357
female	adolescent	small-intestine_fetus_male	0.5393327902824316
female	adolescent	liver_adult_female	-1.6597575267100462
female	adolescent	liver_adult_male	1.5935178490024275
female	adolescent	adrenal-gland_unknown_male	0.35200980179543123
female	adolescent	amygdala_unknown_male	1.3800483179342578
female	adolescent	aorta_unknown_male	0.3160063077269204
female	adolescent	atrium-auricular-region_unknown_male	0.8461442966920323
female	adolescent	atrium-auricular-region_unknown_female	-0.19550839924991528
female	adolescent	blood_unknown_male	0.1940868095405832
female	adolescent	breast_unknown_male	0.3316645618256087
female	adolescent	breast_unknown_female	0.101112187192844
female	adolescent	Brodmann-(1909)-area-24_unknown_male	0.625613320973096
female	adolescent	Brodmann-(1909)-area-24_unknown_female	-4.082088609298833
female	adolescent	Brodmann-(1909)-area-9_unknown_male	0.5794151561809968
female	adolescent	Brodmann-(1909)-area-9_unknown_female	0.9710254881875612
female	adolescent	C1-segment-of-cervical-spinal-cord_unknown_male	0.5568390991770124
female	adolescent	caudate-nucleus_unknown_male	1.5551074418642419
female	adolescent	cerebellar-hemisphere_unknown_male	1.0301214347576642
female	adolescent	cerebellar-hemisphere_unknown_female	-0.30952365920116537
female	adolescent	cerebellum_unknown_male	0.5572414304025728
female	adolescent	cerebral-cortex_unknown_male	0.6229134939781023
female	adolescent	coronary-artery_unknown_male	1.8385820336345666
female	adolescent	coronary-artery_unknown_female	-1.2529552314916612
female	adolescent	cortex-of-kidney_unknown_male	0.5756365932149806
female	adolescent	cortex-of-kidney_unknown_female	1.404773656912563
female	adolescent	EBV-transformed-lymphocyte_unknown_male	1.2964693881021363
female	adolescent	EBV-transformed-lymphocyte_unknown_female	-1.1465921109389452
female	adolescent	esophagogastric-junction_unknown_male	1.0985843645541677
female	adolescent	esophagus-mucosa_unknown_male	0.5082513719028151
female	adolescent	esophagus-muscularis-mucosa_unknown_male	0.9487956718783235
female	adolescent	gonad_unknown_male	1.3303104526669882
female	adolescent	gonad_unknown_female	0.3059771500954291
female	adolescent	greater-omentum_unknown_male	1.205318314581205
female	adolescent	greater-omentum_unknown_female	1.2525854001800323
female	adolescent	heart-left-ventricle_unknown_male	0.7039348939814193
female	adolescent	hippocampus-proper_unknown_male	0.5085700849263224
female	adolescent	hypothalamus_unknown_male	0.11920068280915959
female	adolescent	liver_unknown_male	0.526165030964767
female	adolescent	liver_unknown_female	1.0740180892035776
female	adolescent	lower-leg-skin_unknown_male	0.9017176050591643
female	adolescent	lung_unknown_male	0.6122464040575116
female	adolescent	minor-salivary-gland_unknown_male	0.902600577858354
female	adolescent	nucleus-accumbens_unknown_male	1.1376298175167128
female	adolescent	pancreas_unknown_male	0.8779669208916454
female	adolescent	pituitary-gland_unknown_male	1.6008351328957806
female	adolescent	putamen_unknown_male	0.5788136304241281
female	adolescent	sigmoid-colon_unknown_male	1.7247011200871079
female	adolescent	sigmoid-colon_unknown_female	-0.14944904636355552
female	adolescent	skeletal-muscle-tissue_unknown_male	0.04076523302178278
female	adolescent	small-intestine-Peyer's-patch_unknown_male	0.07487310670724406
