gene	chromosome	map_location
1	19	19q13.43
10	8	8p22
100	20	20q13.12
1000	18	18q12.1
100008586	X	Xp11.23
100009676	3	3q12.3
10001	14	14q24.2
10002	15	15q23
100033411	16	16q23.1
100033413	15	15q11.2
100033414	15	15q11.2
100033416	15	15q11.2
100033418	15	15q11.2
100033420	15	15q11.2
100033422	15	15q11.2
100033423	15	15q11.2
100033424	15	15q11.2
100033425	15	15q11.2
100033426	15	15q11.2
100033427	15	15q11.2
100033428	15	15q11.2
100033429	15	15q11.2
100033430	15	15q11.2
100033431	15	15q11.2
100033432	15	15q11.2
100033433	15	15q11.2
100033434	15	15q11.2
100033435	15	15q11.2
100033436	15	15q11.2
100033437	15	15q11.2
100033438	15	15q11.2
100033439	15	15q11.2
100033440	15	15q11.2
100033441	15	15q11.2
100033442	15	15q11.2
100033443	15	15q11.2
100033444	15	15q11.2
100033445	15	15q11.2
100033447	15	15q11.2
100033450	15	15q11.2
100033451	15	15q11.2
100033453	15	15q11.2
100033454	15	15q11.2
100033460	15	15q11.2
100033603	15	15q11.2
100033799	15	15q11.2
100033800	15	15q11.2
100033801	15	15q11.2
100033802	15	15q11.2
100033804	15	15q11.2
100033805	15	15q11.2
100033806	15	15q11.2
100033807	15	15q11.2
100033808	15	15q11.2
100033809	15	15q11.2
100033811	15	15q11.2
100033812	15	15q11.2
100033813	15	15q11.2
100033814	15	15q11.2
100033815	15	15q11.2
100033816	15	15q11.2
100033818	15	15q11.2
100033819	11	11p15.5
100033820	15	15q11.2
100033821	15	15q11.2
100033822	15	15q11.2
100036563	15	15q11.2
100036564	15	15q11.2
100036565	15	15q11.2
100036566	15	15q11.2
100036567	15	15q11.2
100038246	10	10q24.31
10004	11	11q13.1
100048912	9	9p21.3
100049076	5	5q13.2
100049587	19	19q13.41
100049716	12	12p13.33
10005	20	20q13.12
10006	10	10p12.1
10007	5	5q31.3
100073347	19	19q13.43
10008	11	11q13.4
10009	X	Xq24
100093630	4	4q26
100093698	X	Xp22.2
1001	16	16q22.1
10010	2	2q24.2
100101120	Y	Yp11.2
100101266	19	19p12
100101267	7	7q11.23
100101467	18	18q12.2
100101490	20	20q11.21
10011	5	5q31.3
100113378	20	20p13
100113379	9	9p13.3
100113380	22	22q12.2
100113381	3	3p21.1
100113382	19	19p13.2
100113384	5	5p15.31
100113389	14	14q21.2
100113391	14	14q11.2
100113392	2	2q33.1
100113393	20	20q13.13
100113402	16	16q22.1
100113403	6	6q16.3
100113404	9	9p23
100113407	6	6p24.2
100124412	15	15q26.3
100124516	18	18q21.1
100124534	9	9q22.31
100124535	2	2p13.3
100124536	17	17q24.2
100124537	2	2p15
100124538	9	9q33.1
100124539	14	14q32.11
100124540	X	Xp11.3
100124700	12	12q13.13
100125288	19	19p13.2
100125556	3	3q21.2
100126296	20	20q13.32
100126297	14	14q32.31
100126299	5	5q31.1
100126302	X	Xq26.3
100126308	14	14q32.31
100126309	8	8q22.2
100126310	9	9p21.1
100126311	15	15q21.1
100126313	17	17p12
100126315	14	14q32.2
100126316	9	9p21.1
100126317	X	Xq13.2
100126318	22	22q11.21
100126319	2	2p16.1
100126320	12	12p12.1
100126321	3	3q29
100126324	X	Xq26.3
100126325	19	19q13.42
100126326	10	10q25.1
100126327	10	10p11.23
100126328	16	16p13.3
100126330	20	20q13.33
100126331	1	1p13.1
100126333	11	11q14.1
100126334	3	3p25.3
100126335	14	14q32.31
100126336	14	14q11.2
100126339	20	20q13.33
100126340	3	3q28
100126343	5	5q31.2
100126345	14	14q32.31
100126346	1	1q21.3
100126347	5	5p15.1
100126348	1	1p22.1
100126349	1	1q24.1
100126350	2	2q31.1
100126352	20	20q13.33
100126354	4	4q25
100126355	16	16p13.12
100126356	17	17q11.2
100126572	6	6q24.1
100126693	21	21q22.3
100126784	11	11p15.1
100126791	3	3p26.1
100126793	3	3p25.3
100127206	5	5q23.3
100127888	20	20q13.33
100127967	12	12q13.13
100127983	8	8q21.3
100128002	12	12q24.33
100128006	17	17p12
100128023	1	3q29
100128025	3	3q25.1
100128054	10	10q23.33
100128055	4	4q31.21
100128071	1	1p35.1
100128079	16	16p11.2
100128081	7	7p15.1
100128098	10	10p12.33
100128108	15	15q26.3
100128124	6	6q27
100128126	8	8q21.11
100128139	19	19p12
100128164	3	3q26.2
100128176	6	6q25.1
100128191	12	12q23.1
100128233	14	14q23.3
100128239	11	11q25
100128252	19	19q13.43
100128264	7	7q36.2
100128285	15	15q24.2
100128317	7	7q21.11
100128325	7	7q32.2
100128327	6	6q22.1
100128340	5	5q35.3
100128385	9	9q32
100128386	11	11q22.1
100128420	X	Xq26.3
100128494	11	11q13.4
100128496	20	20p11.23
100128505	9	9q33.1
100128511	10	10p12.31
100128531	22	22q11.23
100128568	19	19p13.3
100128569	19	19p13.3
100128590	2	2p22.1
100128594	X	Xq22.2
100128627	8	8q24.3
100128640	3	3p22.2
100128675	19	19q13.11-q13.12
100128682	19	19q13.12
100128714	15	15q12
100128731	2	2p23.3
100128750	8	8p12
100128770	16	16p13.3
100128782	9	9q22.32
100128787	1	1p21.2
100128788	16	16p13.3
100128811	10	10p12.1
100128822	7	7q36.1
100128830	10	10q26.3
100128881	16	16q24.3
100128890	8	8p23.1
100128893	18	18q11.2
100128908	14	14q11.2
100128927	14	14q32.33
100128946	22	22q13.32
100128993	8	8p22-p21.3
100129027	21	21q22.3
100129029	2	2q24.1
100129046	1	1p22.1
100129075	14	14q22.3
100129128	6	6q13
100129129	8	8p23.1
100129138	1	1p21.1
100129175	2	2q35
100129195	6	6p22.1
100129196	1	1p35.2
100129213	10	10p12.33
100129216	11	11q13.4
100129239	X	Xq27.3
100129250	9	9p21.1
100129269	1	1p13.2
100129271	1	1q21.3
100129278	2	2p24.1
100129307	13	13q22.3
100129345	14	14q32.2
100129347	9	9q22.2
100129354	3	3p21.31
100129385	9	9p22.3
100129387	15	15q21.2
100129396	17	17p11.2
100129407	X	Xq13.1
100129424	7	7q22.1
100129427	7	7p12.1
100129434	2	2p16.1
100129460	7	7p14.3
100129461	6	6p25.1
100129480	3	3p25.2
100129482	10	10q11.21
100129484	7	7p22.1
100129515	X	Xq26.3
100129518	6	6q25.3
100129520	X	Xq25
100129528	12	12q24.33
100129534	1	1p36.32
100129543	19	19p12
100129550	3	3q21.1
100129583	4	4q21.1
100129597	13	13q14.2
100129620	1	1p21.3
100129654	8	8q13.1
100129662	X	Xq26.3
100129669	9	9p21.3
100129697	16	16q24.3
100129781	16	16p13.12
100129792	5	5p12
100129800	19	19q13.11
100129827	11	11p15.4
100129836	13	13q34
100129842	19	19p12
100129845	7	7q22.1
100129858	4	4q31.1
100129917	4	4p16.3
100129924	1	1p34.2
100129931	4	4p16.1
100129935	19	19q13.2
100129961	2	2q21.3
100129969	9	9p13.3
10013	X	Xp11.23
100130015	16	16q24.3
100130017	4	4q13.2
100130075	12	12q15
100130086	X	Xq28
100130111	15	15q13.1
100130155	8	8q12.3
100130197	1	1p33
100130231	8	8q24.13
100130256	2	2q31.1
100130264	20	20p11.23
100130275	6	6p24.3
100130298	8	8q12.2
100130301	8	8q21.11
100130311	17	17p13.2
100130331	1	1q43
100130342	19	19q13.11
100130348	11	11q13.1
100130357	6	6p24.1
100130361	X	Xq13.1
100130370	17	17q25.3
100130373	20	20q11.23
100130386	13	13q34
100130418	22	22q11.1
100130449	2	2q37.3
100130451	2	2q34
100130460	11	11p15.4
100130476	6	6q23.3
100130480	18	18p11.31
100130519	19	19p13.11
100130520	17	17q25.1
100130539	10	10q11.21
100130548	9	9q34.2
100130557	1	1p34.2
100130581	17	17q21.31
100130587	20	20q13.33
100130613	X	Xq25
100130673	7	7p14.3
100130691	2	2q31.2
100130700	16	16p11.1
100130705	7	7q32.1
100130717	22	22q11.1
100130733	5	5q12.1
100130742	8	8q21.3
100130771	7	7q22.3
100130827	19	19q13.42
100130855	15	15q22.31
100130872	4	4p16.3
100130880	7	7q33
100130887	10	10q26.13
100130890	6	6q16.2
100130894	16	16q22.1
100130933	17	17q25.1
100130950	17	17p13.2
100130954	9	9q34.3
100130958	16	16q23.1
100130964	8	8p11.22
100130967	6	6q25.3
100130988	7	7p12.2
100130992	10	10p12.31
100131017	7	7p22.1
100131047	6	6p21.2
100131060	1	1p32.1
100131067	5	5q14.1
100131089	15	15q15.1
100131094	19	19p13.3
100131096	17	17q25.3
100131107	1	1q21.3
100131117	3	3q13.31
100131137	19	19q13.33
100131138	12	12q24.11
100131176	7	7q36.1
100131187	1	1q23.3
100131193	9	9q34.3
100131205	7	1q32.3
100131208	20	20p12.2
100131211	2	2q32.2
100131234	1	1q32.1
100131244	15	15q15.1
100131303	16	16q22.1
100131315	15	15q13.3
100131320	2	2q21.1
100131347	17	17q12
100131366	14	14q32.32
100131378	11	11p13
100131390	2	2q31.1
100131434	X	Xq28
100131439	17	17q25.1
100131454	17	17p13.3
100131539	11	11q13.4
100131564	1	1p22.1
100131691	19	19q13.43
100131726	8	8q24.13
100131733	12	12q24.11
100131755	X	Xq22.1
100131801	19	19p13.2
100131814	6	6q23.3
100131816	X	Xq21.1
100131825	1	1q23.2
100131827	3	3p12.3
100131897	5	5q35.1
100131902	21	21q22.11
100131997	9	9q21.11
100131998	16	16p12.2
100132004	2	9p11.2
100132015	X	Xq25
100132077	9	9q22.32
100132078	11	11q23.1
100132103	8	8p23.1
100132116	10	10q23.31
100132146	3	3p21.31
100132147	1	1p36.13
100132154	2	9q13
100132174	17	17q25.3
100132215	2	2p15
100132249	2	9q13
100132273	22	22q13.2
100132288	21	21p11.2
100132304	X	Xq13.1
100132341	16	16p11.2
100132399	X	Xp11.23
100132406	1	1q21.1
100132463	4	4q35.1
100132464	11	11p15.5
100132476	17	17q21.2
100132526	3	3p25.1
100132529	16	16q22.2
100132594	12	12q22
100132596	X	Yp11.2
100132677	3	3p21.31
100132708	2	2q21.1
100132724	15	15q21.2
100132735	6	6q24.1
100132813	8	8q23.2
100132815	19	19p12
100132831	X	Xp11.4
100132832	7	7q11.23
100132874	9	9q13
100132891	8	8q13.3-q21.11
100132916	5	5q12.3
100132923	8	8p23.1
100132948	20	9q13
100132963	X	Xq28
100132979	15	15q11.2
100132987	10	10q22.3
100132994	X	Xq13.1
100133036	9	9p11.2
100133053	X	Xq27.3
100133077	9	9q34.3
100133091	7	7q11.23
100133093	10	10q11.22
100133121	20	9q21.11
100133123	X	Xp22.2
100133172	8	8p23.1
100133205	6	6p22.2
100133220	15	15q25.3
100133234	8	8q12.1
100133251	8	8p23.1
100133267	8	8p23.1
100133286	21	21q22.12
100133311	7	7p15.2
100133461	4	4p16.3
100133545	11	11p15.5
100133669	8	8q24.3
100133941	6	6q21
100133957	X	Xp11.23
100133985	2	2p13.3
100133991	17	17q21.31
100134015	20	20p13
100134040	7	7q36.1
100134229	7	7q34
100134259	2	2p21
100134317	19	19q13.12
100134368	16	16p13.3
100134391	17	17q25.1
100134444	17	17p11.2
100134713	7	7q34
100134934	17	17q25.1
100134938	7	7q22.1
100137047	15	15q15.1
100137049	15	15q15.1
10014	17	17q21.31
100141515	17	17q25.3
100144595	2	2q24.1
100144597	20	20q13.33
100144602	4	4q13.2
100144603	22	22q13.33
100144604	15	15q26.1
10015	3	3p22.3
100151643	21	21q22.11
100151683	2	2q14.2
100158262	11	Xp22.12
10016	5	5p15.33
100169752	10	10q26.13
100169760	1	1q42.13
100169851	11	11q24.2
100169989	2	2p15
10017	15	15q21.2
100170229	19	19q13.31
100170765	19	19q13.2
10018	2	2q13
100187716	3	3q27.1
100188847	16	16p13.3
100188893	6	6p21.1
100188949	13	13q12.3
100188953	9	9q22.32
100188954	10	10q24.2
100189589	2	2p13.1
10019	12	12q24.12
100190938	17	17q21.2
100190939	13	13q14.13
100190940	12	12q24.33
100190949	5	5q33.3
100191040	1	1q21.3
100192204	10	10p13
100192378	8	8q21.13
100192420	22	22q11.21
100192426	18	18p11.23
10020	9	9p13.3
10021	15	15q24.1
100216001	10	10p15.1
100216479	2	2q21.1
10022	1	1p31.3
10023	10	10q24.1
100233156	21	NA
100233209	12	12q13.11
10024	12	12q13.12
100240728	7	7p11.2
100240734	12	12q13.13
100240735	12	12q13.13
10026	1	1p31.1
100268168	5	5q35.1
100270679	20	20p11.22
100270680	8	8q24.21
100270804	20	20p11.23
100271702	12	12p13.33
100271715	2	2p22.1
100271836	16	16p12.2
100271846	19	19q13.41
100271849	19	19p13.11
100271873	6	6q25.3
100271927	7	7q22.1
100272147	X	Xq28
100286844	12	12q13.12
100286938	9	9q21.2
100287013	16	4p16.1
100287015	8	8p23.1
100287029	16	16p13.3
100287036	16	16q24.3
100287042	17	17q25.1
100287045	4	4p16.1
100287072	17	17p11.2
100287082	18	18p11.22
100287083	8	8p23.1
100287098	8	8q24.3
100287102	1	1p36.33
100287114	13	13q12.11
100287144	4	4p16.1
100287171	9	9p24.3
100287177	19	19q13.32
100287178	4	4p16.1
100287205	4	4p16.1
100287216	2	2q13
100287225	18	18q21.2
100287238	4	4p16.1
100287284	12	12p11.22
100287290	3	3q25.32
100287314	12	12p11.21
100287327	4	4p16.1
100287362	3	3p21.31
100287364	4	4p16.1
