gene	chromosome	chromosome_hg19	map_location
1	19	19	19q13.43
10	8	8	8p22
100	20	20	20q13.12
1000	18	18	18q12.1
10000	CHR_HSCHR1_3_CTG32_1__1	1	1q43-q44
100008586	X	HG1436_HG1432_PATCH__HG1436_HG1432_PATCH__HG1436_HG1432_PATCH__X__X__X__X	Xp11.23
100008587	GL000220.1__GL000220.1	GL000220.1__GL000220.1	NA
100008588	GL000220.1	GL000220.1	NA
100008589	GL000220.1	GL000220.1	NA
100009601	NA	NA	14q11.2
100009602	NA	NA	14q11.2
100009603	NA	NA	6p22.1
100009604	NA	NA	2p23.3
100009605	NA	NA	11q12.1
100009606	NA	NA	12q24.31
100009607	NA	NA	9p22.3
100009613	11__HG536_PATCH	11__HG536_PATCH	11q13.3
100009667	NA	NA	10q21.3
100009668	NA	NA	3q21.3
100009669	NA	NA	3q11.2
100009671	NA	NA	18p11.22
100009675	NA	NA	1p21.3-p13.3
100009676	3	3	3q12.3
10001	14	14	14q24.2
10002	15	NA	15q23
10003	CHR_HSCHR11_2_CTG8__11	11	11q14.3
100033391	NA	NA	5q35.3
100033392	NA	NA	9p12
100033395	NA	NA	9p11.2
100033396	NA	NA	9q21.11
100033398	NA	NA	16q23.1
100033399	NA	NA	19p13.3
100033400	NA	NA	19p13.2
100033401	NA	NA	19p13.2
100033402	NA	NA	19p13.2
100033403	NA	NA	19p13.2
100033404	NA	NA	19p13.13
100033406	NA	NA	19q13.43
100033407	NA	NA	19q13.43
100033408	NA	NA	21q21.2
100033409	NA	NA	9q21.13
100033411	16	NA	16q23.1
100033413	15	15	15q11.2
100033414	15	15	15q11.2
100033415	15__15	15__15	15q11.2
100033416	15	15	15q11.2
100033417	15__15	15__15	15q11.2
100033418	15	15	15q11.2
100033419	15__15	15__15	15q11.2
100033420	15	15	15q11.2
100033421	15__15	15__15	15q11.2
100033422	15	15	15q11.2
100033423	15	15	15q11.2
100033424	15	15	15q11.2
100033425	15	15	15q11.2
100033426	15	15	15q11.2
100033427	15	15	15q11.2
100033428	15	15	15q11.2
100033429	15	15	15q11.2
100033430	15	15	15q11.2
100033431	15	15	15q11.2
100033432	15	15	15q11.2
100033433	15	15	15q11.2
100033434	15	15	15q11.2
100033435	15	15	15q11.2
100033436	15	15	15q11.2
100033437	15	15	15q11.2
100033438	15	15	15q11.2
100033439	15	15	15q11.2
100033440	15	15	15q11.2
